Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,2,0.1,0,2
3,1,3.0,2,0.1,0,3
100,1,94.0,90,4.5,6,94
200,1,177.0,190,9.5,23,177
2000,1,1689.0,1990,99.5,311,1689
10000,1,8527.0,9990,499.5,1473,8527
20000,1,17030.0,19990,999.5,2970,17030
40000,1,34034.0,39990,1999.5,5966,34034
60000,1,51061.0,59990,2999.5,8939,51061
80000,1,68032.0,79990,3999.5,11968,68032
200000,1,169958.0,199990,9999.5,30042,169958
400000,1,340247.0,399990,19999.5,59753,340247
600000,1,510433.0,599990,29999.5,89567,510433
800000,1,680186.0,799990,39999.5,119814,680186
1000000,1,850083.0,999990,49999.5,149917,850083
2,2,2.0,2,0.1,0,2
3,2,3.0,2,0.1,0,3
100,2,84.0,90,4.5,16,84
200,2,162.0,190,9.5,38,162
2000,2,1712.0,1990,99.5,288,1712
10000,2,8494.0,9990,499.5,1506,8494
20000,2,17020.0,19990,999.5,2980,17020
40000,2,33927.0,39990,1999.5,6073,33927
60000,2,50974.0,59990,2999.5,9026,50974
80000,2,68156.0,79990,3999.5,11844,68156
200000,2,170114.0,199990,9999.5,29886,170114
400000,2,340038.0,399990,19999.5,59962,340038
600000,2,510141.0,599990,29999.5,89859,510141
800000,2,679924.0,799990,39999.5,120076,679924
1000000,2,849965.0,999990,49999.5,150035,849965
2,3,1.0,2,0.1,1,1
3,3,2.0,2,0.1,1,2
100,3,91.0,72,3.6,9,91
200,3,184.0,172,8.6,16,184
2000,3,1811.0,256,12.8,189,1811
10000,3,9074.0,256,12.8,926,9074
20000,3,18097.0,256,12.8,1903,18097
40000,3,36038.0,256,12.8,3962,36038
60000,3,54041.0,256,12.8,5959,54041
80000,3,72051.0,256,12.8,7949,72051
200000,3,180049.0,256,12.8,19951,180049
400000,3,360062.0,256,12.8,39938,360062
600000,3,539885.0,256,12.8,60115,539885
800000,3,719968.0,256,12.8,80032,719968
1000000,3,900114.0,256,12.8,99886,900114
2,4,2.0,2,0.1,0,2
3,4,3.0,2,0.1,0,3
100,4,80.0,62,3.1,20,80
200,4,170.0,62,3.1,30,170
2000,4,1787.0,62,3.1,213,1787
10000,4,8948.0,62,3.1,1052,8948
20000,4,17998.0,62,3.1,2002,17998
40000,4,36061.0,62,3.1,3939,36061
60000,4,53985.0,62,3.1,6015,53985
80000,4,71969.0,62,3.1,8031,71969
200000,4,180060.0,62,3.1,19940,180060
400000,4,359992.0,62,3.1,40008,359992
600000,4,539938.0,62,3.1,60062,539938
800000,4,720011.0,62,3.1,79989,720011
1000000,4,900044.0,62,3.1,99956,900044
2,5,2.0,2,0.1,0,2
3,5,2.0,2,0.1,1,2
100,5,81.0,90,4.5,19,81
200,5,169.0,190,9.5,31,169
2000,5,1697.0,1990,99.5,303,1697
10000,5,8538.0,9990,499.5,1462,8538
20000,5,17064.0,19990,999.5,2936,17064
40000,5,33996.0,39990,1999.5,6004,33996
60000,5,51064.0,59990,2999.5,8936,51064
80000,5,68022.0,79990,3999.5,11978,68022
200000,5,170001.0,199990,9999.5,29999,170001
400000,5,340125.0,399990,19999.5,59875,340125
600000,5,510097.0,599990,29999.5,89903,510097
800000,5,679897.0,799990,39999.5,120103,679897
1000000,5,850007.0,999990,49999.5,149993,850007
2,6,1.0,2,0.1,1,1
3,6,2.0,2,0.1,1,2
100,6,89.0,20,1.0,11,89
200,6,176.0,20,1.0,24,176
2000,6,1768.0,20,1.0,232,1768
10000,6,8956.0,20,1.0,1044,8956
20000,6,17977.0,20,1.0,2023,17977
40000,6,35892.0,20,1.0,4108,35892
60000,6,53873.0,20,1.0,6127,53873
80000,6,71914.0,20,1.0,8086,71914
200000,6,179956.0,20,1.0,20044,179956
400000,6,359631.0,20,1.0,40369,359631
600000,6,539704.0,20,1.0,60296,539704
800000,6,719692.0,20,1.0,80308,719692
1000000,6,899438.0,20,1.0,100562,899438
2,7,1.0,2,0.1,1,1
3,7,2.0,2,0.1,1,2
100,7,94.0,20,1.0,6,94
200,7,180.0,20,1.0,20,180
2000,7,1775.0,23,1.15,225,1775
10000,7,8968.0,23,1.15,1032,8968
20000,7,17943.0,23,1.15,2057,17943
40000,7,35947.0,23,1.15,4053,35947
60000,7,53990.0,23,1.15,6010,53990
80000,7,71972.0,23,1.15,8028,71972
200000,7,180057.0,23,1.15,19943,180057
400000,7,360139.0,23,1.15,39861,360139
600000,7,540264.0,23,1.15,59736,540264
800000,7,720295.0,23,1.15,79705,720295
1000000,7,900322.0,23,1.15,99678,900322
2,8,2.0,2,0.1,0,2
3,8,3.0,2,0.1,0,3
100,8,85.0,83,4.15,15,85
200,8,176.0,183,9.15,24,176
2000,8,1716.0,1983,99.15,284,1716
10000,8,8486.0,9983,499.15,1514,8486
20000,8,16987.0,19983,999.15,3013,16987
40000,8,33936.0,39983,1999.15,6064,33936
60000,8,50966.0,59983,2999.15,9034,50966
80000,8,67957.0,79983,3999.15,12043,67957
200000,8,169826.0,199983,9999.15,30174,169826
400000,8,339978.0,399983,19999.15,60022,339978
600000,8,509696.0,599983,29999.15,90304,509696
800000,8,679752.0,799983,39999.15,120248,679752
1000000,8,849774.0,999983,49999.15,150226,849774
2,9,2.0,2,0.1,0,2
3,9,3.0,2,0.1,0,3
100,9,91.0,21,1.05,9,91
200,9,175.0,34,1.7,25,175
2000,9,1781.0,37,1.85,219,1781
10000,9,9012.0,37,1.85,988,9012
20000,9,18052.0,37,1.85,1948,18052
40000,9,36010.0,37,1.85,3990,36010
60000,9,54006.0,37,1.85,5994,54006
