Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.76,1.0,0.049999999999999906,0.24,1.76
3,2.59,2.0,0.09999999999999981,0.41,2.59
100,86.22,67.0,3.3500000000000023,13.78,86.22
200,172.6,133.0,6.649999999999988,27.4,172.6
2000,1782.61,341.91,17.0955,217.39,1782.61
10000,8959.48,821.93,41.09650000000001,1040.52,8959.48
20000,17930.01,1421.93,71.0965,2069.99,17930.01
40000,35867.08,2621.93,131.09650000000002,4132.92,35867.08
60000,53800.72,3821.93,191.09650000000002,6199.28,53800.72
80000,71740.76,5021.93,251.0965,8259.24,71740.76
200000,179391.9,12221.93,611.0965,20608.1,179391.9
400000,358796.78,24221.93,1211.0965,41203.22,358796.78
600000,538209.19,36221.93,1811.0964999999999,61790.81,538209.19
800000,717593.7,48221.93,2411.0965,82406.3,717593.7
1000000,897007.01,60221.93,3011.0965,102992.99,897007.01
