Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.73,1.0,0.08999999999999991,0.27,1.73
3,2.63,1.0,0.08999999999999991,0.37,2.63
100,84.42,50.0,4.75,15.58,84.42
200,168.77,100.0,9.5,31.23,168.77
2000,1780.64,100.31,9.5294,219.36,1780.64
10000,8941.18,100.31,9.529399999999999,1058.82,8941.18
20000,17890.29,100.31,9.5294,2109.71,17890.29
40000,35788.15,100.31,9.5294,4211.85,35788.15
60000,53683.02,100.31,9.5294,6316.98,53683.02
80000,71581.78,100.31,9.5294,8418.22,71581.78
200000,178999.42,100.31,9.5294,21000.58,178999.42
400000,357995.94,100.31,9.5294,42004.06,357995.94
600000,537002.21,100.31,9.5294,62997.79,537002.21
800000,715977.29,100.31,9.5294,84022.71,715977.29
1000000,894981.55,100.31,9.5294,105018.45,894981.55
