Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,2.0,1,0.05,1,2
100,1,89.0,50,2.5,11,89
200,1,170.0,100,5.0,30,170
2000,1,1632.0,1000,50.0,368,1632
10000,1,8265.0,5000,250.0,1735,8265
20000,1,16496.0,10000,500.0,3504,16496
40000,1,32976.0,20000,1000.0,7024,32976
60000,1,49481.0,30000,1500.0,10519,49481
80000,1,65970.0,40000,2000.0,14030,65970
200000,1,164973.0,100000,5000.0,35027,164973
400000,1,335262.0,100000,5000.0,64738,335262
600000,1,505448.0,100000,5000.0,94552,505448
800000,1,675201.0,100000,5000.0,124799,675201
1000000,1,845098.0,100000,5000.0,154902,845098
2,2,2.0,1,0.05,0,2
3,2,3.0,1,0.05,0,3
100,2,79.0,50,2.5,21,79
200,2,153.0,100,5.0,47,153
2000,2,1659.0,1000,50.0,341,1659
10000,2,8250.0,5000,250.0,1750,8250
20000,2,16547.0,10000,500.0,3453,16547
40000,2,32963.0,20000,1000.0,7037,32963
60000,2,49506.0,30000,1500.0,10494,49506
80000,2,66156.0,40000,2000.0,13844,66156
200000,2,165126.0,100000,5000.0,34874,165126
400000,2,335050.0,100000,5000.0,64950,335050
600000,2,505153.0,100000,5000.0,94847,505153
800000,2,674936.0,100000,5000.0,125064,674936
1000000,2,844977.0,100000,5000.0,155023,844977
2,3,1.0,1,0.05,1,1
3,3,2.0,1,0.05,1,2
100,3,89.0,50,2.5,11,89
200,3,177.0,100,5.0,23,177
2000,3,1658.0,1000,50.0,342,1658
10000,3,8323.0,5000,250.0,1677,8323
20000,3,16612.0,10000,500.0,3388,16612
40000,3,33085.0,20000,1000.0,6915,33085
60000,3,49542.0,30000,1500.0,10458,49542
80000,3,65979.0,40000,2000.0,14021,65979
200000,3,165034.0,100000,5000.0,34966,165034
400000,3,335098.0,100000,5000.0,64902,335098
600000,3,504897.0,100000,5000.0,95103,504897
800000,3,675025.0,100000,5000.0,124975,675025
1000000,3,844999.0,100000,5000.0,155001,844999
2,4,2.0,1,0.05,0,2
3,4,3.0,1,0.05,0,3
100,4,76.0,50,2.5,24,76
200,4,151.0,100,5.0,49,151
2000,4,1637.0,1000,50.0,363,1637
10000,4,8190.0,5000,250.0,1810,8190
20000,4,16531.0,10000,500.0,3469,16531
40000,4,33108.0,20000,1000.0,6892,33108
