Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.73,1.0,0.08999999999999991,0.27,1.73
3,2.62,1.1,0.0999999999999999,0.38,2.62
100,85.57,37.7,3.5789,14.43,85.57
200,171.86,65.71,6.2401,28.14,171.86
2000,1767.02,245.4,23.311799999999998,232.98,1767.02
10000,8916.2,370.15,35.16209999999999,1083.8,8916.2
20000,17861.69,408.96,38.8488,2138.31,17861.69
40000,35756.2,441.62,41.95180000000001,4243.8,35756.2
60000,53649.34,460.45,43.740599999999986,6350.66,53649.34
80000,71546.95,474.05,45.032199999999996,8453.05,71546.95
200000,178962.27,499.71,47.47010000000002,21037.73,178962.27
400000,357957.13,516.76,49.09,42042.87,357957.13
600000,536962.64,524.61,49.83550000000002,63037.36,536962.64
800000,715937.34,529.47,50.2975,84062.66,715937.34
1000000,894941.24,533.44,50.674799999999976,105058.76,894941.24
