Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.77,1.0,0.049999999999999906,0.23,1.77
3,2.6,2.0,0.08999999999999991,0.4,2.6
100,86.2,62.17,2.7952000000000017,13.8,86.2
200,172.7,121.01,5.4426,27.3,172.7
2000,1751.75,848.37,38.17849999999999,248.25,1751.75
10000,8858.06,2040.72,91.83490000000002,1141.94,8858.06
20000,17783.65,2583.52,116.25980000000006,2216.35,17783.65
40000,35663.88,2972.73,133.7736,4336.12,35663.88
60000,53548.77,3201.04,144.0466,6451.23,53548.77
80000,71439.71,3372.9,151.78019999999998,8560.29,71439.71
200000,178840.22,3759.08,169.15739999999988,21159.78,178840.22
400000,357824.72,4025.36,181.13970000000006,42175.28,357824.72
600000,536826.16,4125.76,185.65790000000004,63173.84,536826.16
800000,715798.53,4183.73,188.26590000000004,84201.47,715798.53
1000000,894800.9,4227.07,190.21649999999994,105199.1,894800.9
