Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,2.0,2,0.1,1,2
100,1,93.0,58,2.9,7,93
200,1,181.0,96,4.8,19,181
2000,1,1771.0,466,23.3,229,1771
10000,1,8971.0,955,47.75,1029,8971
20000,1,17959.0,1052,52.6,2041,17959
40000,1,35957.0,1136,56.8,4043,35957
60000,1,53940.0,1191,59.55,6060,53940
80000,1,71921.0,1195,59.75,8079,71921
200000,1,179827.0,1241,62.05,20173,179827
400000,1,359910.0,1311,65.55,40090,359910
600000,1,539994.0,1323,66.15,60006,539994
800000,1,719957.0,1338,66.9,80043,719957
1000000,1,899756.0,1341,67.05,100244,899756
2,2,2.0,1,0.05,0,2
3,2,3.0,2,0.1,0,3
100,2,86.0,52,2.6,14,86
200,2,165.0,105,5.25,35,165
2000,2,1795.0,306,15.3,205,1795
10000,2,8986.0,524,26.2,1014,8986
20000,2,17994.0,591,29.55,2006,17994
40000,2,35951.0,886,44.3,4049,35951
60000,2,53953.0,1179,58.95,6047,53953
80000,2,72101.0,1179,58.95,7899,72101
200000,2,180113.0,1273,63.65,19887,180113
400000,2,360156.0,1326,66.3,39844,360156
600000,2,540144.0,1355,67.75,59856,540144
800000,2,720136.0,1360,68.0,79864,720136
1000000,2,900129.0,1367,68.35,99871,900129
2,3,1.0,1,0.05,1,1
3,3,2.0,2,0.1,1,2
100,3,93.0,54,2.7,7,93
200,3,188.0,100,5.0,12,188
2000,3,1790.0,690,34.5,210,1790
10000,3,9029.0,1243,62.15,971,9029
20000,3,18037.0,1469,73.45,1963,18037
40000,3,35959.0,1839,91.95,4041,35959
60000,3,53959.0,1865,93.25,6041,53959
80000,3,71952.0,2457,122.85,8048,71952
200000,3,179943.0,2549,127.45,20057,179943
400000,3,359953.0,2568,128.4,40047,359953
600000,3,539772.0,2747,137.35,60228,539772
800000,3,719852.0,2840,142.0,80148,719852
1000000,3,899998.0,2840,142.0,100002,899998
2,4,2.0,1,0.05,0,2
3,4,3.0,2,0.1,0,3
100,4,84.0,42,2.1,16,84
200,4,171.0,86,4.3,29,171
2000,4,1761.0,586,29.3,239,1761
10000,4,8900.0,860,43.0,1100,8900
20000,4,17950.0,862,43.1,2050,17950
40000,4,36011.0,885,44.25,3989,36011
60000,4,53925.0,1072,53.6,6075,53925
80000,4,71907.0,1087,54.35,8093,71907
200000,4,179992.0,1169,58.45,20008,179992
400000,4,359922.0,1238,61.9,40078,359922
600000,4,539868.0,1239,61.95,60132,539868
800000,4,719941.0,1239,61.95,80059,719941
1000000,4,899973.0,1240,62.0,100027,899973
2,5,2.0,1,0.05,0,2
3,5,2.0,2,0.1,1,2
100,5,83.0,39,1.95,17,83
200,5,176.0,65,3.25,24,176
2000,5,1750.0,668,33.4,250,1750
10000,5,8947.0,912,45.6,1053,8947
20000,5,17952.0,1080,54.0,2048,17952
40000,5,35933.0,1248,62.4,4067,35933
60000,5,54005.0,1350,67.5,5995,54005
80000,5,72015.0,1357,67.85,7985,72015
200000,5,179903.0,1490,74.5,20097,179903
400000,5,359965.0,1494,74.7,40035,359965
600000,5,539768.0,1550,77.5,60232,539768
800000,5,719623.0,1586,79.3,80377,719623
1000000,5,899631.0,1586,79.3,100369,899631
2,6,1.0,1,0.05,1,1
3,6,2.0,1,0.05,1,2
100,6,87.0,42,2.1,13,87
200,6,170.0,83,4.15,30,170
2000,6,1742.0,452,22.6,258,1742
10000,6,8918.0,721,36.05,1082,8918
20000,6,17938.0,740,37.0,2062,17938
40000,6,35839.0,917,45.85,4161,35839
60000,6,53817.0,975,48.75,6183,53817
80000,6,71858.0,975,48.75,8142,71858
200000,6,179895.0,1041,52.05,20105,179895
400000,6,359568.0,1053,52.65,40432,359568
600000,6,539641.0,1053,52.65,60359,539641
800000,6,719629.0,1053,52.65,80371,719629
1000000,6,899375.0,1056,52.8,100625,899375
2,7,1.0,1,0.05,1,1
3,7,2.0,1,0.05,1,2
100,7,92.0,41,2.05,8,92
200,7,176.0,92,4.6,24,176
