Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.09,0,2
3,1,3.0,2,0.09,0,3
100,1,92.0,65,2.7,8,92
200,1,176.0,117,4.77,24,176
2000,1,1754.0,1008,12.69,246,1754
10000,1,8908.0,3757,21.24,1092,8908
20000,1,17788.0,6197,25.2,2212,17788
40000,1,35605.0,13696,25.65,4395,35605
60000,1,53393.0,19024,29.07,6607,53393
80000,1,71169.0,30672,29.25,8831,71169
200000,1,177900.0,72198,30.15,22100,177900
400000,1,356002.0,118728,30.33,43998,356002
600000,1,534181.0,252682,30.33,65819,534181
800000,1,712089.0,323416,30.51,87911,712089
1000000,1,889823.0,429010,30.51,110177,889823
2,2,2.0,1,0.09,0,2
3,2,3.0,2,0.09,0,3
100,2,83.0,59,3.15,17,83
200,2,163.0,107,4.59,37,163
2000,2,1779.0,885,11.16,221,1779
10000,2,8898.0,4278,13.14,1102,8898
20000,2,17827.0,8448,13.41,2173,17827
40000,2,35593.0,17042,14.58,4407,35593
60000,2,53395.0,25245,15.84,6605,53395
80000,2,71359.0,45245,15.84,8641,71359
200000,2,178142.0,112804,21.78,21858,178142
400000,2,356158.0,250184,22.5,43842,356158
600000,2,534232.0,293858,22.5,65768,534232
800000,2,712165.0,389433,22.77,87835,712165
1000000,2,890201.0,514091,22.77,109799,890201
2,3,1.0,1,0.09,1,1
3,3,2.0,2,0.09,1,2
100,3,91.0,66,2.34,9,91
200,3,184.0,135,3.78,16,184
2000,3,1776.0,1364,22.5,224,1776
10000,3,8950.0,5513,37.26,1050,8950
20000,3,17862.0,10574,41.13,2138,17862
40000,3,35605.0,22169,44.37,4395,35605
60000,3,53374.0,34216,50.58,6626,53374
80000,3,71175.0,48240,50.67,8825,71175
200000,3,178010.0,130635,53.91,21990,178010
400000,3,356093.0,276355,55.17,43907,356093
600000,3,533856.0,384959,55.44,66144,533856
800000,3,711937.0,488487,56.43,88063,711937
1000000,3,890015.0,574757,56.43,109985,890015
2,4,2.0,1,0.09,0,2
3,4,3.0,2,0.09,0,3
100,4,81.0,70,3.6,19,81
200,4,165.0,130,5.85,35,165
2000,4,1744.0,1093,26.28,256,1744
10000,4,8780.0,3868,42.75,1220,8780
20000,4,17730.0,7016,43.11,2270,17730
40000,4,35580.0,12756,43.38,4420,35580
60000,4,53320.0,18998,43.65,6680,53320
80000,4,71104.0,28910,43.74,8896,71104
200000,4,177945.0,109499,44.46,22055,177945
400000,4,355900.0,258835,44.91,44100,355900
600000,4,533877.0,360252,44.91,66123,533877
800000,4,711980.0,396108,45.0,88020,711980
1000000,4,890037.0,474588,45.0,109963,890037
2,5,2.0,1,0.09,0,2
3,5,2.0,2,0.09,1,2
100,5,84.0,55,2.16,16,84
200,5,173.0,97,3.6,27,173
2000,5,1746.0,955,18.99,254,1746
10000,5,8897.0,3060,25.74,1103,8897
20000,5,17805.0,6595,27.09,2195,17805
40000,5,35604.0,17031,27.54,4396,35604
60000,5,53468.0,23834,28.17,6532,53468
80000,5,71251.0,27450,28.35,8749,71251
200000,5,178060.0,76608,28.8,21940,178060
400000,5,356103.0,216975,30.33,43897,356103
600000,5,533981.0,307994,30.33,66019,533981
800000,5,711804.0,394468,30.51,88196,711804
1000000,5,889771.0,549992,30.51,110229,889771
2,6,2.0,1,0.09,0,2
3,6,3.0,2,0.09,0,3
100,6,89.0,54,1.98,11,89
200,6,171.0,99,2.97,29,171
2000,6,1721.0,1095,18.36,279,1721
10000,6,8829.0,6411,28.8,1171,8829
20000,6,17743.0,11463,30.33,2257,17743
40000,6,35451.0,24102,31.5,4549,35451
60000,6,53224.0,33041,31.77,6776,53224
80000,6,71064.0,40159,31.77,8936,71064
200000,6,177949.0,100245,32.31,22051,177949
400000,6,355670.0,190761,33.12,44330,355670
600000,6,533744.0,330559,33.3,66256,533744
800000,6,711734.0,472482,33.3,88266,711734
1000000,6,889491.0,563358,33.3,110509,889491
2,7,1.0,1,0.09,1,1
3,7,2.0,2,0.09,1,2
100,7,92.0,74,3.33,8,92
200,7,176.0,129,5.4,24,176
2000,7,1738.0,1228,16.38,262,1738
10000,7,8838.0,5895,33.66,1162,8838
20000,7,17700.0,10149,35.91,2300,17700
40000,7,35488.0,18755,38.7,4512,35488
60000,7,53333.0,24793,43.65,6667,53333
80000,7,71084.0,29765,44.1,8916,71084
200000,7,177989.0,88059,45.72,22011,177989
400000,7,356032.0,157277,46.26,43968,356032
600000,7,534158.0,303448,46.53,65842,534158
800000,7,712236.0,438100,46.53,87764,712236
1000000,7,890272.0,553458,46.53,109728,890272
2,8,2.0,1,0.09,0,2
3,8,3.0,2,0.09,0,3
100,8,87.0,55,2.52,13,87
200,8,178.0,115,4.14,22,178
2000,8,1764.0,846,15.03,236,1764
10000,8,8865.0,4553,26.19,1135,8865
20000,8,17749.0,7401,34.02,2251,17749
40000,8,35470.0,19612,36.81,4530,35470
60000,8,53297.0,27002,37.89,6703,53297
80000,8,71082.0,31834,38.07,8918,71082
200000,8,177876.0,74986,38.52,22124,177876
400000,8,356036.0,184179,39.33,43964,356036
600000,8,533814.0,321648,39.51,66186,533814
800000,8,711870.0,400696,39.51,88130,711870
1000000,8,889833.0,542547,39.51,110167,889833
2,9,2.0,1,0.09,0,2
3,9,3.0,2,0.09,0,3
100,9,88.0,59,2.07,12,88
200,9,169.0,124,4.32,31,169
2000,9,1748.0,1035,14.22,252,1748
10000,9,8863.0,4555,47.52,1137,8863
20000,9,17808.0,9709,47.79,2192,17808
40000,9,35549.0,22829,49.41,4451,35549
60000,9,53329.0,31134,51.03,6671,53329
80000,9,71133.0,40137,57.51,8867,71133
200000,9,178172.0,105994,57.96,21828,178172
400000,9,356003.0,233053,60.84,43997,356003
600000,9,534012.0,336537,60.93,65988,534012
800000,9,712018.0,462223,63.18,87982,712018
1000000,9,890062.0,560858,63.45,109938,890062
2,10,2.0,1,0.09,0,2
3,10,3.0,2,0.09,0,3
100,10,87.0,57,1.53,13,87
200,10,174.0,102,2.43,26,174
2000,10,1760.0,1259,14.49,240,1760
10000,10,8919.0,6162,19.08,1081,8919
20000,10,17868.0,11413,19.26,2132,17868
40000,10,35704.0,23918,19.89,4296,35704
60000,10,53563.0,29726,21.06,6437,53563
80000,10,71393.0,39123,21.06,8607,71393
200000,10,178138.0,113584,34.83,21862,178138
400000,10,356077.0,230778,34.92,43923,356077
600000,10,534019.0,346080,35.1,65981,534019
800000,10,712048.0,483371,35.1,87952,712048
1000000,10,890109.0,553154,35.1,109891,890109
2,11,2.0,1,0.09,0,2
3,11,3.0,2,0.09,0,3
100,11,84.0,51,2.34,16,84
200,11,173.0,112,4.59,27,173
2000,11,1738.0,943,16.38,262,1738
10000,11,8898.0,4647,26.01,1102,8898
20000,11,17780.0,9440,30.42,2220,17780
40000,11,35526.0,14854,32.85,4474,35526
60000,11,53316.0,22180,33.93,6684,53316
80000,11,71105.0,34878,34.29,8895,71105
200000,11,177902.0,67951,42.57,22098,177902
400000,11,355711.0,166204,43.29,44289,355711
600000,11,533868.0,337890,43.56,66132,533868
800000,11,711678.0,454676,43.56,88322,711678
1000000,11,889736.0,588972,44.19,110264,889736
2,12,2.0,1,0.09,0,2
3,12,3.0,2,0.09,0,3
100,12,83.0,60,3.15,17,83
200,12,168.0,127,4.59,32,168
2000,12,1772.0,1184,18.45,228,1772
10000,12,8876.0,5241,32.31,1124,8876
20000,12,17758.0,11791,39.69,2242,17758
