Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,0,0.0,0,2
3,1,3.0,0,0.0,0,3
100,1,94.0,11,1.04,6,94
200,1,181.0,22,2.09,19,181
2000,1,1775.0,68,6.46,225,1775
10000,1,8954.0,248,23.56,1046,8954
20000,1,17873.0,481,45.69,2127,17873
40000,1,35729.0,1009,95.85,4271,35729
60000,1,53590.0,1528,145.16,6410,53590
80000,1,71430.0,2022,192.09,8570,71430
200000,1,178434.0,5068,481.46,21566,178434
400000,1,357054.0,9994,949.43,42946,357054
600000,1,535718.0,15015,1426.43,64282,535718
800000,1,714148.0,20010,1900.95,85852,714148
1000000,1,892437.0,25024,2377.28,107563,892437
2,2,2.0,0,0.0,0,2
3,2,3.0,0,0.0,0,3
100,2,87.0,7,0.66,13,87
200,2,169.0,11,1.04,31,169
2000,2,1794.0,50,4.75,206,1794
10000,2,8930.0,246,23.37,1070,8930
20000,2,17876.0,498,47.31,2124,17876
40000,2,35706.0,1007,95.66,4294,35706
60000,2,53581.0,1508,143.26,6419,53581
80000,2,71569.0,1998,189.81,8431,71569
200000,2,178718.0,5037,478.52,21282,178718
400000,2,357256.0,10051,954.85,42744,357256
600000,2,535824.0,15028,1427.66,64176,535824
800000,2,714299.0,19968,1896.96,85701,714299
1000000,2,892823.0,24837,2359.51,107177,892823
2,3,1.0,0,0.0,1,1
3,3,2.0,0,0.0,1,2
100,3,93.0,6,0.57,7,93
200,3,188.0,7,0.66,12,188
2000,3,1805.0,46,4.37,195,1805
10000,3,9017.0,247,23.46,983,9017
20000,3,17971.0,505,47.97,2029,17971
40000,3,35760.0,1008,95.76,4240,35760
60000,3,53585.0,1532,145.54,6415,53585
80000,3,71453.0,2043,194.08,8547,71453
200000,3,178573.0,4999,474.91,21427,178573
400000,3,357181.0,9972,947.34,42819,357181
600000,3,535504.0,15091,1433.65,64496,535504
800000,3,714103.0,20041,1903.9,85897,714103
1000000,3,892700.0,25046,2379.37,107300,892700
2,4,2.0,0,0.0,0,2
3,4,3.0,0,0.0,0,3
100,4,84.0,3,0.28,16,84
200,4,172.0,5,0.47,28,172
2000,4,1771.0,59,5.6,229,1771
10000,4,8865.0,262,24.89,1135,8865
20000,4,17850.0,477,45.31,2150,17850
40000,4,35768.0,973,92.43,4232,35768
60000,4,53551.0,1463,138.98,6449,53551
80000,4,71379.0,1975,187.62,8621,71379
200000,4,178602.0,4915,466.93,21398,178602
400000,4,357125.0,9871,937.75,42875,357125
600000,4,535616.0,14981,1423.2,64384,535616
800000,4,714225.0,19865,1887.18,85775,714225
1000000,4,892773.0,24703,2346.78,107227,892773
2,5,2.0,0,0.0,0,2
3,5,2.0,0,0.0,1,2
100,5,86.0,0,0.0,14,86
200,5,178.0,1,0.09,22,178
2000,5,1770.0,48,4.56,230,1770
10000,5,8945.0,223,21.18,1055,8945
20000,5,17885.0,469,44.55,2115,17885
40000,5,35734.0,935,88.82,4266,35734
60000,5,53652.0,1475,140.12,6348,53652
80000,5,71508.0,1989,188.95,8492,71508
200000,5,178521.0,4994,474.43,21479,178521
400000,5,357074.0,10044,954.18,42926,357074
600000,5,535451.0,15010,1425.95,64549,535451
800000,5,713845.0,20039,1903.71,86155,713845
1000000,5,892394.0,25098,2384.31,107606,892394
2,6,2.0,0,0.0,0,2
3,6,3.0,0,0.0,0,3
100,6,90.0,4,0.38,10,90
200,6,177.0,5,0.47,23,177
2000,6,1754.0,53,5.03,246,1754
10000,6,8882.0,261,24.79,1118,8882
20000,6,17827.0,549,52.15,2173,17827
40000,6,35585.0,1074,102.03,4415,35585
60000,6,53417.0,1553,147.53,6583,53417
80000,6,71316.0,2031,192.94,8684,71316
200000,6,178493.0,4965,471.68,21507,178493
400000,6,356748.0,9933,943.64,43252,356748
