Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,0,0.0,0,2
3,1,3.0,0,0.0,0,3
100,1,95.0,7,0.04,5,95
200,1,184.0,14,0.1,16,184
2000,1,1788.0,388,2.21,212,1788
10000,1,9009.0,674,4.46,991,9009
20000,1,18000.0,1151,7.76,2000,18000
40000,1,35998.0,1774,12.42,4002,35998
60000,1,53981.0,2438,17.34,6019,53981
80000,1,71955.0,3100,22.29,8045,71955
200000,1,179845.0,7084,52.34,20155,179845
400000,1,359870.0,14729,107.47,40130,359870
600000,1,539901.0,21356,157.31,60099,539901
800000,1,719821.0,28021,207.6,80179,719821
1000000,1,899562.0,34622,256.83,100438,899562
2,2,2.0,0,0.0,0,2
3,2,3.0,0,0.0,0,3
100,2,89.0,9,0.06,11,89
200,2,172.0,11,0.08,28,172
2000,2,1809.0,423,2.29,191,1809
10000,2,9003.0,2330,12.47,997,9003
20000,2,18014.0,2684,15.12,1986,18014
40000,2,35982.0,3658,22.84,4018,35982
60000,2,53986.0,4564,28.95,6014,53986
80000,2,72130.0,5200,33.72,7870,72130
200000,2,180106.0,10733,71.7,19894,180106
400000,2,360105.0,17386,121.9,39895,360105
600000,2,540036.0,24256,172.79,59964,540036
800000,2,719990.0,30869,222.42,80010,719990
1000000,2,899934.0,37525,272.45,100066,899934
2,3,1.0,0,0.0,1,1
3,3,2.0,0,0.0,1,2
100,3,93.0,96,0.52,7,93
200,3,188.0,191,1.0,12,188
2000,3,1801.0,1967,15.82,199,1801
10000,3,9030.0,6466,58.49,970,9030
20000,3,18045.0,7499,68.08,1955,18045
40000,3,35976.0,8514,76.5,4024,35976
60000,3,53972.0,9181,81.35,6028,53972
80000,3,71978.0,9835,86.16,8022,71978
200000,3,179938.0,17130,132.92,20062,179938
400000,3,359897.0,23857,183.5,40103,359897
600000,3,539669.0,30636,234.47,60331,539669
800000,3,719689.0,37387,285.22,80311,719689
1000000,3,899786.0,44004,334.82,100214,899786
2,4,2.0,0,0.0,0,2
3,4,3.0,0,0.0,0,3
100,4,84.0,84,0.44,16,84
200,4,172.0,183,0.95,28,172
2000,4,1777.0,1953,9.97,223,1777
10000,4,8890.0,9707,49.98,1110,8890
20000,4,17901.0,19549,99.96,2099,17901
40000,4,35949.0,22610,116.92,4051,35949
60000,4,53870.0,23234,121.68,6130,53870
80000,4,71854.0,23894,126.6,8146,71854
200000,4,179894.0,30032,178.02,20106,179894
400000,4,359777.0,36801,229.3,40223,359777
600000,4,539687.0,43420,278.75,60313,539687
800000,4,719709.0,49953,327.38,80291,719709
1000000,4,899690.0,56645,377.68,100310,899690
2,5,2.0,0,0.0,0,2
3,5,2.0,0,0.0,1,2
100,5,86.0,59,0.57,14,86
200,5,180.0,63,0.61,20,180
2000,5,1782.0,213,1.48,218,1782
10000,5,8982.0,4163,22.22,1018,8982
20000,5,17957.0,10879,56.61,2043,17957
40000,5,35942.0,11544,61.62,4058,35942
60000,5,54013.0,12203,66.52,5987,54013
80000,5,72019.0,12861,71.44,7981,72019
200000,5,179885.0,16958,102.3,20115,179885
400000,5,359891.0,23703,152.71,40109,359891
600000,5,539652.0,30421,202.77,60348,539652
800000,5,719446.0,37126,253.14,80554,719446
1000000,5,899412.0,43985,304.42,100588,899412
2,6,2.0,0,0.0,0,2
3,6,3.0,0,0.0,0,3
100,6,91.0,40,0.39,9,91
200,6,176.0,137,1.36,24,176
2000,6,1765.0,270,2.54,235,1765
10000,6,8950.0,955,6.69,1050,8950
20000,6,17965.0,1515,10.33,2035,17965
40000,6,35870.0,3768,23.29,4130,35870
60000,6,53842.0,4413,28.12,6158,53842
80000,6,71880.0,5078,33.1,8120,71880
200000,6,179892.0,9005,62.76,20108,179892
400000,6,359518.0,17349,121.01,40482,359518
