Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.7,1.92,0.1029999999999998,0.3,1.7
3,2.53,2.86,0.1540000000000001,0.47,2.53
100,86.12,58.96,3.5994999999999995,13.88,86.12
200,173.44,99.06,6.054500000000001,26.56,173.44
2000,1773.55,432.68,26.338500000000003,226.45,1773.55
10000,8932.11,1020.02,69.04349999999994,1067.89,8932.11
20000,17882.98,1687.14,119.21100000000004,2117.02,17882.98
40000,35780.74,3018.03,219.0199999999999,4219.26,35780.74
60000,53674.2,4349.55,318.70699999999994,6325.8,53674.2
80000,71574.19,5683.95,418.73850000000016,8425.81,71574.19
200000,178988.98,13676.24,1017.956,21011.02,178988.98
400000,357995.79,26996.77,2017.477,42004.21,357995.79
600000,537004.8,40331.56,3018.191,62995.2,537004.8
800000,715989.81,53656.71,4017.234,84010.19,715989.81
1000000,894999.13,66998.47,5017.655999999999,105000.87,894999.13
