Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.82,0.66,0.004700000000000003,0.18,1.82
3,2.72,1.02,0.007500000000000004,0.28,2.72
100,89.5,46.82,0.23659999999999998,10.5,89.5
200,178.84,93.9,0.47230000000000005,21.16,178.84
2000,1795.59,889.77,4.446200000000001,204.41,1795.59
10000,8980.24,4051.16,20.256999999999998,1019.76,8980.24
20000,17963.03,7662.08,38.309400000000004,2036.97,17963.03
40000,35931.07,13688.94,68.4454,4068.93,35931.07
60000,53898.77,19004.27,95.02109999999999,6101.23,53898.77
80000,71872.04,24156.88,120.78160000000001,8127.96,71872.04
200000,179736.44,54229.4,271.1445,20263.56,179736.44
400000,359485.65,104197.6,520.9849999999997,40514.35,359485.65
600000,539245.31,154192.62,770.9609999999997,60754.69,539245.31
800000,718973.41,204203.31,1021.0144,81026.59,718973.41
1000000,898731.22,254195.8,1270.9812000000002,101268.78,898731.22
