Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.69,1.0,0.08999999999999991,0.31,1.69
3,2.46,1.79,0.16109999999999983,0.54,2.46
100,84.11,48.11,4.329900000000002,15.89,84.11
200,168.59,91.96,8.2764,31.41,168.59
2000,1734.71,500.64,45.05759999999999,265.29,1734.71
10000,8824.02,840.32,75.62880000000006,1175.98,8824.02
20000,17715.59,940.83,84.67470000000002,2284.41,17715.59
40000,35507.44,1016.63,91.49669999999998,4492.56,35507.44
60000,53298.53,1054.21,94.87889999999996,6701.47,53298.53
80000,71095.53,1075.52,96.79679999999996,8904.47,71095.53
200000,177908.06,1129.94,101.69460000000002,22091.94,177908.06
400000,355903.15,1152.87,103.75829999999998,44096.85,355903.15
600000,533907.47,1170.97,105.3873,66092.53,533907.47
800000,711881.17,1181.07,106.29629999999997,88118.83,711881.17
1000000,889886.92,1183.2,106.488,110113.08,889886.92
