Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.74,1.0,0.0999999999999998,0.26,1.74
3,2.5,2.0,0.1999999999999996,0.5,2.5
100,82.96,65.92,6.592000000000005,17.04,82.96
200,166.3,128.5,12.849999999999996,33.7,166.3
2000,1714.8,841.66,84.166,285.2,1714.8
10000,8848.17,1509.05,150.90500000000003,1151.83,8848.17
20000,17831.86,1678.4,167.83999999999995,2168.14,17831.86
40000,35816.56,1813.61,181.361,4183.44,35816.56
60000,53804.56,1869.62,186.96200000000007,6195.44,53804.56
80000,71800.93,1901.17,190.11700000000005,8199.07,71800.93
200000,179806.86,1978.04,197.804,20193.14,179806.86
400000,359801.25,2017.47,201.747,40198.75,359801.25
600000,539810.91,2033.54,203.354,60189.09,539810.91
800000,719790.47,2048.27,204.82700000000008,80209.53,719790.47
1000000,899801.14,2056.98,205.6980000000002,100198.86,899801.14
