Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,2,0.11,0,2
3,1,3.0,2,0.11,0,3
100,1,92.0,67,3.73,8,92
200,1,176.0,130,6.97,24,176
2000,1,1746.0,1067,44.24,254,1746
10000,1,8914.0,4224,102.45,1086,8914
20000,1,17847.0,8227,150.67,2153,17847
40000,1,35811.0,11555,185.93,4189,35811
60000,1,53766.0,13802,222.8,6234,53766
80000,1,71740.0,14496,230.1,8260,71740
200000,1,179499.0,27676,367.12,20501,179499
400000,1,359545.0,32100,412.08,40455,359545
600000,1,539623.0,32318,414.26,60377,539623
800000,1,719579.0,33069,422.67,80421,719579
1000000,1,899356.0,35012,443.09,100644,899356
2,2,2.0,2,0.11,0,2
3,2,3.0,2,0.11,0,3
100,2,86.0,66,3.54,14,86
200,2,168.0,129,6.69,32,168
2000,2,1779.0,941,35.87,221,1779
10000,2,8912.0,5190,106.08,1088,8912
20000,2,17891.0,7835,137.21,2109,17891
40000,2,35805.0,11763,190.08,4195,35805
60000,2,53790.0,13263,208.68,6210,53790
80000,2,71931.0,14610,222.15,8069,71931
200000,2,179879.0,19737,279.99,20121,179879
400000,2,359875.0,24104,325.46,40125,359875
600000,2,539854.0,24844,332.95,60146,539854
800000,2,719831.0,26058,345.09,80169,719831
1000000,2,899822.0,26370,348.21,100178,899822
2,3,1.0,2,0.11,1,1
3,3,2.0,2,0.11,1,2
100,3,91.0,66,3.63,9,91
200,3,183.0,132,7.08,17,183
2000,3,1771.0,1159,43.99,229,1771
10000,3,8961.0,5371,103.66,1039,8961
20000,3,17941.0,8113,147.01,2059,17941
40000,3,35834.0,13459,208.03,4166,35834
60000,3,53818.0,15036,225.24,6182,53818
80000,3,71823.0,15539,233.24,8177,71823
200000,3,179768.0,20335,284.98,20232,179768
400000,3,359725.0,27185,357.8,40275,359725
600000,3,539507.0,31143,402.78,60493,539507
800000,3,719589.0,31341,404.76,80411,719589
1000000,3,899734.0,31500,406.35,100266,899734
2,4,2.0,2,0.11,0,2
3,4,3.0,2,0.11,0,3
100,4,83.0,66,3.54,17,83
200,4,168.0,128,6.77,32,168
2000,4,1751.0,1121,40.28,249,1751
10000,4,8837.0,3810,109.92,1163,8837
20000,4,17870.0,5311,127.36,2130,17870
40000,4,35899.0,7966,162.1,4101,35899
60000,4,53806.0,9455,180.41,6194,53806
80000,4,71770.0,11122,200.05,8230,71770
200000,4,179816.0,14701,237.91,20184,179816
400000,4,359702.0,20058,292.92,40298,359702
600000,4,539637.0,21091,303.97,60363,539637
800000,4,719697.0,22394,317.54,80303,719697
1000000,4,899726.0,22447,318.25,100274,899726
2,5,2.0,2,0.11,0,2
3,5,2.0,2,0.11,1,2
100,5,82.0,66,3.72,18,82
200,5,172.0,130,7.06,28,172
2000,5,1738.0,1129,44.86,262,1738
10000,5,8906.0,4129,99.79,1094,8906
20000,5,17882.0,7881,148.29,2118,17882
40000,5,35824.0,13571,216.35,4176,35824
60000,5,53880.0,14538,226.74,6120,53880
80000,5,71859.0,16815,250.59,8141,71859
200000,5,179699.0,22953,321.6,20301,179699
400000,5,359722.0,26452,359.02,40278,359722
600000,5,539496.0,29493,392.58,60504,539496
800000,5,719342.0,30269,402.05,80658,719342
1000000,5,899346.0,30838,407.74,100654,899346
2,6,2.0,2,0.11,0,2
3,6,3.0,2,0.11,0,3
100,6,88.0,66,3.54,12,88
200,6,170.0,129,6.69,30,170
2000,6,1723.0,965,42.5,277,1723
10000,6,8876.0,3282,92.49,1124,8876
20000,6,17871.0,4965,117.06,2129,17871
40000,6,35738.0,9776,175.34,4262,35738
60000,6,53703.0,11317,191.83,6297,53703
80000,6,71725.0,12715,205.9,8275,71725
200000,6,179716.0,16109,240.65,20284,179716
400000,6,359300.0,25400,342.02,40700,359300
600000,6,539365.0,25784,346.22,60635,539365
800000,6,719351.0,25975,348.13,80649,719351
1000000,6,899091.0,26529,353.94,100909,899091
2,7,1.0,2,0.11,1,1
3,7,2.0,2,0.11,1,2
100,7,89.0,67,3.64,11,89
200,7,171.0,129,6.51,29,171
2000,7,1725.0,1083,41.79,275,1725
10000,7,8864.0,3988,95.95,1136,8864
20000,7,17804.0,7740,138.42,2196,17804
40000,7,35772.0,11274,176.82,4228,35772
60000,7,53802.0,12269,188.57,6198,53802
80000,7,71760.0,14886,215.46,8240,71760
200000,7,179799.0,20452,272.92,20201,179799
400000,7,359837.0,25332,324.96,40163,359837
600000,7,539934.0,27633,348.33,60066,539934
800000,7,719916.0,32712,399.21,80084,719916
1000000,7,899939.0,32972,401.81,100061,899939
2,8,2.0,2,0.11,0,2
3,8,3.0,2,0.11,0,3
100,8,85.0,66,3.63,15,85
200,8,176.0,134,7.37,24,176
2000,8,1751.0,1220,48.65,249,1751
10000,8,8893.0,3336,95.73,1107,8893
20000,8,17852.0,5223,124.86,2148,17852
40000,8,35758.0,8147,163.64,4242,35758
60000,8,53767.0,9390,178.41,6233,53767
80000,8,71724.0,12301,209.23,8276,71724
200000,8,179725.0,13856,226.67,20275,179725
400000,8,359839.0,16251,250.8,40161,359839
600000,8,539683.0,18156,270.84,60317,539683
800000,8,719634.0,25798,347.26,80366,719634
1000000,8,899653.0,25947,349.02,100347,899653
2,9,2.0,2,0.11,0,2
3,9,3.0,2,0.11,0,3
100,9,89.0,67,3.73,11,89
200,9,170.0,132,7.17,30,170
2000,9,1737.0,1211,50.72,263,1737
10000,9,8874.0,5891,138.02,1126,8874
20000,9,17868.0,9416,178.31,2132,17868
40000,9,35782.0,13211,229.58,4218,35782
60000,9,53744.0,15473,255.44,6256,53744
80000,9,71757.0,15735,262.11,8243,71757
200000,9,179934.0,18465,290.13,20066,179934
400000,9,359795.0,21354,320.28,40205,359795
600000,9,539839.0,21770,324.53,60161,539839
800000,9,719816.0,24485,351.95,80184,719816
1000000,9,899896.0,24550,352.6,100104,899896
2,10,2.0,2,0.11,0,2
3,10,3.0,2,0.11,0,3
100,10,87.0,67,3.64,13,87
200,10,172.0,131,7.25,28,172
2000,10,1755.0,1166,44.87,245,1755
10000,10,8930.0,4150,108.37,1070,8930
20000,10,17941.0,5773,138.19,2059,17941
40000,10,35897.0,9973,200.26,4103,35897
60000,10,53938.0,11553,218.76,6062,53938
80000,10,71957.0,13259,236.36,8043,71957
200000,10,179795.0,24649,366.28,20205,179795
400000,10,359609.0,30682,432.1,40391,359609
600000,10,539554.0,32589,452.97,60446,539554
800000,10,719566.0,33847,466.63,80434,719566
1000000,10,899613.0,34369,472.75,100387,899613
2,11,2.0,2,0.11,0,2
3,11,3.0,2,0.11,0,3
100,11,86.0,66,3.45,14,86
200,11,173.0,129,6.69,27,173
2000,11,1725.0,1110,41.61,275,1725
10000,11,8908.0,4680,102.06,1092,8908
20000,11,17850.0,9068,159.44,2150,17850
40000,11,35744.0,13078,205.39,4256,35744
60000,11,53729.0,16023,236.46,6271,53729
80000,11,71689.0,17590,254.74,8311,71689
200000,11,179617.0,20841,290.76,20383,179617
400000,11,359261.0,33001,412.99,40739,359261
600000,11,539385.0,33119,414.17,60615,539385
800000,11,719189.0,34774,430.9,80811,719189
1000000,11,899266.0,34795,431.11,100734,899266
2,12,2.0,2,0.11,0,2
3,12,3.0,2,0.11,0,3
100,12,84.0,67,3.64,16,84
200,12,167.0,130,6.61,33,167
2000,12,1764.0,1114,41.92,236,1764
10000,12,8903.0,5494,102.64,1097,8903
20000,12,17865.0,8345,133.67,2135,17865
40000,12,35768.0,12408,186.18,4232,35768
60000,12,53705.0,15133,218.83,6295,53705
80000,12,71737.0,16277,230.45,8263,71737
200000,12,179694.0,31511,388.19,20306,179694
400000,12,359624.0,37375,448.54,40376,359624
600000,12,539615.0,39223,468.55,60385,539615
800000,12,719419.0,41238,488.79,80581,719419
1000000,12,899230.0,43041,506.82,100770,899230
2,13,2.0,2,0.11,0,2
3,13,3.0,2,0.11,0,3
100,13,82.0,68,3.65,18,82
200,13,171.0,135,7.11,29,171
2000,13,1752.0,1221,49.11,248,1752
10000,13,8823.0,5169,125.22,1177,8823
20000,13,17833.0,7181,153.44,2167,17833
40000,13,35807.0,12048,207.51,4193,35807
60000,13,53829.0,13311,226.17,6171,53829
80000,13,71779.0,16855,262.87,8221,71779
200000,13,179668.0,26440,364.21,20332,179668
400000,13,359329.0,35123,451.49,40671,359329
600000,13,539377.0,35792,459.08,60623,539377
800000,13,719534.0,35792,459.08,80466,719534
1000000,13,899304.0,36688,468.4,100696,899304
2,14,2.0,2,0.11,0,2
