Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,1,0.05,0,3
100,1,93.0,50,2.25,7,93
200,1,178.0,95,4.27,22,178
2000,1,1743.0,727,32.72,257,1743
10000,1,8882.0,2084,93.78,1118,8882
20000,1,17802.0,2539,114.26,2198,17802
40000,1,35698.0,2755,123.98,4302,35698
60000,1,53590.0,2986,134.37,6410,53590
80000,1,71475.0,3023,136.04,8525,71475
200000,1,178756.0,3669,165.1,21244,178756
400000,1,357847.0,3715,167.17,42153,357847
600000,1,537006.0,3717,167.26,62994,537006
800000,1,715937.0,3793,170.68,84063,715937
1000000,1,894716.0,3854,173.43,105284,894716
2,2,2.0,1,0.05,0,2
3,2,3.0,1,0.05,0,3
100,2,85.0,47,2.11,15,85
200,2,165.0,89,4.0,35,165
2000,2,1774.0,471,21.2,226,1774
10000,2,8906.0,1420,63.9,1094,8906
20000,2,17860.0,1795,80.78,2140,17860
40000,2,35706.0,2699,121.46,4294,35706
60000,2,53610.0,2897,130.37,6390,53610
80000,2,71647.0,2897,130.37,8353,71647
200000,2,179042.0,3463,155.83,20958,179042
400000,2,358051.0,3540,159.3,41949,358051
600000,2,537094.0,3639,163.75,62906,537094
800000,2,716045.0,3713,167.08,83955,716045
1000000,2,895042.0,3755,168.97,104958,895042
2,3,1.0,1,0.05,1,1
3,3,2.0,1,0.05,1,2
100,3,92.0,50,2.25,8,92
200,3,187.0,100,4.5,13,187
2000,3,1773.0,870,39.15,227,1773
10000,3,8958.0,1623,73.04,1042,8958
20000,3,17916.0,1845,83.03,2084,17916
40000,3,35739.0,2076,93.42,4261,35739
60000,3,53593.0,2595,116.78,6407,53593
80000,3,71512.0,2624,118.08,8488,71512
200000,3,178899.0,3597,161.86,21101,178899
400000,3,357957.0,3680,165.6,42043,357957
600000,3,536752.0,3857,173.56,63248,536752
800000,3,715837.0,3860,173.7,84163,715837
1000000,3,894929.0,4133,185.98,105071,894929
2,4,2.0,1,0.05,0,2
3,4,3.0,1,0.05,0,3
100,4,81.0,46,2.07,19,81
200,4,166.0,83,3.73,34,166
2000,4,1751.0,482,21.69,249,1751
