Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.8,1.0,0.010000000000000007,0.2,1.8
3,2.68,1.89,0.010000000000000007,0.32,2.68
100,88.95,49.81,0.2520000000000001,11.05,88.95
200,177.8,104.01,0.5226,22.2,177.8
2000,1785.36,974.15,4.8727,214.64,1785.36
10000,8927.42,4632.88,23.166200000000014,1072.58,8927.42
20000,17854.54,9161.89,45.80919999999998,2145.46,17854.54
40000,35708.74,17963.31,89.81629999999997,4291.26,35708.74
60000,53560.35,26772.89,133.86419999999995,6439.65,53560.35
80000,71414.65,35581.75,177.90850000000003,8585.35,71414.65
100000,89273.27,44489.02,222.44480000000007,10726.73,89273.27
200000,178566.79,88489.5,442.44720000000024,21433.21,178566.79
400000,357124.8,176489.52,882.4496999999999,42875.2,357124.8
600000,535690.05,264489.52,1322.4496999999997,64309.95,535690.05
800000,714225.47,352489.52,1762.4497000000003,85774.53,714225.47
1000000,892791.1,440489.52,2202.4497000000006,107208.9,892791.1
