Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.81,1.0,0.010000000000000007,0.19,1.81
3,2.69,2.0,0.020000000000000014,0.31,2.69
100,88.97,62.93,0.6293000000000001,11.03,88.97
200,177.98,125.03,1.2503,22.02,177.98
2000,1788.61,1140.06,11.400600000000003,211.39,1788.61
10000,8949.79,5056.4,50.56399999999998,1050.21,8949.79
20000,17902.73,9802.8,98.02799999999998,2097.27,17902.73
40000,35807.8,19214.31,192.1431,4192.2,35807.8
60000,53707.78,28614.47,286.14470000000017,6292.22,53707.78
80000,71613.01,38014.44,380.1444,8386.99,71613.01
100000,89521.29,47415.84,474.1583999999999,10478.71,89521.29
200000,179064.77,94415.98,944.1598000000004,20935.23,179064.77
400000,358121.43,188415.98,1884.1598,41878.57,358121.43
600000,537193.33,282415.98,2824.1598000000004,62806.67,537193.33
800000,716227.66,376415.98,3764.1598000000004,83772.34,716227.66
1000000,895299.27,470415.98,4704.159799999999,104700.73,895299.27
