Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.04,0,2
3,1,3.0,1,0.04,0,3
100,1,94.0,6,0.24,6,94
200,1,179.0,6,0.24,21,179
2000,1,1771.0,6,0.24,229,1771
10000,1,8933.0,6,0.24,1067,8933
20000,1,17816.0,6,0.24,2184,17816
40000,1,35634.0,6,0.24,4366,35634
60000,1,53426.0,6,0.24,6574,53426
80000,1,71203.0,6,0.24,8797,71203
100000,1,88980.0,6,0.24,11020,88980
200000,1,177935.0,6,0.24,22065,177935
400000,1,356037.0,6,0.24,43963,356037
600000,1,534216.0,6,0.24,65784,534216
800000,1,712125.0,6,0.24,87875,712125
1000000,1,889859.0,6,0.24,110141,889859
2,2,2.0,1,0.04,0,2
3,2,3.0,1,0.04,0,3
100,2,84.0,81,3.24,16,84
200,2,167.0,103,4.12,33,167
2000,2,1788.0,103,4.12,212,1788
10000,2,8910.0,103,4.12,1090,8910
20000,2,17839.0,103,4.12,2161,17839
40000,2,35605.0,103,4.12,4395,35605
60000,2,53409.0,103,4.12,6591,53409
80000,2,71373.0,103,4.12,8627,71373
100000,2,89107.0,103,4.12,10893,89107
200000,2,178161.0,103,4.12,21839,178161
400000,2,356177.0,103,4.12,43823,356177
600000,2,534251.0,103,4.12,65749,534251
800000,2,712185.0,103,4.12,87815,712185
1000000,2,890221.0,103,4.12,109779,890221
2,3,1.0,1,0.04,1,1
3,3,2.0,1,0.04,1,2
100,3,93.0,1,0.04,7,93
200,3,188.0,1,0.04,12,188
2000,3,1796.0,1,0.04,204,1796
10000,3,8986.0,1,0.04,1014,8986
20000,3,17903.0,1,0.04,2097,17903
40000,3,35650.0,1,0.04,4350,35650
60000,3,53424.0,1,0.04,6576,53424
80000,3,71226.0,1,0.04,8774,71226
100000,3,88944.0,1,0.04,11056,88944
200000,3,178066.0,1,0.04,21934,178066
400000,3,356149.0,1,0.04,43851,356149
600000,3,533912.0,1,0.04,66088,533912
800000,3,711993.0,1,0.04,88007,711993
1000000,3,890071.0,1,0.04,109929,890071
2,4,2.0,1,0.04,0,2
3,4,3.0,1,0.04,0,3
100,4,79.0,78,3.12,21,79
200,4,160.0,174,6.96,40,160
2000,4,1693.0,1974,78.96,307,1693
10000,4,8447.0,9974,398.96,1553,8447
20000,4,17018.0,19974,798.96,2982,17018
40000,4,34107.0,39974,1598.96,5893,34107
60000,4,51009.0,59974,2398.96,8991,51009
80000,4,67970.0,79974,3198.96,12030,67970
100000,4,84967.0,99974,3998.96,15033,84967
200000,4,170062.0,199974,7998.96,29938,170062
400000,4,340165.0,399974,15998.96,59835,340165
600000,4,510263.0,599974,23998.96,89737,510263
800000,4,680537.0,799974,31998.96,119463,680537
1000000,4,850627.0,999974,39998.96,149373,850627
2,5,2.0,1,0.04,0,2
3,5,2.0,1,0.04,1,2
100,5,81.0,97,3.88,19,81
200,5,169.0,197,7.88,31,169
2000,5,1697.0,1997,79.88,303,1697
10000,5,8538.0,9997,399.88,1462,8538
20000,5,17064.0,19997,799.88,2936,17064
40000,5,33996.0,39997,1599.88,6004,33996
60000,5,51064.0,59997,2399.88,8936,51064
80000,5,68022.0,79997,3199.88,11978,68022
100000,5,84981.0,99997,3999.88,15019,84981
200000,5,170001.0,199997,7999.88,29999,170001
400000,5,340125.0,399997,15999.88,59875,340125
600000,5,510097.0,599997,23999.88,89903,510097
800000,5,679897.0,799997,31999.88,120103,679897
1000000,5,850007.0,999997,39999.88,149993,850007
2,6,2.0,1,0.04,0,2
3,6,3.0,1,0.04,0,3
100,6,88.0,22,0.88,12,88
200,6,173.0,22,0.88,27,173
2000,6,1739.0,22,0.88,261,1739
10000,6,8857.0,22,0.88,1143,8857
20000,6,17773.0,22,0.88,2227,17773
40000,6,35482.0,22,0.88,4518,35482
60000,6,53255.0,22,0.88,6745,53255
80000,6,71095.0,22,0.88,8905,71095
100000,6,88962.0,22,0.88,11038,88962
200000,6,177982.0,22,0.88,22018,177982
400000,6,355704.0,22,0.88,44296,355704
600000,6,533779.0,22,0.88,66221,533779
800000,6,711769.0,22,0.88,88231,711769
1000000,6,889526.0,22,0.88,110474,889526
2,7,1.0,1,0.04,1,1
3,7,2.0,2,0.08,1,2
100,7,87.0,99,3.96,13,87
200,7,166.0,199,7.96,34,166
2000,7,1675.0,1999,79.96,325,1675
10000,7,8457.0,9999,399.96,1543,8457
20000,7,16929.0,19999,799.96,3071,16929
40000,7,33911.0,39999,1599.96,6089,33911
60000,7,51001.0,59999,2399.96,8999,51001
80000,7,67931.0,79999,3199.96,12069,67931
100000,7,84967.0,99999,3999.96,15033,84967
200000,7,169984.0,199999,7999.96,30016,169984
400000,7,340102.0,399999,15999.96,59898,340102
600000,7,510111.0,599999,23999.96,89889,510111
800000,7,680097.0,799999,31999.96,119903,680097
1000000,7,850256.0,999999,39999.96,149744,850256
2,8,2.0,1,0.04,0,2
3,8,3.0,1,0.04,0,3
100,8,86.0,28,1.12,14,86
200,8,178.0,28,1.12,22,178
2000,8,1779.0,28,1.12,221,1779
10000,8,8892.0,28,1.12,1108,8892
20000,8,17781.0,28,1.12,2219,17781
40000,8,35506.0,28,1.12,4494,35506
60000,8,53335.0,28,1.12,6665,53335
80000,8,71120.0,28,1.12,8880,71120
100000,8,88951.0,28,1.12,11049,88951
200000,8,177915.0,28,1.12,22085,177915
400000,8,356076.0,28,1.12,43924,356076
600000,8,533854.0,28,1.12,66146,533854
800000,8,711910.0,28,1.12,88090,711910
1000000,8,889873.0,28,1.12,110127,889873
2,9,2.0,1,0.04,0,2
3,9,3.0,1,0.04,0,3
100,9,89.0,21,0.84,11,89
200,9,172.0,23,0.92,28,172
2000,9,1761.0,23,0.92,239,1761
10000,9,8901.0,23,0.92,1099,8901
20000,9,17848.0,23,0.92,2152,17848
40000,9,35591.0,23,0.92,4409,35591
60000,9,53374.0,23,0.92,6626,53374
80000,9,71185.0,23,0.92,8815,71185
100000,9,89061.0,23,0.92,10939,89061
200000,9,178225.0,23,0.92,21775,178225
400000,9,356060.0,23,0.92,43940,356060
600000,9,534070.0,23,0.92,65930,534070
800000,9,712079.0,23,0.92,87921,712079
1000000,9,890123.0,23,0.92,109877,890123
2,10,2.0,1,0.04,0,2
3,10,3.0,1,0.04,0,3
100,10,87.0,32,1.28,13,87
200,10,175.0,35,1.4,25,175
2000,10,1774.0,35,1.4,226,1774
10000,10,8936.0,35,1.4,1064,8936
20000,10,17886.0,35,1.4,2114,17886
40000,10,35723.0,35,1.4,4277,35723
60000,10,53584.0,35,1.4,6416,53584
80000,10,71414.0,35,1.4,8586,71414
100000,10,89226.0,35,1.4,10774,89226
200000,10,178174.0,35,1.4,21826,178174
400000,10,356113.0,35,1.4,43887,356113
600000,10,534055.0,35,1.4,65945,534055
800000,10,712084.0,35,1.4,87916,712084
1000000,10,890145.0,35,1.4,109855,890145
2,11,2.0,1,0.04,0,2
3,11,3.0,1,0.04,0,3
100,11,84.0,62,2.48,16,84
200,11,173.0,123,4.92,27,173
2000,11,1753.0,123,4.92,247,1753
10000,11,8923.0,123,4.92,1077,8923
20000,11,17811.0,123,4.92,2189,17811
