Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.73,2.0,0.09999999999999981,0.27,1.73
3,2.63,2.0,0.09999999999999981,0.37,2.63
100,86.92,57.97,2.4066999999999994,13.08,86.92
200,173.62,114.97,4.7162000000000015,26.38,173.62
2000,1744.42,1140.97,46.296299999999995,255.58,1744.42
10000,8718.57,5700.97,231.0977,1281.43,8718.57
20000,17438.86,11400.97,462.09659999999997,2561.14,17438.86
40000,34876.75,22800.97,924.0949999999996,5123.25,34876.75
60000,52308.88,34200.97,1386.0956999999999,7691.12,52308.88
80000,69745.64,45600.97,1848.0956000000008,10254.36,69745.64
200000,174396.49,114000.97,4620.094599999998,25603.51,174396.49
400000,348775.62,228000.97,9240.0973,51224.38,348775.62
600000,523159.58,342000.97,13860.098300000003,76840.42,523159.58
800000,697519.5,456000.97,18480.09830000001,102480.5,697519.5
1000000,871898.06,570000.97,23100.0983,128101.94,871898.06
