Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.74,1.0,0.0999999999999998,0.26,1.74
3,2.63,1.1,0.1099999999999998,0.37,2.63
100,85.58,37.78,3.778,14.42,85.58
200,171.66,74.78,7.478000000000003,28.34,171.66
2000,1725.62,740.78,74.078,274.38,1725.62
10000,8628.79,3700.78,370.0779999999997,1371.21,8628.79
20000,17257.02,7400.78,740.0779999999996,2742.98,17257.02
40000,34513.56,14800.78,1480.0780000000002,5486.44,34513.56
60000,51768.45,22200.78,2220.078000000001,8231.55,51768.45
80000,69030.25,29600.78,2960.078000000002,10969.75,69030.25
200000,172608.75,74000.78,7400.077999999996,27391.25,172608.75
400000,345210.84,148000.78,14800.078000000003,54789.16,345210.84
600000,517821.07,222000.78,22200.078,82178.93,517821.07
800000,690413.55,296000.78,29600.078000000016,109586.45,690413.55
1000000,863026.78,370000.78,37000.07800000001,136973.22,863026.78
