Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,2,0.02,0,2
3,1,3.0,2,0.02,0,3
100,1,94.0,98,0.98,6,94
200,1,179.0,198,1.98,21,179
2000,1,1771.0,1998,19.98,229,1771
10000,1,8933.0,9998,99.98,1067,8933
20000,1,17816.0,19998,199.98,2184,17816
40000,1,35634.0,39998,399.98,4366,35634
60000,1,53426.0,59998,599.98,6574,53426
80000,1,71203.0,79998,799.98,8797,71203
10000,1,8933.0,9998,99.98,1067,8933
200000,1,177935.0,199998,1999.98,22065,177935
400000,1,356037.0,399998,3999.98,43963,356037
600000,1,534216.0,599998,5999.98,65784,534216
800000,1,712125.0,799998,7999.98,87875,712125
1000000,1,889859.0,999998,9999.98,110141,889859
2,2,2.0,2,0.02,0,2
3,2,3.0,2,0.02,0,3
100,2,89.0,94,0.94,11,89
200,2,172.0,194,1.94,28,172
2000,2,1793.0,1994,19.94,207,1793
10000,2,8915.0,9994,99.94,1085,8915
20000,2,17844.0,19994,199.94,2156,17844
40000,2,35610.0,39994,399.94,4390,35610
60000,2,53414.0,59994,599.94,6586,53414
80000,2,71378.0,79994,799.94,8622,71378
10000,2,8915.0,9994,99.94,1085,8915
200000,2,178166.0,199994,1999.94,21834,178166
400000,2,356182.0,399994,3999.94,43818,356182
600000,2,534256.0,599994,5999.94,65744,534256
800000,2,712190.0,799994,7999.94,87810,712190
1000000,2,890226.0,999994,9999.94,109774,890226
2,3,1.0,2,0.02,1,1
3,3,2.0,2,0.02,1,2
100,3,93.0,51,0.51,7,93
200,3,188.0,101,1.01,12,188
2000,3,1810.0,1001,10.01,190,1810
10000,3,9037.0,5001,50.01,963,9037
20000,3,18006.0,10001,100.01,1994,18006
40000,3,35851.0,20001,200.01,4149,35851
60000,3,53751.0,30001,300.01,6249,53751
80000,3,71662.0,40001,400.01,8338,71662
10000,3,9037.0,5001,50.01,963,9037
200000,3,179074.0,100001,1000.01,20926,179074
400000,3,358133.0,200001,2000.01,41867,358133
600000,3,536904.0,300001,3000.01,63096,536904
800000,3,715968.0,400001,4000.01,84032,715968
1000000,3,895070.0,500001,5000.01,104930,895070
2,4,2.0,2,0.02,0,2
3,4,3.0,2,0.02,0,3
100,4,83.0,97,0.97,17,83
200,4,170.0,197,1.97,30,170
2000,4,1766.0,1997,19.97,234,1766
10000,4,8824.0,9997,99.97,1176,8824
20000,4,17775.0,19997,199.97,2225,17775
40000,4,35625.0,39997,399.97,4375,35625
60000,4,53365.0,59997,599.97,6635,53365
80000,4,71149.0,79997,799.97,8851,71149
10000,4,8824.0,9997,99.97,1176,8824
200000,4,177991.0,199997,1999.97,22009,177991
400000,4,355947.0,399997,3999.97,44053,355947
600000,4,533924.0,599997,5999.97,66076,533924
800000,4,712028.0,799997,7999.97,87972,712028
1000000,4,890085.0,999997,9999.97,109915,890085
2,5,2.0,2,0.02,0,2
3,5,2.0,2,0.02,1,2
100,5,86.0,99,0.99,14,86
200,5,178.0,199,1.99,22,178
2000,5,1764.0,1999,19.99,236,1764
10000,5,8920.0,9999,99.99,1080,8920
20000,5,17829.0,19999,199.99,2171,17829
40000,5,35629.0,39999,399.99,4371,35629
60000,5,53494.0,59999,599.99,6506,53494
80000,5,71278.0,79999,799.99,8722,71278
10000,5,8920.0,9999,99.99,1080,8920
200000,5,178088.0,199999,1999.99,21912,178088
400000,5,356132.0,399999,3999.99,43868,356132
600000,5,534010.0,599999,5999.99,65990,534010
800000,5,711834.0,799999,7999.99,88166,711834
1000000,5,889801.0,999999,9999.99,110199,889801
2,6,2.0,2,0.02,0,2
3,6,3.0,2,0.02,0,3
100,6,91.0,94,0.94,9,91
200,6,176.0,194,1.94,24,176
2000,6,1742.0,1994,19.94,258,1742
10000,6,8860.0,9994,99.94,1140,8860
20000,6,17776.0,19994,199.94,2224,17776
40000,6,35485.0,39994,399.94,4515,35485
60000,6,53258.0,59994,599.94,6742,53258
80000,6,71098.0,79994,799.94,8902,71098
10000,6,8860.0,9994,99.94,1140,8860
200000,6,177985.0,199994,1999.94,22015,177985
400000,6,355707.0,399994,3999.94,44293,355707
600000,6,533782.0,599994,5999.94,66218,533782
800000,6,711772.0,799994,7999.94,88228,711772
1000000,6,889529.0,999994,9999.94,110471,889529
2,7,1.0,2,0.02,1,1
3,7,2.0,2,0.02,1,2
100,7,94.0,97,0.97,6,94
200,7,180.0,197,1.97,20,180
2000,7,1757.0,1997,19.97,243,1757
10000,7,8871.0,9997,99.97,1129,8871
20000,7,17736.0,19997,199.97,2264,17736
40000,7,35526.0,39997,399.97,4474,35526
60000,7,53374.0,59997,599.97,6626,53374
80000,7,71125.0,79997,799.97,8875,71125
10000,7,8871.0,9997,99.97,1129,8871
200000,7,178032.0,199997,1999.97,21968,178032
400000,7,356076.0,399997,3999.97,43924,356076
600000,7,534203.0,599997,5999.97,65797,534203
800000,7,712281.0,799997,7999.97,87719,712281
1000000,7,890317.0,999997,9999.97,109683,890317
2,8,2.0,2,0.02,0,2
3,8,3.0,2,0.02,0,3
100,8,88.0,53,0.53,12,88
200,8,180.0,103,1.03,20,180
2000,8,1789.0,1003,10.03,211,1789
10000,8,8935.0,5003,50.03,1065,8935
20000,8,17873.0,10003,100.03,2127,17873
40000,8,35708.0,20003,200.03,4292,35708
60000,8,53637.0,30003,300.03,6363,53637
80000,8,71524.0,40003,400.03,8476,71524
