Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.69,2.0,0.10999999999999995,0.31,1.69
3,2.6,2.0,0.10999999999999995,0.4,2.6
100,87.71,50.62,1.8768999999999991,12.29,87.71
200,175.91,99.44,3.436999999999999,24.09,175.91
2000,1783.58,837.31,16.7476,216.42,1783.58
10000,8954.44,3185.49,46.537500000000016,1045.56,8954.44
20000,17937.01,4828.94,65.00330000000001,2062.99,17937.01
40000,35911.55,7018.23,89.17499999999998,4088.45,35911.55
60000,53891.41,8341.35,103.48980000000002,6108.59,53891.41
80000,71880.45,9275.97,113.6496,8119.55,71880.45
200000,179863.38,12106.8,144.12779999999995,20136.62,179863.38
400000,359840.43,13972.85,165.0158,40159.57,359840.43
600000,539840.65,14975.0,176.33509999999995,60159.35,539840.65
800000,719813.48,15728.59,184.3759,80186.52,719813.48
1000000,899820.44,16152.64,189.20499999999996,100179.56,899820.44
