Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.78,1.0,0.049999999999999906,0.22,1.78
3,2.68,1.1,0.0549999999999999,0.32,2.68
100,87.94,36.24,1.8120000000000003,12.06,87.94
200,176.31,62.13,3.1065000000000005,23.69,176.31
2000,1785.01,298.47,14.923499999999997,214.99,1785.01
10000,8970.86,584.32,29.215999999999987,1029.14,8970.86
20000,17965.99,692.8,34.639999999999986,2034.01,17965.99
40000,35958.8,797.04,39.852000000000004,4041.2,35958.8
60000,53948.93,864.29,43.2145,6051.07,53948.93
80000,71946.48,909.99,45.499500000000005,8053.52,71946.48
200000,179952.69,1057.18,52.85900000000001,20047.31,179952.69
400000,359946.37,1152.19,57.6095,40053.63,359946.37
600000,539954.43,1222.08,61.10400000000002,60045.57,539954.43
800000,719933.06,1273.75,63.68749999999997,80066.94,719933.06
1000000,899943.19,1303.6,65.17999999999999,100056.81,899943.19
