Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,1,0.01,0,3
100,1,95.0,50,0.25,5,95
200,1,183.0,96,0.48,17,183
2000,1,1781.0,879,4.39,219,1781
10000,1,8961.0,5466,27.33,1039,8961
20000,1,17882.0,8589,42.95,2118,17882
40000,1,35782.0,11171,55.86,4218,35782
60000,1,53676.0,12607,63.04,6324,53676
80000,1,71558.0,13082,65.41,8442,71558
10000,1,8961.0,5466,27.33,1039,8961
200000,1,178846.0,17256,86.28,21154,178846
400000,1,357923.0,20603,103.01,42077,357923
600000,1,537082.0,20662,103.31,62918,537082
800000,1,716012.0,21438,107.19,83988,716012
1000000,1,894783.0,23859,119.29,105217,894783
2,2,2.0,1,0.01,0,2
3,2,3.0,1,0.01,0,3
100,2,88.0,75,0.38,12,88
200,2,171.0,166,0.83,29,171
2000,2,1798.0,368,1.84,202,1798
10000,2,8958.0,1682,8.41,1042,8958
20000,2,17911.0,5281,26.4,2089,17911
40000,2,35759.0,10732,53.66,4241,35759
60000,2,53670.0,11481,57.41,6330,53670
80000,2,71707.0,11481,57.41,8293,71707
10000,2,8958.0,1682,8.41,1042,8958
200000,2,179052.0,27564,137.82,20948,179052
400000,2,358015.0,38712,193.56,41985,358015
600000,2,537040.0,43174,215.87,62960,537040
800000,2,715978.0,46151,230.75,84022,715978
1000000,2,894955.0,51163,255.81,105045,894955
2,3,1.0,1,0.01,1,1
3,3,2.0,1,0.01,1,2
100,3,93.0,26,0.13,7,93
200,3,188.0,126,0.63,12,188
2000,3,1801.0,1279,6.39,199,1801
10000,3,9007.0,5381,26.9,993,9007
20000,3,17951.0,9802,49.01,2049,17951
40000,3,35756.0,15515,77.58,4244,35756
60000,3,53596.0,22172,110.86,6404,53596
80000,3,71443.0,34920,174.6,8557,71443
10000,3,9007.0,5381,26.9,993,9007
200000,3,178841.0,40041,200.2,21159,178841
400000,3,357884.0,43919,219.59,42116,357884
600000,3,536669.0,47871,239.35,63331,536669
800000,3,715753.0,48055,240.27,84247,715753
1000000,3,894862.0,48135,240.67,105138,894862
2,4,2.0,1,0.01,0,2
3,4,3.0,1,0.01,0,3
100,4,84.0,28,0.14,16,84
200,4,172.0,47,0.24,28,172
2000,4,1773.0,685,3.42,227,1773
10000,4,8882.0,1386,6.93,1118,8882
20000,4,17890.0,1396,6.98,2110,17890
40000,4,35837.0,3331,16.66,4163,35837
60000,4,53671.0,3686,18.43,6329,53671
80000,4,71541.0,5872,29.36,8459,71541
10000,4,8882.0,1386,6.93,1118,8882
200000,4,178916.0,21655,108.27,21084,178916
400000,4,357852.0,29382,146.91,42148,357852
600000,4,536788.0,38305,191.52,63212,536788
800000,4,715852.0,38389,191.94,84148,715852
1000000,4,894869.0,38600,193.0,105131,894869
2,5,2.0,1,0.01,0,2
3,5,2.0,1,0.01,1,2
100,5,86.0,40,0.2,14,86
200,5,178.0,108,0.54,22,178
2000,5,1768.0,1158,5.79,232,1768
10000,5,8939.0,6224,31.12,1061,8939
20000,5,17890.0,8290,41.45,2110,17890
40000,5,35773.0,10100,50.5,4227,35773
60000,5,53732.0,11715,58.58,6268,53732
80000,5,71639.0,11976,59.88,8361,71639
10000,5,8939.0,6224,31.12,1061,8939
200000,5,178903.0,26180,130.9,21097,178903
400000,5,357931.0,30036,150.18,42069,357931
600000,5,536746.0,42508,212.54,63254,536746
800000,5,715542.0,51881,259.4,84458,715542
1000000,5,894554.0,52342,261.71,105446,894554
2,6,2.0,1,0.01,0,2
3,6,3.0,1,0.01,0,3
100,6,91.0,43,0.22,9,91
200,6,178.0,88,0.44,22,178
2000,6,1752.0,771,3.85,248,1752
10000,6,8899.0,1461,7.3,1101,8899
20000,6,17871.0,1527,7.63,2129,17871
40000,6,35686.0,2109,10.55,4314,35686
60000,6,53564.0,2582,12.91,6436,53564
80000,6,71478.0,6476,32.38,8522,71478
10000,6,8899.0,1461,7.3,1101,8899
200000,6,178919.0,9267,46.34,21081,178919
400000,6,357615.0,11692,58.46,42385,357615
600000,6,536589.0,23618,118.09,63411,536589
800000,6,715571.0,24260,121.3,84429,715571
1000000,6,894343.0,24503,122.51,105657,894343
2,7,1.0,1,0.01,1,1
3,7,2.0,2,0.01,1,2
100,7,94.0,91,0.46,6,94
200,7,180.0,162,0.81,20,180
2000,7,1763.0,1020,5.1,237,1763
10000,7,8908.0,2935,14.68,1092,8908
20000,7,17816.0,4253,21.27,2184,17816
40000,7,35681.0,11084,55.42,4319,35681
60000,7,53632.0,11663,58.32,6368,53632
80000,7,71493.0,11811,59.06,8507,71493
10000,7,8908.0,2935,14.68,1092,8908
200000,7,178977.0,13926,69.63,21023,178977
400000,7,358064.0,17024,85.12,41936,358064
600000,7,537169.0,17620,88.1,62831,537169
800000,7,716236.0,17740,88.7,83764,716236
1000000,7,895261.0,18149,90.74,104739,895261
2,8,2.0,1,0.01,0,2
3,8,3.0,1,0.01,0,3
100,8,88.0,55,0.28,12,88
200,8,180.0,140,0.7,20,180
2000,8,1785.0,1127,5.63,215,1785
10000,8,8914.0,5501,27.5,1086,8914
20000,8,17817.0,13094,65.47,2183,17817
40000,8,35640.0,18220,91.1,4360,35640
60000,8,53555.0,19194,95.97,6445,53555
80000,8,71424.0,23834,119.17,8576,71424
10000,8,8914.0,5501,27.5,1086,8914
200000,8,178792.0,31939,159.69,21208,178792
400000,8,357924.0,35288,176.44,42076,357924
600000,8,536732.0,37490,187.45,63268,536732
800000,8,715718.0,39149,195.74,84282,715718
1000000,8,894685.0,39618,198.09,105315,894685
2,9,2.0,1,0.01,0,2
3,9,3.0,1,0.01,0,3
100,9,91.0,77,0.39,9,91
200,9,174.0,152,0.76,26,174
2000,9,1764.0,1803,9.02,236,1764
10000,9,8947.0,3122,15.61,1053,8947
20000,9,17939.0,3336,16.68,2061,17939
40000,9,35786.0,5348,26.74,4214,35786
60000,9,53669.0,7868,39.34,6331,53669
80000,9,71557.0,14033,70.17,8443,71557
10000,9,8947.0,3122,15.61,1053,8947
200000,9,179183.0,14768,73.84,20817,179183
400000,9,358048.0,21903,109.51,41952,358048
600000,9,537064.0,29413,147.06,62936,537064
800000,9,716057.0,30483,152.41,83943,716057
1000000,9,895122.0,30703,153.51,104878,895122
2,10,2.0,1,0.01,0,2
3,10,3.0,1,0.01,0,3
100,10,88.0,48,0.24,12,88
200,10,177.0,53,0.27,23,177
2000,10,1784.0,358,1.79,216,1784
10000,10,8969.0,2082,10.41,1031,8969
20000,10,17960.0,2825,14.13,2040,17960
40000,10,35838.0,12113,60.57,4162,35838
60000,10,53800.0,12887,64.44,6200,53800
80000,10,71701.0,19874,99.37,8299,71701
10000,10,8969.0,2082,10.41,1031,8969
200000,10,179014.0,32957,164.78,20986,179014
400000,10,357840.0,49045,245.22,42160,357840
600000,10,536658.0,72459,362.29,63342,536658
800000,10,715698.0,73626,368.13,84302,715698
1000000,10,894750.0,74083,370.41,105250,894750
2,11,2.0,1,0.01,0,2
3,11,3.0,1,0.01,0,3
100,11,88.0,40,0.2,12,88
200,11,179.0,47,0.24,21,179
2000,11,1765.0,339,1.69,235,1765
10000,11,8971.0,623,3.11,1029,8971
20000,11,17906.0,1076,5.38,2094,17906
40000,11,35746.0,1972,9.86,4254,35746
60000,11,53639.0,2590,12.95,6361,53639
80000,11,71518.0,2757,13.79,8482,71518
10000,11,8971.0,623,3.11,1029,8971
200000,11,178783.0,25865,129.32,21217,178783
400000,11,357517.0,37919,189.59,42483,357517
600000,11,536665.0,39025,195.12,63335,536665
800000,11,715464.0,40032,200.16,84536,715464
1000000,11,894544.0,40032,200.16,105456,894544
2,12,2.0,1,0.01,0,2
3,12,3.0,1,0.01,0,3
100,12,85.0,5,0.03,15,85
200,12,173.0,5,0.03,27,173
2000,12,1796.0,841,4.2,204,1796
10000,12,8927.0,4729,23.64,1073,8927
20000,12,17847.0,9024,45.12,2153,17847
40000,12,35657.0,16033,80.16,4343,35657
60000,12,53511.0,17795,88.97,6489,53511
80000,12,71438.0,17795,88.97,8562,71438
10000,12,8927.0,4729,23.64,1073,8927
200000,12,178931.0,19471,97.35,21069,178931
