Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,2,0.01,0,3
100,1,95.0,83,0.21,5,95
200,1,184.0,168,0.37,16,184
2000,1,1789.0,1623,3.48,211,1789
10000,1,9004.0,6340,10.74,996,9004
20000,1,17991.0,12850,15.55,2009,17991
40000,1,35956.0,24965,55.4,4044,35956
60000,1,53934.0,38278,69.23,6066,53934
80000,1,71907.0,49681,80.73,8093,71907
200000,1,179762.0,97114,129.59,20238,179762
400000,1,359817.0,122867,146.77,40183,359817
600000,1,539898.0,142758,149.31,60102,539898
800000,1,719853.0,146860,154.1,80147,719853
1000000,1,899644.0,161564,160.82,100356,899644
2,2,2.0,1,0.01,0,2
3,2,3.0,2,0.01,0,3
100,2,89.0,82,0.13,11,89
200,2,173.0,149,0.18,27,173
2000,2,1808.0,1306,2.94,192,1808
10000,2,9007.0,5681,10.36,993,9007
20000,2,18009.0,11875,25.33,1991,18009
40000,2,35962.0,22866,49.05,4038,35962
60000,2,53951.0,32844,70.71,6049,53951
80000,2,72099.0,35001,70.75,7901,72099
200000,2,180070.0,51968,119.37,19930,180070
400000,2,360006.0,130280,227.24,39994,360006
600000,2,539981.0,293982,242.71,60019,539981
800000,2,719909.0,438257,301.61,80091,719909
1000000,2,899891.0,512280,311.66,100109,899891
2,3,1.0,1,0.01,1,1
3,3,2.0,2,0.01,1,2
100,3,93.0,99,0.25,7,93
200,3,189.0,192,0.52,11,189
2000,3,1820.0,1342,3.25,180,1820
10000,3,9073.0,6010,10.32,927,9073
20000,3,18089.0,12732,17.94,1911,18089
40000,3,36016.0,24282,33.16,3984,36016
60000,3,54003.0,32980,44.0,5997,54003
80000,3,72007.0,46315,48.13,7993,72007
200000,3,179988.0,75871,67.62,20012,179988
400000,3,359979.0,172681,88.21,40021,359979
600000,3,539792.0,278285,94.08,60208,539792
800000,3,719869.0,429562,103.13,80131,719869
1000000,3,900015.0,458515,103.31,99985,900015
2,4,2.0,1,0.01,0,2
3,4,3.0,2,0.01,0,3
100,4,86.0,34,0.15,14,86
200,4,176.0,69,0.16,24,176
2000,4,1793.0,1109,1.45,207,1793
10000,4,8949.0,5790,5.77,1051,8949
20000,4,17999.0,10235,7.29,2001,17999
40000,4,36053.0,28060,19.37,3947,36053
60000,4,53971.0,35356,24.11,6029,53971
80000,4,71955.0,46385,24.96,8045,71955
200000,4,179936.0,119790,137.7,20064,179936
400000,4,359839.0,256081,166.32,40161,359839
600000,4,539677.0,387902,265.76,60323,539677
800000,4,719743.0,577627,276.42,80257,719743
1000000,4,899767.0,702683,279.28,100233,899767
2,5,2.0,1,0.01,0,2
3,5,2.0,2,0.01,1,2
100,5,86.0,46,0.22,14,86
200,5,180.0,66,0.32,20,180
2000,5,1780.0,1172,3.83,220,1780
10000,5,8984.0,6265,19.36,1016,8984
20000,5,17970.0,11909,40.06,2030,17970
40000,5,35948.0,18665,50.74,4052,35948
60000,5,54016.0,22827,56.26,5984,54016
80000,5,72020.0,32878,59.23,7980,72020
200000,5,179880.0,48910,89.33,20120,179880
400000,5,359906.0,77723,126.86,40094,359906
600000,5,539710.0,213979,134.82,60290,539710
800000,5,719521.0,246996,188.17,80479,719521
1000000,5,899523.0,255951,193.43,100477,899523
2,6,2.0,1,0.01,0,2
3,6,3.0,2,0.01,0,3
100,6,91.0,88,0.39,9,91
200,6,178.0,172,0.75,22,178
2000,6,1766.0,1074,3.52,234,1766
10000,6,8945.0,5240,12.41,1055,8945
20000,6,17958.0,9491,17.7,2042,17958
40000,6,35856.0,15414,29.22,4144,35856
60000,6,53827.0,21210,35.5,6173,53827
80000,6,71862.0,23944,40.0,8138,71862
200000,6,179885.0,79644,71.97,20115,179885
400000,6,359545.0,145376,84.19,40455,359545
600000,6,539613.0,170420,88.92,60387,539613
800000,6,719601.0,213771,89.33,80399,719601
1000000,6,899338.0,263775,97.33,100662,899338
2,7,1.0,1,0.01,1,1
3,7,2.0,2,0.01,1,2
100,7,94.0,79,0.01,6,94
200,7,180.0,172,0.01,20,180
2000,7,1773.0,1500,3.41,227,1773
10000,7,8962.0,4360,8.84,1038,8962
20000,7,17925.0,9912,18.75,2075,17925
40000,7,35926.0,15706,20.98,4074,35926
60000,7,53969.0,17488,21.94,6031,53969
80000,7,71947.0,18589,24.52,8053,71947
200000,7,180027.0,82875,32.35,19973,180027
400000,7,360090.0,195979,50.04,39910,360090
600000,7,540210.0,243196,53.69,59790,540210
800000,7,720238.0,341203,54.92,79762,720238
1000000,7,900264.0,417467,55.73,99736,900264
2,8,2.0,1,0.01,0,2
3,8,3.0,2,0.01,0,3
100,8,89.0,84,0.04,11,89
200,8,181.0,163,0.04,19,181
2000,8,1793.0,1692,3.69,207,1793
10000,8,8972.0,8226,12.82,1028,8972
20000,8,17940.0,16674,31.88,2060,17940
40000,8,35863.0,28344,49.86,4137,35863
60000,8,53880.0,30586,55.94,6120,53880
80000,8,71831.0,38735,85.13,8169,71831
200000,8,179845.0,118604,93.63,20155,179845
400000,8,359976.0,155032,102.67,40024,359976
600000,8,539836.0,217770,109.23,60164,539836
800000,8,719814.0,309056,136.9,80186,719814
1000000,8,899832.0,345956,139.34,100168,899832
2,9,2.0,1,0.01,0,2
3,9,3.0,2,0.01,0,3
100,9,92.0,52,0.16,8,92
200,9,177.0,108,0.24,23,177
2000,9,1782.0,1032,0.48,218,1782
10000,9,9005.0,6215,7.14,995,9005
20000,9,18045.0,14210,7.85,1955,18045
40000,9,35997.0,25708,16.35,4003,35997
60000,9,53987.0,41013,18.98,6013,53987
80000,9,72006.0,51825,19.15,7994,72006
200000,9,180200.0,103399,32.07,19800,180200
400000,9,360077.0,179817,45.54,39923,360077
600000,9,540119.0,342092,49.13,59881,540119
800000,9,720114.0,368953,57.87,79886,720114
1000000,9,900193.0,441189,58.53,99807,900193
2,10,2.0,1,0.01,0,2
3,10,3.0,2,0.01,0,3
100,10,88.0,52,0.14,12,88
200,10,177.0,108,0.28,23,177
2000,10,1791.0,1105,3.24,209,1791
10000,10,9023.0,4734,6.13,977,9023
20000,10,18063.0,12865,7.59,1937,18063
40000,10,36057.0,23709,8.15,3943,36057
60000,10,54118.0,30635,8.68,5882,54118
80000,10,72157.0,45829,12.76,7843,72157
200000,10,180046.0,112034,110.82,19954,180046
400000,10,359911.0,236414,126.42,40089,359911
600000,10,539868.0,321103,133.77,60132,539868
800000,10,719875.0,352759,156.73,80125,719875
1000000,10,899917.0,368551,170.86,100083,899917
2,11,2.0,1,0.01,0,2
3,11,3.0,2,0.01,0,3
100,11,89.0,74,0.2,11,89
200,11,181.0,98,0.26,19,181
2000,11,1776.0,1244,3.5,224,1776
10000,11,9016.0,6001,12.05,984,9016
20000,11,18003.0,13032,21.56,1997,18003
40000,11,35930.0,22525,36.86,4070,35930
60000,11,53914.0,37101,57.69,6086,53914
80000,11,71891.0,50310,60.58,8109,71891
200000,11,179811.0,131011,100.04,20189,179811
400000,11,359580.0,237154,114.36,40420,359580
600000,11,539685.0,432370,138.96,60315,539685
800000,11,719483.0,522455,156.32,80517,719483
1000000,11,899560.0,522455,156.32,100440,899560
2,12,2.0,1,0.01,0,2
3,12,3.0,2,0.01,0,3
100,12,85.0,94,0.07,15,85
200,12,174.0,194,0.23,26,174
2000,12,1805.0,1478,3.68,195,1805
10000,12,8988.0,5565,12.64,1012,8988
20000,12,17968.0,10553,22.84,2032,17968
40000,12,35894.0,22140,38.32,4106,35894
60000,12,53848.0,29573,44.21,6152,53848
80000,12,71886.0,48984,48.54,8114,71886
200000,12,179941.0,83154,80.67,20059,179941
400000,12,359877.0,202189,128.77,40123,359877
600000,12,539884.0,318606,133.8,60116,539884
800000,12,719702.0,466105,143.82,80298,719702
1000000,12,899518.0,579920,147.61,100482,899518
2,13,2.0,1,0.01,0,2
3,13,3.0,2,0.01,0,3
100,13,83.0,55,0.17,17,83
200,13,174.0,86,0.32,26,174
2000,13,1791.0,1329,4.04,209,1791
10000,13,8923.0,6543,12.96,1077,8923
20000,13,17931.0,15872,44.83,2069,17931
40000,13,35919.0,25360,72.32,4081,35919
60000,13,53937.0,43078,84.36,6063,53937
80000,13,71908.0,54626,100.32,8092,71908
200000,13,179829.0,102282,168.5,20171,179829
400000,13,359458.0,174191,294.65,40542,359458
600000,13,539489.0,282852,318.0,60511,539489
800000,13,719646.0,482852,318.0,80354,719646
1000000,13,899435.0,641081,321.57,100565,899435
2,14,2.0,1,0.01,0,2
3,14,3.0,2,0.01,0,3
100,14,88.0,81,0.18,12,88
200,14,176.0,180,0.62,24,176
2000,14,1815.0,1336,4.14,185,1815
10000,14,9002.0,6212,19.48,998,9002
20000,14,17997.0,12628,31.75,2003,17997
40000,14,35961.0,28024,71.12,4039,35961
60000,14,53870.0,39336,97.51,6130,53870
80000,14,71914.0,58440,104.67,8086,71914
200000,14,179737.0,154050,212.61,20263,179737
400000,14,359719.0,242128,254.58,40281,359719
600000,14,539864.0,410612,262.59,60136,539864
800000,14,719665.0,518937,317.45,80335,719665
1000000,14,899465.0,599754,334.49,100535,899465
2,15,2.0,1,0.01,0,2
3,15,3.0,2,0.01,0,3
100,15,91.0,76,0.03,9,91
200,15,184.0,168,0.07,16,184
2000,15,1790.0,1309,2.14,210,1790
10000,15,8952.0,6174,16.05,1048,8952
20000,15,17895.0,12937,30.7,2105,17895
40000,15,35858.0,26089,47.8,4142,35858
60000,15,53792.0,34758,59.52,6208,53792
80000,15,71801.0,50521,61.18,8199,71801
200000,15,179813.0,85120,111.88,20187,179813
400000,15,359859.0,138478,117.63,40141,359859
600000,15,539744.0,205096,123.11,60256,539744
800000,15,719843.0,298331,126.47,80157,719843
1000000,15,900039.0,341748,126.77,99961,900039
2,16,2.0,1,0.01,0,2
3,16,3.0,2,0.01,0,3
100,16,87.0,59,0.05,13,87
200,16,174.0,130,0.31,26,174
2000,16,1778.0,1110,2.09,222,1778
10000,16,8986.0,6252,15.69,1014,8986
20000,16,17928.0,12551,38.31,2072,17928
40000,16,35930.0,26227,60.98,4070,35930
60000,16,54024.0,33366,61.08,5976,54024
80000,16,72142.0,53366,61.08,7858,72142
200000,16,180123.0,124560,94.74,19877,180123
400000,16,360172.0,195607,272.61,39828,360172
600000,16,540222.0,230929,284.42,59778,540222
800000,16,719900.0,307222,334.99,80100,719900
1000000,16,899704.0,407094,355.06,100296,899704
2,17,2.0,1,0.01,0,2
3,17,2.0,2,0.01,1,2
100,17,87.0,70,0.34,13,87
200,17,181.0,157,0.77,19,181
2000,17,1797.0,922,4.56,203,1797
10000,17,9018.0,7695,11.74,982,9018
20000,17,18067.0,14849,16.76,1933,18067
40000,17,36044.0,28078,26.39,3956,36044
60000,17,53972.0,41902,50.1,6028,53972
80000,17,71997.0,58811,52.71,8003,71997
200000,17,179934.0,160062,82.09,20066,179934
400000,17,359840.0,310681,139.23,40160,359840
600000,17,539723.0,400918,144.91,60277,539723
800000,17,719665.0,448624,149.25,80335,719665
1000000,17,899803.0,511505,175.85,100197,899803
2,18,2.0,1,0.01,0,2
3,18,3.0,2,0.01,0,3
100,18,92.0,71,0.14,8,92
200,18,180.0,162,0.33,20,180
2000,18,1807.0,1718,2.67,193,1807
10000,18,8942.0,8137,10.25,1058,8942
20000,18,17913.0,13804,12.85,2087,17913
40000,18,35889.0,24097,29.93,4111,35889
60000,18,53902.0,29636,43.18,6098,53902
80000,18,71966.0,35747,56.47,8034,71966
200000,18,180099.0,142247,74.88,19901,180099
400000,18,359901.0,292096,102.97,40099,359901
600000,18,540045.0,407212,133.16,59955,540045
800000,18,720054.0,523204,134.59,79946,720054
1000000,18,900064.0,666622,141.64,99936,900064
2,19,2.0,1,0.01,0,2
3,19,3.0,2,0.01,0,3
100,19,92.0,71,0.16,8,92
200,19,180.0,152,0.33,20,180
2000,19,1808.0,1461,3.24,192,1808
10000,19,9038.0,7855,8.23,962,9038
20000,19,17983.0,15157,16.72,2017,17983
40000,19,35998.0,24919,19.47,4002,35998
60000,19,53938.0,38656,23.27,6062,53938
80000,19,71883.0,54353,28.39,8117,71883
200000,19,179891.0,115985,40.0,20109,179891
400000,19,359742.0,212844,183.37,40258,359742
600000,19,539747.0,270321,216.4,60253,539747
800000,19,719716.0,288368,241.14,80284,719716
1000000,19,899796.0,311636,246.05,100204,899796
2,20,1.0,1,0.01,1,1
3,20,2.0,2,0.01,1,2
100,20,90.0,48,0.02,10,90
200,20,180.0,85,0.12,20,180
2000,20,1799.0,1302,2.61,201,1799
10000,20,9013.0,5888,5.97,987,9013
20000,20,17973.0,10984,9.92,2027,17973
40000,20,35987.0,23092,23.72,4013,35987
60000,20,53981.0,38430,30.71,6019,53981
80000,20,71957.0,54507,34.93,8043,71957
200000,20,179380.0,147613,224.05,20620,179380
400000,20,359370.0,156855,225.79,40630,359370
600000,20,539522.0,156855,225.79,60478,539522
800000,20,719671.0,156858,225.8,80329,719671
1000000,20,899606.0,170698,273.54,100394,899606
2,21,2.0,1,0.01,0,2
3,21,3.0,2,0.01,0,3
100,21,91.0,60,0.18,9,91
200,21,179.0,114,0.26,21,179
2000,21,1781.0,1227,2.29,219,1781
10000,21,8987.0,5600,10.23,1013,8987
20000,21,17929.0,10482,23.53,2071,17929
40000,21,35918.0,17741,53.2,4082,35918
60000,21,53910.0,20498,60.79,6090,53910
80000,21,71946.0,24048,62.17,8054,71946
200000,21,179912.0,40829,89.26,20088,179912
400000,21,359660.0,67800,104.06,40340,359660
600000,21,539458.0,204410,108.19,60542,539458
800000,21,719264.0,223259,128.34,80736,719264
1000000,21,899430.0,223259,128.34,100570,899430
2,22,2.0,1,0.01,0,2
3,22,2.0,2,0.01,1,2
100,22,90.0,64,0.31,10,90
200,22,187.0,130,0.64,13,187
2000,22,1818.0,1390,3.62,182,1818
10000,22,9010.0,5865,15.9,990,9010
20000,22,17984.0,12280,34.25,2016,17984
40000,22,35917.0,24091,66.25,4083,35917
60000,22,53960.0,40675,69.89,6040,53960
80000,22,72010.0,55593,72.48,7990,72010
200000,22,180150.0,113538,96.25,19850,180150
400000,22,359963.0,230828,162.93,40037,359963
600000,22,539915.0,326464,185.51,60085,539915
800000,22,720037.0,503142,200.28,79963,720037
1000000,22,900323.0,603594,206.11,99677,900323
2,23,2.0,1,0.01,0,2
3,23,3.0,2,0.01,0,3
100,23,88.0,96,0.13,12,88
200,23,172.0,195,0.46,28,172
2000,23,1788.0,1982,3.48,212,1788
10000,23,8991.0,6673,9.93,1009,8991
20000,23,17938.0,15610,36.74,2062,17938
40000,23,35856.0,30066,75.98,4144,35856
60000,23,53785.0,42222,91.8,6215,53785
80000,23,71796.0,46077,94.97,8204,71796
200000,23,179736.0,124747,124.21,20264,179736
400000,23,359593.0,268282,183.74,40407,359593
600000,23,539653.0,460994,258.01,60347,539653
800000,23,719801.0,657184,258.99,80199,719801
1000000,23,899696.0,793122,286.41,100304,899696
2,24,2.0,1,0.01,0,2
3,24,3.0,2,0.01,0,3
100,24,92.0,48,0.15,8,92
200,24,178.0,118,0.47,22,178
2000,24,1778.0,1274,3.24,222,1778
10000,24,8956.0,6178,20.86,1044,8956
20000,24,17872.0,13266,39.59,2128,17872
40000,24,35895.0,18386,62.91,4105,35895
60000,24,53806.0,23324,78.33,6194,53806
80000,24,71754.0,26107,86.52,8246,71754
200000,24,179762.0,47167,111.35,20238,179762
400000,24,359995.0,98555,113.32,40005,359995
600000,24,539972.0,145380,125.67,60028,539972
800000,24,719769.0,187398,128.88,80231,719769
1000000,24,899908.0,275125,129.22,100092,899908
2,25,2.0,1,0.01,0,2
3,25,2.0,2,0.01,1,2
100,25,91.0,57,0.28,9,91
200,25,180.0,139,0.38,20,180
2000,25,1803.0,1723,3.94,197,1803
10000,25,8973.0,8097,15.1,1027,8973
20000,25,17989.0,16634,25.69,2011,17989
40000,25,36024.0,26060,41.72,3976,36024
60000,25,54012.0,40560,71.23,5988,54012
80000,25,71985.0,57055,75.33,8015,71985
200000,25,180073.0,106862,121.65,19927,180073
400000,25,360057.0,237166,168.73,39943,360057
600000,25,539902.0,362892,212.2,60098,539902
800000,25,719730.0,513322,277.97,80270,719730
1000000,25,899778.0,695092,282.78,100222,899778
2,26,2.0,1,0.01,0,2
3,26,3.0,2,0.01,0,3
100,26,93.0,59,0.1,7,93
200,26,181.0,126,0.31,19,181
2000,26,1817.0,1214,2.83,183,1817
10000,26,8979.0,7477,14.82,1021,8979
20000,26,17970.0,11906,22.69,2030,17970
40000,26,35996.0,24292,38.39,4004,35996
60000,26,53999.0,30105,44.23,6001,53999
80000,26,72005.0,33889,45.75,7995,72005
200000,26,179777.0,96806,95.42,20223,179777
400000,26,359972.0,193024,154.7,40028,359972
600000,26,539908.0,276181,233.67,60092,539908
800000,26,719817.0,333122,256.27,80183,719817
1000000,26,899810.0,463755,280.36,100190,899810
2,27,2.0,1,0.01,0,2
3,27,3.0,2,0.01,0,3
100,27,90.0,60,0.21,10,90
200,27,178.0,128,0.38,22,178
2000,27,1803.0,1172,1.79,197,1803
10000,27,8995.0,6003,17.35,1005,8995
20000,27,17992.0,10558,26.15,2008,17992
40000,27,35957.0,19085,56.31,4043,35957
60000,27,53896.0,22922,63.7,6104,53896
80000,27,71848.0,30586,82.65,8152,71848
200000,27,179811.0,91320,126.43,20189,179811
400000,27,359958.0,110957,133.06,40042,359958
600000,27,539908.0,194359,142.61,60092,539908
800000,27,719978.0,217282,149.86,80022,719978
1000000,27,900278.0,217577,149.93,99722,900278
2,28,2.0,1,0.01,0,2
3,28,3.0,2,0.01,0,3
100,28,93.0,67,0.31,7,93
200,28,185.0,104,0.44,15,185
2000,28,1825.0,967,4.09,175,1825
10000,28,8995.0,5246,9.81,1005,8995
20000,28,17970.0,10962,22.19,2030,17970
40000,28,35905.0,20772,49.59,4095,35905
60000,28,53886.0,26175,57.01,6114,53886
80000,28,71867.0,43414,75.18,8133,71867
200000,28,179997.0,94412,85.18,20003,179997
400000,28,359747.0,186679,108.52,40253,359747
600000,28,539489.0,305527,141.65,60511,539489
800000,28,719227.0,425062,165.55,80773,719227
1000000,28,899137.0,509416,166.71,100863,899137
2,29,1.0,1,0.01,1,1
3,29,2.0,2,0.01,1,2
100,29,85.0,82,0.2,15,85
200,29,175.0,181,0.66,25,175
2000,29,1806.0,1419,3.94,194,1806
10000,29,9003.0,6496,16.94,997,9003
20000,29,17991.0,11942,28.81,2009,17991
40000,29,35956.0,25404,51.17,4044,35956
60000,29,53978.0,38957,54.92,6022,53978
80000,29,71902.0,51820,69.71,8098,71902
200000,29,179749.0,101203,84.66,20251,179749
400000,29,359947.0,198756,86.95,40053,359947
600000,29,540198.0,366453,89.75,59802,540198
800000,29,720326.0,475278,90.66,79674,720326
1000000,29,900349.0,554867,91.29,99651,900349
2,30,2.0,1,0.01,0,2
3,30,3.0,2,0.01,0,3
100,30,94.0,65,0.17,6,94
200,30,177.0,133,0.35,23,177
2000,30,1773.0,1457,4.81,227,1773
10000,30,8962.0,8250,13.61,1038,8962
20000,30,18020.0,14078,14.12,1980,18020
40000,30,35938.0,29049,38.66,4062,35938
60000,30,53938.0,44542,64.32,6062,53938
80000,30,71927.0,51753,73.3,8073,71927
200000,30,179844.0,132574,136.8,20156,179844
400000,30,359530.0,204059,220.57,40470,359530
600000,30,539676.0,222663,226.37,60324,539676
800000,30,719595.0,294859,251.91,80405,719595
1000000,30,899607.0,494859,251.93,100393,899607
2,31,2.0,1,0.01,0,2
3,31,3.0,2,0.01,0,3
100,31,87.0,67,0.11,13,87
200,31,175.0,140,0.34,25,175
2000,31,1764.0,1373,2.54,236,1764
10000,31,8974.0,6573,21.54,1026,8974
20000,31,17963.0,13115,41.93,2037,17963
40000,31,35971.0,21702,66.01,4029,35971
60000,31,53922.0,38486,96.13,6078,53922
80000,31,71885.0,46975,123.27,8115,71885
200000,31,179861.0,152796,162.45,20139,179861
400000,31,359643.0,269476,184.94,40357,359643
600000,31,539548.0,424459,218.76,60452,539548
800000,31,719720.0,624459,218.76,80280,719720
1000000,31,899589.0,817400,219.97,100411,899589
2,32,2.0,1,0.01,0,2
3,32,3.0,2,0.01,0,3
100,32,94.0,89,0.15,6,94
200,32,184.0,185,0.33,16,184
2000,32,1794.0,1975,2.98,206,1794
10000,32,8946.0,7426,15.0,1054,8946
20000,32,17952.0,15160,22.43,2048,17952
40000,32,35959.0,34445,35.69,4041,35959
60000,32,53918.0,52290,41.13,6082,53918
80000,32,71889.0,64452,46.88,8111,71889
200000,32,180034.0,113600,66.1,19966,180034
400000,32,360063.0,203533,128.56,39937,360063
600000,32,540176.0,229148,140.61,59824,540176
800000,32,720073.0,290322,161.24,79927,720073
1000000,32,900360.0,485262,161.61,99640,900360
2,33,2.0,1,0.01,0,2
3,33,3.0,2,0.01,0,3
100,33,92.0,46,0.12,8,92
200,33,185.0,70,0.19,15,185
2000,33,1790.0,1167,2.76,210,1790
10000,33,8988.0,7460,10.12,1012,8988
20000,33,17928.0,13891,17.0,2072,17928
40000,33,35890.0,27745,43.53,4110,35890
60000,33,53855.0,42967,71.44,6145,53855
80000,33,71858.0,54228,93.18,8142,71858
200000,33,179815.0,145951,152.12,20185,179815
400000,33,359745.0,310148,177.64,40255,359745
600000,33,539393.0,448968,220.81,60607,539393
800000,33,719454.0,501750,223.97,80546,719454
1000000,33,899409.0,660757,230.26,100591,899409
2,34,2.0,1,0.01,0,2
3,34,3.0,2,0.01,0,3
100,34,86.0,43,0.15,14,86
200,34,171.0,118,0.37,29,171
2000,34,1789.0,1223,2.69,211,1789
10000,34,9002.0,3758,6.87,998,9002
20000,34,17966.0,7307,19.16,2034,17966
40000,34,36057.0,16441,36.65,3943,36057
60000,34,54005.0,23564,39.0,5995,54005
80000,34,72071.0,35356,44.12,7929,72071
200000,34,180242.0,105494,50.24,19758,180242
400000,34,360277.0,202183,62.94,39723,360277
600000,34,540188.0,257794,72.16,59812,540188
800000,34,719951.0,410744,133.98,80049,719951
1000000,34,899862.0,535453,148.22,100138,899862
2,35,1.0,1,0.01,1,1
3,35,2.0,2,0.01,1,2
100,35,92.0,76,0.01,8,92
200,35,175.0,171,0.24,25,175
2000,35,1799.0,1887,3.58,201,1799
10000,35,8989.0,5098,9.8,1011,8989
20000,35,17982.0,14034,31.45,2018,17982
40000,35,35991.0,30852,41.76,4009,35991
60000,35,53873.0,44392,57.26,6127,53873
80000,35,71763.0,51794,65.4,8237,71763
200000,35,179725.0,102216,122.05,20275,179725
400000,35,359993.0,125005,124.92,40007,359993
