Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.68,2.0,0.15000000000000024,0.32,1.68
3,2.59,2.0,0.15000000000000024,0.41,2.59
100,85.0,65.33,4.852999999999999,15.0,85.0
200,170.19,127.03,9.343,29.81,170.19
2000,1740.95,856.76,59.089000000000034,259.05,1740.95
10000,8881.71,1789.71,118.56049999999992,1118.29,8881.71
20000,17858.85,2164.09,142.0395,2141.15,17858.85
40000,35835.49,2496.72,162.80500000000004,4164.51,35835.49
60000,53817.52,2677.27,174.27450000000007,6182.48,53817.52
80000,71809.18,2815.46,182.799,8190.82,71809.18
200000,179799.28,3191.98,206.30400000000017,20200.72,179799.28
400000,359780.48,3479.13,223.86150000000006,40219.52,359780.48
600000,539783.08,3620.99,232.60150000000004,60216.92,539783.08
800000,719757.46,3726.07,238.93949999999998,80242.54,719757.46
1000000,899763.81,3808.43,243.96750000000003,100236.19,899763.81
