Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.73,1.0,0.0899999999999999,0.27,1.73
3,2.62,1.1,0.0999999999999999,0.38,2.62
100,85.0,46.32,4.397799999999998,15.0,85.0
200,170.06,86.87,8.2507,29.94,170.06
2000,1753.47,384.03,36.4807,246.53,1753.47
10000,8889.87,640.14,60.81100000000005,1110.13,8889.87
20000,17830.23,731.71,69.51030000000002,2169.77,17830.23
40000,35719.4,823.68,78.2467,4280.6,35719.4
60000,53609.79,869.89,82.63699999999999,6390.21,53609.79
80000,71505.42,906.0,86.06750000000002,8494.58,71505.42
200000,178913.25,1013.48,96.2782,21086.75,178913.25
400000,357902.62,1088.37,103.39269999999996,42097.38,357902.62
600000,536905.06,1130.05,107.3521,63094.94,536905.06
800000,715877.39,1157.71,109.9801,84122.61,715877.39
1000000,894879.13,1183.92,112.4696,105120.87,894879.13
