Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.04,0,2
3,1,2.0,2,0.08,1,2
100,1,93.0,66,2.64,7,93
200,1,178.0,132,5.28,22,178
2000,1,1733.0,1148,45.92,267,1733
10000,1,8805.0,3519,140.76,1195,8805
20000,1,17650.0,4462,178.48,2350,17650
40000,1,35431.0,5416,216.64,4569,35431
60000,1,53207.0,5748,229.92,6793,53207
80000,1,70973.0,5960,238.4,9027,70973
200000,1,177662.0,7333,293.32,22338,177662
400000,1,355733.0,7988,319.52,44267,355733
600000,1,533906.0,8065,322.6,66094,533906
800000,1,711808.0,8223,328.92,88192,711808
1000000,1,889533.0,8546,341.84,110467,889533
2,2,2.0,1,0.04,0,2
3,2,3.0,2,0.08,0,3
100,2,84.0,64,2.56,16,84
200,2,164.0,119,4.76,36,164
2000,2,1756.0,670,26.8,244,1756
10000,2,8801.0,2469,98.76,1199,8801
20000,2,17699.0,3096,123.84,2301,17699
40000,2,35441.0,3598,143.92,4559,35441
60000,2,53229.0,4013,160.52,6771,53229
80000,2,71193.0,4013,160.52,8807,71193
200000,2,177935.0,4788,191.52,22065,177935
400000,2,355930.0,5252,210.08,44070,355930
600000,2,533998.0,5303,212.12,66002,533998
800000,2,711919.0,5704,228.16,88081,711919
1000000,2,889949.0,5885,235.4,110051,889949
2,3,1.0,1,0.04,1,1
3,3,2.0,2,0.08,1,2
100,3,90.0,67,2.68,10,90
200,3,184.0,134,5.36,16,184
2000,3,1752.0,1160,46.4,248,1752
10000,3,8884.0,2756,110.24,1116,8884
20000,3,17752.0,3916,156.64,2248,17752
40000,3,35458.0,4955,198.2,4542,35458
60000,3,53217.0,5288,211.52,6783,53217
80000,3,71004.0,5544,221.76,8996,71004
200000,3,177803.0,6687,267.48,22197,177803
400000,3,355856.0,7320,292.8,44144,355856
600000,3,533608.0,7653,306.12,66392,533608
800000,3,711679.0,7816,312.64,88321,711679
1000000,3,889750.0,7971,318.84,110250,889750
2,4,2.0,1,0.04,0,2
3,4,3.0,2,0.08,0,3
100,4,79.0,66,2.64,21,79
200,4,164.0,127,5.08,36,164
2000,4,1726.0,1005,40.2,274,1726
10000,4,8703.0,3048,121.92,1297,8703
20000,4,17648.0,3318,132.72,2352,17648
40000,4,35476.0,3810,152.4,4524,35476
60000,4,53189.0,4493,179.72,6811,53189
80000,4,70964.0,4642,185.68,9036,70964
200000,4,177782.0,5376,215.04,22218,177782
400000,4,355717.0,5803,232.12,44283,355717
600000,4,533690.0,5956,238.24,66310,533690
800000,4,711773.0,6606,264.24,88227,711773
1000000,4,889813.0,7092,283.68,110187,889813
2,5,2.0,1,0.04,0,2
3,5,2.0,2,0.08,1,2
100,5,84.0,65,2.6,16,84
200,5,174.0,127,5.08,26,174
2000,5,1735.0,896,35.84,265,1735
10000,5,8830.0,2316,92.64,1170,8830
20000,5,17699.0,3572,142.88,2301,17699
40000,5,35471.0,4147,165.88,4529,35471
60000,5,53316.0,4599,183.96,6684,53316
80000,5,71092.0,4753,190.12,8908,71092
200000,5,177860.0,5822,232.88,22140,177860
400000,5,355868.0,6657,266.28,44132,355868
600000,5,533740.0,6837,273.48,66260,533740
800000,5,711556.0,7075,283.0,88444,711556
1000000,5,889516.0,7253,290.12,110484,889516
2,6,1.0,1,0.04,1,1
3,6,2.0,2,0.08,1,2
100,6,85.0,66,2.64,15,85
200,6,167.0,133,5.32,33,167
2000,6,1697.0,988,39.52,303,1697
10000,6,8758.0,1978,79.12,1242,8758
20000,6,17643.0,2998,119.92,2357,17643
40000,6,35307.0,4438,177.52,4693,35307
60000,6,53064.0,4852,194.08,6936,53064
80000,6,70901.0,4886,195.44,9099,70901
200000,6,177769.0,5350,214.0,22231,177769
400000,6,355466.0,5864,234.56,44534,355466
600000,6,533533.0,6026,241.04,66467,533533
800000,6,711514.0,6183,247.32,88486,711514
1000000,6,889258.0,6438,257.52,110742,889258
2,7,1.0,1,0.04,1,1
3,7,2.0,2,0.08,1,2
100,7,90.0,66,2.64,10,90
200,7,174.0,129,5.16,26,174
2000,7,1709.0,1308,52.32,291,1709
10000,7,8744.0,2917,116.68,1256,8744
20000,7,17558.0,4485,179.4,2442,17558
40000,7,35325.0,5075,203.0,4675,35325
60000,7,53171.0,5167,206.68,6829,53171
80000,7,70910.0,5391,215.64,9090,70910
200000,7,177785.0,6130,245.2,22215,177785
400000,7,355810.0,6656,266.24,44190,355810
600000,7,533909.0,7496,299.84,66091,533909
800000,7,711981.0,7658,306.32,88019,711981
1000000,7,890013.0,7759,310.36,109987,890013
2,8,2.0,1,0.04,0,2
3,8,3.0,2,0.08,0,3
100,8,86.0,66,2.64,14,86
200,8,178.0,133,5.32,22,178
2000,8,1750.0,1068,42.72,250,1750
10000,8,8774.0,3078,123.12,1226,8774
20000,8,17635.0,3847,153.88,2365,17635
40000,8,35324.0,4584,183.36,4676,35324
60000,8,53149.0,4648,185.92,6851,53149
80000,8,70922.0,4833,193.32,9078,70922
200000,8,177680.0,5593,223.72,22320,177680
400000,8,355823.0,6062,242.48,44177,355823
600000,8,533583.0,6444,257.76,66417,533583
800000,8,711629.0,6606,264.24,88371,711629
1000000,8,889565.0,7167,286.68,110435,889565
2,9,2.0,1,0.04,0,2
3,9,3.0,2,0.08,0,3
100,9,87.0,65,2.6,13,87
200,9,164.0,127,5.08,36,164
2000,9,1730.0,965,38.6,270,1730
10000,9,8789.0,2879,115.16,1211,8789
20000,9,17710.0,3405,136.2,2290,17710
40000,9,35430.0,3803,152.12,4570,35430
60000,9,53198.0,4268,170.72,6802,53198
80000,9,71003.0,4362,174.48,8997,71003
200000,9,178011.0,5359,214.36,21989,178011
400000,9,355816.0,6179,247.16,44184,355816
600000,9,533799.0,6908,276.32,66201,533799
800000,9,711803.0,6979,279.16,88197,711803
1000000,9,889842.0,7046,281.84,110158,889842
2,10,2.0,1,0.04,0,2
3,10,3.0,2,0.08,0,3
100,10,84.0,66,2.64,16,84
200,10,172.0,130,5.2,28,172
2000,10,1727.0,1215,48.6,273,1727
10000,10,8823.0,2469,98.76,1177,8823
20000,10,17727.0,3483,139.32,2273,17727
40000,10,35518.0,4526,181.04,4482,35518
60000,10,53373.0,4682,187.28,6627,53373
80000,10,71198.0,4750,190.0,8802,71198
200000,10,177906.0,6293,251.72,22094,177906
400000,10,355817.0,7000,280.0,44183,355817
600000,10,533738.0,7667,306.68,66262,533738
800000,10,711758.0,7842,313.68,88242,711758
1000000,10,889815.0,7898,315.92,110185,889815
2,11,2.0,1,0.04,0,2
3,11,3.0,2,0.08,0,3
100,11,83.0,66,2.64,17,83
200,11,170.0,129,5.16,30,170
2000,11,1715.0,833,33.32,285,1715
10000,11,8812.0,2591,103.64,1188,8812
20000,11,17642.0,3695,147.8,2358,17642
40000,11,35351.0,4672,186.88,4649,35351
60000,11,53132.0,4859,194.36,6868,53132
80000,11,70907.0,5227,209.08,9093,70907
200000,11,177691.0,5700,228.0,22309,177691
400000,11,355478.0,6242,249.68,44522,355478
600000,11,533614.0,6829,273.16,66386,533614
800000,11,711414.0,7088,283.52,88586,711414
1000000,11,889468.0,7111,284.44,110532,889468
2,12,2.0,1,0.04,0,2
3,12,3.0,2,0.08,0,3
100,12,84.0,63,2.52,16,84
200,12,166.0,124,4.96,34,166
2000,12,1755.0,903,36.12,245,1755
10000,12,8810.0,2350,94.0,1190,8810
20000,12,17656.0,3349,133.96,2344,17656
40000,12,35346.0,5035,201.4,4654,35346
60000,12,53080.0,6467,258.68,6920,53080
80000,12,70925.0,6501,260.04,9075,70925
200000,12,177817.0,7206,288.24,22183,177817
400000,12,355678.0,7558,302.32,44322,355678
600000,12,533630.0,7835,313.4,66370,533630
800000,12,711481.0,7904,316.16,88519,711481
1000000,12,889257.0,8114,324.56,110743,889257
2,13,2.0,1,0.04,0,2
3,13,3.0,2,0.08,0,3
100,13,81.0,69,2.76,19,81
200,13,172.0,135,5.4,28,172
2000,13,1740.0,961,38.44,260,1740
10000,13,8708.0,3462,138.48,1292,8708
20000,13,17636.0,3662,146.48,2364,17636
40000,13,35413.0,4308,172.32,4587,35413
60000,13,53215.0,5087,203.48,6785,53215
80000,13,70998.0,5470,218.8,9002,70998
200000,13,177750.0,6528,261.12,22250,177750
400000,13,355508.0,6841,273.64,44492,355508
600000,13,533547.0,6917,276.68,66453,533547
800000,13,711669.0,7185,287.4,88331,711669
1000000,13,889455.0,7399,295.96,110545,889455
2,14,2.0,1,0.04,0,2
3,14,3.0,2,0.08,0,3
100,14,87.0,70,2.8,13,87
200,14,174.0,137,5.48,26,174
2000,14,1763.0,1032,41.28,237,1763
10000,14,8817.0,2700,108.0,1183,8817
20000,14,17692.0,3568,142.72,2308,17692
40000,14,35484.0,4133,165.32,4516,35484
60000,14,53217.0,4513,180.52,6783,53217
80000,14,71061.0,4592,183.68,8939,71061
200000,14,177671.0,5492,219.68,22329,177671
400000,14,355565.0,5753,230.12,44435,355565
600000,14,533668.0,6018,240.72,66332,533668
800000,14,711573.0,6093,243.72,88427,711573
1000000,14,889295.0,6267,250.68,110705,889295
2,15,2.0,1,0.04,0,2
3,15,3.0,2,0.08,0,3
100,15,87.0,66,2.64,13,87
200,15,177.0,132,5.28,23,177
2000,15,1721.0,1113,44.52,279,1721
10000,15,8751.0,2890,115.6,1249,8751
20000,15,17553.0,4207,168.28,2447,17553
40000,15,35308.0,4855,194.2,4692,35308
60000,15,53044.0,5055,202.2,6956,53044
80000,15,70857.0,5094,203.76,9143,70857
200000,15,177679.0,5327,213.08,22321,177679
400000,15,355728.0,5664,226.56,44272,355728
600000,15,533663.0,6072,242.88,66337,533663
800000,15,711802.0,6677,267.08,88198,711802
1000000,15,890060.0,6782,271.28,109940,890060
2,16,2.0,1,0.04,0,2
3,16,3.0,2,0.08,0,3
100,16,85.0,67,2.68,15,85
200,16,170.0,132,5.28,30,170
2000,16,1712.0,1050,42.0,288,1712
10000,16,8731.0,3906,156.24,1269,8731
20000,16,17534.0,5419,216.76,2466,17534
40000,16,35356.0,5744,229.76,4644,35356
60000,16,53257.0,5943,237.72,6743,53257
80000,16,71180.0,5950,238.0,8820,71180
200000,16,177936.0,6934,277.36,22064,177936
400000,16,356121.0,7271,290.84,43879,356121
600000,16,534131.0,7668,306.72,65869,534131
800000,16,711732.0,8125,325.0,88268,711732
1000000,16,889544.0,8221,328.84,110456,889544
2,17,2.0,1,0.04,0,2
3,17,2.0,2,0.08,1,2
100,17,84.0,67,2.68,16,84
200,17,175.0,131,5.24,25,175
2000,17,1732.0,1320,52.8,268,1732
10000,17,8796.0,3553,142.12,1204,8796
20000,17,17695.0,4678,187.12,2305,17695
40000,17,35471.0,6083,243.32,4529,35471
60000,17,53167.0,6874,274.96,6833,53167
80000,17,70995.0,7086,283.44,9005,70995
200000,17,177735.0,8148,325.92,22265,177735
400000,17,355664.0,8592,343.68,44336,355664
600000,17,533505.0,8992,359.68,66495,533505
800000,17,711410.0,9156,366.24,88590,711410
1000000,17,889526.0,9230,369.2,110474,889526
2,18,2.0,1,0.04,0,2
3,18,3.0,2,0.08,0,3
100,18,87.0,65,2.6,13,87
200,18,174.0,127,5.08,26,174
2000,18,1748.0,994,39.76,252,1748
10000,18,8725.0,3215,128.6,1275,8725
20000,18,17566.0,4126,165.04,2434,17566
40000,18,35364.0,4815,192.6,4636,35364
60000,18,53171.0,4900,196.0,6829,53171
80000,18,71039.0,4941,197.64,8961,71039
200000,18,178081.0,5259,210.36,21919,178081
400000,18,355837.0,6120,244.8,44163,355837
600000,18,534012.0,6192,247.68,65988,534012
800000,18,712093.0,6272,250.88,87907,712093
1000000,18,890094.0,6426,257.04,109906,890094
2,19,2.0,1,0.04,0,2
3,19,3.0,2,0.08,0,3
100,19,89.0,67,2.68,11,89
200,19,173.0,139,5.56,27,173
2000,19,1743.0,1180,47.2,257,1743
10000,19,8839.0,2717,108.68,1161,8839
20000,19,17654.0,3546,141.84,2346,17654
40000,19,35465.0,3868,154.72,4535,35465
60000,19,53196.0,4310,172.4,6804,53196
80000,19,70934.0,4957,198.28,9066,70934
200000,19,177736.0,5373,214.92,22264,177736
400000,19,355706.0,6309,252.36,44294,355706
600000,19,533789.0,6524,260.96,66211,533789
800000,19,711780.0,6603,264.12,88220,711780
1000000,19,889831.0,6998,279.92,110169,889831
2,20,1.0,1,0.04,1,1
3,20,2.0,2,0.08,1,2
100,20,84.0,65,2.6,16,84
200,20,168.0,126,5.04,32,168
2000,20,1727.0,923,36.92,273,1727
10000,20,8814.0,2418,96.72,1186,8814
20000,20,17664.0,3234,129.36,2336,17664
40000,20,35517.0,3877,155.08,4483,35517
60000,20,53301.0,4238,169.52,6699,53301
80000,20,71061.0,4461,178.44,8939,71061
200000,20,177443.0,5254,210.16,22557,177443
400000,20,355441.0,5689,227.56,44559,355441
600000,20,533472.0,5795,231.8,66528,533472
800000,20,711519.0,5839,233.56,88481,711519
1000000,20,889456.0,5949,237.96,110544,889456
2,21,2.0,1,0.04,0,2
3,21,3.0,2,0.08,0,3
100,21,88.0,66,2.64,12,88
200,21,173.0,136,5.44,27,173
2000,21,1724.0,1084,43.36,276,1724
10000,21,8781.0,2815,112.6,1219,8781
20000,21,17592.0,4366,174.64,2408,17592
40000,21,35402.0,4832,193.28,4598,35402
60000,21,53205.0,5123,204.92,6795,53205
80000,21,71014.0,5349,213.96,8986,71014
200000,21,177802.0,6069,242.76,22198,177802
400000,21,355578.0,6955,278.2,44422,355578
600000,21,533440.0,7118,284.72,66560,533440
800000,21,711254.0,7241,289.64,88746,711254
1000000,21,889493.0,7473,298.92,110507,889493
2,22,2.0,1,0.04,0,2
3,22,2.0,2,0.08,1,2
100,22,88.0,65,2.6,12,88
200,22,179.0,130,5.2,21,179
2000,22,1764.0,1080,43.2,236,1764
10000,22,8831.0,2901,116.04,1169,8831
20000,22,17691.0,4254,170.16,2309,17691
40000,22,35408.0,5766,230.64,4592,35408
60000,22,53249.0,5940,237.6,6751,53249
80000,22,71089.0,6386,255.44,8911,71089
200000,22,178060.0,6857,274.28,21940,178060
400000,22,356008.0,7417,296.68,43992,356008
600000,22,533989.0,7800,312.0,66011,533989
800000,22,712094.0,8093,323.72,87906,712094
1000000,22,890322.0,8247,329.88,109678,890322
2,23,2.0,1,0.04,0,2
3,23,3.0,2,0.08,0,3
100,23,86.0,66,2.64,14,86
200,23,169.0,130,5.2,31,169
2000,23,1741.0,1052,42.08,259,1741
10000,23,8794.0,3468,138.72,1206,8794
20000,23,17624.0,4742,189.68,2376,17624
40000,23,35337.0,5408,216.32,4663,35337
60000,23,53048.0,6076,243.04,6952,53048
80000,23,70846.0,6128,245.12,9154,70846
200000,23,177568.0,7362,294.48,22432,177568
400000,23,355431.0,7761,310.44,44569,355431
600000,23,533590.0,7870,314.8,66410,533590
800000,23,711680.0,7968,318.72,88320,711680
1000000,23,889579.0,8142,325.68,110421,889579
2,24,2.0,1,0.04,0,2
3,24,2.0,2,0.08,1,2
100,24,84.0,65,2.6,16,84
200,24,165.0,123,4.92,35,165
2000,24,1718.0,1114,44.56,282,1718
10000,24,8767.0,3400,136.0,1233,8767
20000,24,17545.0,4345,173.8,2455,17545
40000,24,35375.0,4706,188.24,4625,35375
60000,24,53074.0,4931,197.24,6926,53074
80000,24,70815.0,5000,200.0,9185,70815
200000,24,177569.0,6783,271.32,22431,177569
400000,24,355838.0,6945,277.8,44162,355838
600000,24,533771.0,7156,286.24,66229,533771
800000,24,711545.0,7758,310.32,88455,711545
1000000,24,889613.0,8012,320.48,110387,889613
2,25,2.0,1,0.04,0,2
3,25,2.0,2,0.08,1,2
100,25,88.0,66,2.64,12,88
200,25,173.0,136,5.44,27,173
2000,25,1734.0,1121,44.84,266,1734
10000,25,8762.0,3042,121.68,1238,8762
