Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.73,1.0,0.0899999999999999,0.27,1.73
3,2.6,1.1,0.0989999999999999,0.4,2.6
100,85.27,38.93,3.5037000000000003,14.73,85.27
200,170.61,72.76,6.548400000000002,29.39,170.61
2000,1740.89,430.59,38.75309999999999,259.11,1740.89
10000,8810.76,982.73,88.4457,1189.24,8810.76
20000,17683.66,1285.96,115.73639999999996,2316.34,17683.66
40000,35453.69,1607.1,144.63899999999998,4546.31,35453.69
60000,53229.51,1811.52,163.03679999999994,6770.49,53229.51
80000,71016.9,1943.3,174.89700000000008,8983.1,71016.9
200000,177797.62,2337.3,210.357,22202.38,177797.62
400000,355769.34,2619.51,235.7559,44230.66,355769.34
600000,533760.75,2774.79,249.73109999999997,66239.25,533760.75
800000,711725.2,2890.24,260.1216000000001,88274.8,711725.2
1000000,889724.24,2966.02,266.94180000000006,110275.76,889724.24
