Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.8,1.0,0.01,0.2,1.8
3,2.56,2.0,0.0999999999999998,0.44,2.56
100,86.41,62.7,2.647600000000001,13.59,86.41
200,173.09,122.63,4.9411000000000005,26.91,173.09
2000,1757.22,1130.49,32.84030000000001,242.78,1757.22
10000,8857.34,5058.22,92.60629999999996,1142.66,8857.34
20000,17761.34,9492.69,138.43959999999996,2238.66,17761.34
40000,35593.42,17720.65,204.8566,4406.58,35593.42
60000,53432.64,25563.23,260.4177,6567.36,53432.64
80000,71283.39,32895.66,308.6145,8716.61,71283.39
200000,178473.42,70815.1,536.8562999999999,21526.58,178473.42
400000,357187.76,121386.28,816.4577999999997,42812.24,357187.76
600000,535966.62,164482.87,1044.4637,64033.38,535966.62
800000,714747.96,201194.97,1237.9851,85252.04,714747.96
1000000,893585.94,232878.12,1402.8457,106414.06,893585.94
