Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.09,0,2
3,1,2.0,2,0.19,1,2
100,1,91.0,34,3.23,9,91
200,1,174.0,78,7.41,26,174
2000,1,1741.0,423,40.18,259,1741
10000,1,8870.0,1235,117.32,1130,8870
20000,1,17785.0,1495,142.02,2215,17785
40000,1,35666.0,1767,167.86,4334,35666
60000,1,53555.0,1947,184.96,6445,53555
80000,1,71429.0,2042,193.99,8571,71429
200000,1,178699.0,2415,229.42,21301,178699
400000,1,357762.0,2735,259.82,42238,357762
600000,1,536907.0,2842,269.99,63093,536907
800000,1,715818.0,3131,297.45,84182,715818
1000000,1,894598.0,3164,300.58,105402,894598
2,2,2.0,1,0.09,0,2
3,2,3.0,2,0.19,0,3
100,2,86.0,52,4.94,14,86
200,2,166.0,100,9.5,34,166
2000,2,1762.0,334,31.73,238,1762
10000,2,8886.0,816,77.52,1114,8886
20000,2,17815.0,1217,115.61,2185,17815
40000,2,35679.0,1375,130.62,4321,35679
60000,2,53566.0,1723,163.68,6434,53566
80000,2,71585.0,1858,176.51,8415,71585
200000,2,178960.0,2308,219.26,21040,178960
400000,2,357947.0,2609,247.85,42053,357947
600000,2,536972.0,2850,270.75,63028,536972
800000,2,715908.0,3037,288.52,84092,715908
1000000,2,894903.0,3049,289.66,105097,894903
2,3,0.0,1,0.09,2,0
3,3,1.0,2,0.19,2,1
100,3,89.0,34,3.23,11,89
200,3,181.0,77,7.31,19,181
2000,3,1761.0,545,51.77,239,1761
10000,3,8930.0,1179,112.0,1070,8930
20000,3,17864.0,1455,138.22,2136,17864
40000,3,35673.0,1768,167.96,4327,35673
60000,3,53528.0,1883,178.88,6472,53528
80000,3,71447.0,1939,184.2,8553,71447
200000,3,178834.0,2198,208.81,21166,178834
400000,3,357878.0,2330,221.35,42122,357878
600000,3,536668.0,2418,229.71,63332,536668
800000,3,715740.0,2533,240.63,84260,715740
1000000,3,894848.0,2539,241.2,105152,894848
2,4,2.0,1,0.09,0,2
3,4,3.0,2,0.19,0,3
100,4,81.0,53,5.03,19,81
200,4,162.0,115,10.93,38,162
2000,4,1738.0,367,34.86,262,1738
10000,4,8816.0,658,62.51,1184,8816
20000,4,17812.0,828,78.66,2188,17812
40000,4,35752.0,1048,99.56,4248,35752
60000,4,53581.0,1128,107.16,6419,53581
80000,4,71445.0,1272,120.84,8555,71445
200000,4,178877.0,1757,166.91,21123,178877
400000,4,357804.0,2197,208.71,42196,357804
600000,4,536762.0,2375,225.62,63238,536762
800000,4,715816.0,2497,237.21,84184,715816
1000000,4,894830.0,2557,242.91,105170,894830
2,5,2.0,1,0.09,0,2
3,5,2.0,2,0.19,1,2
100,5,81.0,33,3.13,19,81
200,5,170.0,68,6.46,30,170
2000,5,1730.0,494,46.93,270,1730
10000,5,8870.0,1007,95.66,1130,8870
20000,5,17811.0,1313,124.73,2189,17811
40000,5,35673.0,1604,152.38,4327,35673
60000,5,53626.0,1718,163.21,6374,53626
80000,5,71515.0,2015,191.42,8485,71515
200000,5,178779.0,2663,252.98,21221,178779
400000,5,357802.0,2842,269.99,42198,357802
600000,5,536649.0,3039,288.71,63351,536649
800000,5,715484.0,3150,299.25,84516,715484
1000000,5,894488.0,3314,314.83,105512,894488
2,6,1.0,1,0.09,1,1
3,6,2.0,1,0.09,1,2
100,6,86.0,35,3.32,14,86
200,6,168.0,66,6.27,32,168
2000,6,1716.0,338,32.11,284,1716
10000,6,8819.0,856,81.32,1181,8819
20000,6,17765.0,1150,109.25,2235,17765
40000,6,35547.0,1491,141.64,4453,35547
60000,6,53421.0,1550,147.25,6579,53421
80000,6,71353.0,1590,151.05,8647,71353
200000,6,178785.0,1849,175.65,21215,178785
400000,6,357465.0,2105,199.97,42535,357465
600000,6,536486.0,2302,218.69,63514,536486
800000,6,715462.0,2389,226.95,84538,715462
1000000,6,894230.0,2420,229.9,105770,894230
2,7,1.0,1,0.09,1,1
3,7,2.0,1,0.09,1,2
100,7,89.0,25,2.37,11,89
200,7,171.0,49,4.65,29,171
2000,7,1727.0,250,23.75,273,1727
10000,7,8834.0,773,73.43,1166,8834
20000,7,17734.0,897,85.21,2266,17734
40000,7,35602.0,1162,110.39,4398,35602
60000,7,53551.0,1201,114.09,6449,53551
80000,7,71408.0,1242,117.99,8592,71408
200000,7,178864.0,1745,165.77,21136,178864
400000,7,357948.0,1885,179.07,42052,357948
600000,7,537011.0,2386,226.67,62989,537011
800000,7,716071.0,2467,234.36,83929,716071
1000000,7,895092.0,2590,246.05,104908,895092
2,8,2.0,1,0.09,0,2
3,8,3.0,2,0.19,0,3
100,8,86.0,35,3.32,14,86
200,8,176.0,90,8.55,24,176
2000,8,1749.0,465,44.17,251,1749
10000,8,8854.0,1109,105.35,1146,8854
20000,8,17757.0,1404,133.38,2243,17757
40000,8,35563.0,1890,179.55,4437,35563
60000,8,53476.0,1950,185.25,6524,53476
80000,8,71350.0,2101,199.59,8650,71350
200000,8,178730.0,2390,227.05,21270,178730
400000,8,357866.0,2522,239.59,42134,357866
600000,8,536672.0,2636,250.42,63328,536672
800000,8,715664.0,2711,257.54,84336,715664
1000000,8,894631.0,2758,262.01,105369,894631
2,9,2.0,1,0.09,0,2
3,9,3.0,2,0.19,0,3
100,9,88.0,41,3.89,12,88
200,9,166.0,77,7.31,34,166
2000,9,1724.0,497,47.21,276,1724
10000,9,8866.0,1086,103.17,1134,8866
20000,9,17839.0,1233,117.13,2161,17839
40000,9,35669.0,1583,150.38,4331,35669
60000,9,53535.0,1827,173.56,6465,53535
80000,9,71438.0,1919,182.3,8562,71438
200000,9,179042.0,2271,215.74,20958,179042
400000,9,357911.0,2643,251.08,42089,357911
600000,9,536947.0,2838,269.61,63053,536947
800000,9,715935.0,2874,273.03,84065,715935
1000000,9,894997.0,2903,275.79,105003,894997
2,10,2.0,1,0.09,0,2
3,10,3.0,2,0.19,0,3
100,10,85.0,40,3.8,15,85
200,10,171.0,80,7.6,29,171
2000,10,1740.0,413,39.23,260,1740
10000,10,8898.0,760,72.2,1102,8898
20000,10,17879.0,929,88.25,2121,17879
40000,10,35751.0,1351,128.34,4249,35751
60000,10,53691.0,1571,149.24,6309,53691
80000,10,71625.0,1646,156.37,8375,71625
200000,10,178969.0,1978,187.91,21031,178969
400000,10,357864.0,2137,203.01,42136,357864
600000,10,536783.0,2211,210.04,63217,536783
800000,10,715811.0,2403,228.28,84189,715811
1000000,10,894856.0,2513,238.73,105144,894856
2,11,2.0,1,0.09,0,2
3,11,3.0,2,0.19,0,3
100,11,86.0,35,3.32,14,86
200,11,173.0,62,5.89,27,173
2000,11,1736.0,343,32.58,264,1736
10000,11,8877.0,1007,95.66,1123,8877
20000,11,17789.0,1281,121.69,2211,17789
40000,11,35608.0,1582,150.29,4392,35608
60000,11,53482.0,1892,179.74,6518,53482
80000,11,71354.0,1996,189.62,8646,71354
200000,11,178691.0,2416,229.52,21309,178691
400000,11,357443.0,2762,262.39,42557,357443
600000,11,536584.0,2959,281.11,63416,536584
800000,11,715384.0,3003,285.29,84616,715384
1000000,11,894463.0,3013,286.24,105537,894463
2,12,2.0,1,0.09,0,2
3,12,3.0,2,0.19,0,3
100,12,83.0,46,4.37,17,83
200,12,168.0,70,6.65,32,168
2000,12,1766.0,339,32.2,234,1766
10000,12,8862.0,889,84.45,1138,8862
20000,12,17776.0,1201,114.09,2224,17776
40000,12,35591.0,1454,138.13,4409,35591
60000,12,53420.0,1785,169.57,6580,53420
80000,12,71338.0,1853,176.03,8662,71338
200000,12,178813.0,2110,200.45,21187,178813
400000,12,357706.0,2372,225.34,42294,357706
600000,12,536680.0,2531,240.44,63320,536680
800000,12,715484.0,2614,248.33,84516,715484
1000000,12,894266.0,2647,251.46,105734,894266
2,13,2.0,1,0.09,0,2
3,13,3.0,2,0.19,0,3
100,13,79.0,38,3.61,21,79
200,13,169.0,77,7.31,31,169
2000,13,1756.0,422,40.09,244,1756
10000,13,8802.0,844,80.18,1198,8802
20000,13,17774.0,950,90.25,2226,17774
40000,13,35655.0,1409,133.85,4345,35655
60000,13,53545.0,1728,164.16,6455,53545
80000,13,71418.0,1790,170.05,8582,71418
200000,13,178790.0,2138,203.11,21210,178790
400000,13,357522.0,2378,225.91,42478,357522
600000,13,536543.0,2675,254.12,63457,536543
800000,13,715679.0,2703,256.78,84321,715679
1000000,13,894453.0,2771,263.24,105547,894453
2,14,2.0,1,0.09,0,2
3,14,3.0,2,0.19,0,3
100,14,84.0,50,4.75,16,84
200,14,171.0,69,6.55,29,171
2000,14,1775.0,326,30.97,225,1775
10000,14,8900.0,727,69.06,1100,8900
20000,14,17841.0,954,90.63,2159,17841
40000,14,35731.0,1097,104.21,4269,35731
60000,14,53546.0,1428,135.66,6454,53546
80000,14,71477.0,1560,148.2,8523,71477
200000,14,178770.0,1763,167.48,21230,178770
400000,14,357692.0,2419,229.8,42308,357692
600000,14,536856.0,2470,234.65,63144,536856
800000,14,715710.0,2601,247.09,84290,715710
1000000,14,894459.0,2765,262.67,105541,894459
2,15,2.0,1,0.09,0,2
3,15,3.0,2,0.19,0,3
100,15,87.0,29,2.75,13,87
200,15,177.0,60,5.7,23,177
2000,15,1748.0,362,34.39,252,1748
10000,15,8846.0,751,71.34,1154,8846
20000,15,17723.0,969,92.05,2277,17723
40000,15,35584.0,1327,126.06,4416,35584
60000,15,53426.0,1476,140.22,6574,53426
80000,15,71322.0,1529,145.25,8678,71322
200000,15,178760.0,1982,188.29,21240,178760
400000,15,357853.0,2265,215.17,42147,357853
600000,15,536792.0,2396,227.62,63208,536792
800000,15,715943.0,2719,258.3,84057,715943
1000000,15,895142.0,2775,263.62,104858,895142
2,16,2.0,1,0.09,0,2
3,16,3.0,2,0.19,0,3
100,16,84.0,39,3.7,16,84
200,16,168.0,62,5.89,32,168
2000,16,1739.0,279,26.5,261,1739
10000,16,8886.0,579,55.0,1114,8886
20000,16,17785.0,760,72.2,2215,17785
40000,16,35693.0,895,85.02,4307,35693
60000,16,53679.0,1301,123.59,6321,53679
80000,16,71675.0,1344,127.68,8325,71675
200000,16,179057.0,1748,166.06,20943,179057
400000,16,358268.0,1884,178.98,41732,358268
600000,16,537361.0,2034,193.23,62639,537361
800000,16,715986.0,2087,198.26,84014,715986
1000000,16,894794.0,2129,202.25,105206,894794
2,17,1.0,1,0.09,1,1
3,17,1.0,1,0.09,2,1
100,17,81.0,48,4.56,19,81
200,17,171.0,74,7.03,29,171
2000,17,1739.0,568,53.96,261,1739
10000,17,8871.0,1053,100.03,1129,8871
20000,17,17847.0,1279,121.5,2153,17847
40000,17,35706.0,1628,154.66,4294,35706
60000,17,53536.0,1834,174.23,6464,53536
80000,17,71452.0,1989,188.95,8548,71452
200000,17,178803.0,2262,214.89,21197,178803
400000,17,357693.0,2541,241.39,42307,357693
600000,17,536552.0,2621,248.99,63448,536552
800000,17,715486.0,2802,266.19,84514,715486
1000000,17,894577.0,2847,270.47,105423,894577
2,18,2.0,1,0.09,0,2
3,18,3.0,2,0.19,0,3
100,18,89.0,45,4.27,11,89
200,18,175.0,79,7.5,25,175
2000,18,1769.0,331,31.44,231,1769
10000,18,8823.0,712,67.64,1177,8823
20000,18,17735.0,964,91.58,2265,17735
40000,18,35612.0,1286,122.17,4388,35612
60000,18,53511.0,1555,147.72,6489,53511
80000,18,71477.0,1595,151.52,8523,71477
200000,18,179052.0,1893,179.83,20948,179052
400000,18,357855.0,2364,224.58,42145,357855
600000,18,537007.0,2386,226.67,62993,537007
800000,18,716036.0,2455,233.22,83964,716036
1000000,18,895079.0,2513,238.73,104921,895079
2,19,2.0,1,0.09,0,2
3,19,2.0,2,0.19,1,2
100,19,87.0,44,4.18,13,87
200,19,170.0,83,7.88,30,170
2000,19,1745.0,456,43.32,255,1745
10000,19,8894.0,998,94.81,1106,8894
20000,19,17753.0,1378,130.91,2247,17753
40000,19,35662.0,1626,154.47,4338,35662
60000,19,53477.0,1888,179.36,6523,53477
80000,19,71324.0,1979,188.0,8676,71324
200000,19,178709.0,2235,212.32,21291,178709
400000,19,357664.0,2492,236.74,42336,357664
600000,19,536779.0,2612,248.14,63221,536779
800000,19,715764.0,2694,255.93,84236,715764
1000000,19,894798.0,2716,258.02,105202,894798
2,20,1.0,1,0.09,1,1
3,20,2.0,1,0.09,1,2
100,20,86.0,45,4.27,14,86
200,20,169.0,78,7.41,31,169
2000,20,1736.0,546,51.87,264,1736
10000,20,8848.0,1232,117.04,1152,8848
20000,20,17742.0,1468,139.46,2258,17742
40000,20,35667.0,1774,168.53,4333,35667
60000,20,53534.0,2036,193.42,6466,53534
80000,20,71401.0,2125,201.87,8599,71401
200000,20,178405.0,2448,232.56,21595,178405
400000,20,357411.0,2582,245.29,42589,357411
600000,20,536481.0,2658,252.51,63519,536481
800000,20,715589.0,2803,266.29,84411,715589
1000000,20,894532.0,2896,275.12,105468,894532
2,21,2.0,1,0.09,0,2
3,21,3.0,2,0.19,0,3
100,21,86.0,54,5.13,14,86
200,21,169.0,104,9.88,31,169
2000,21,1712.0,673,63.93,288,1712
10000,21,8841.0,1236,117.42,1159,8841
20000,21,17701.0,1703,161.78,2299,17701
40000,21,35585.0,1965,186.67,4415,35585
60000,21,53469.0,2234,212.23,6531,53469
80000,21,71379.0,2382,226.29,8621,71379
200000,21,178757.0,2732,259.54,21243,178757
400000,21,357526.0,2997,284.72,42474,357526
600000,21,536374.0,3021,287.0,63626,536374
800000,21,715194.0,3085,293.08,84806,715194
1000000,21,894410.0,3174,301.53,105590,894410
2,22,2.0,1,0.09,0,2
3,22,2.0,2,0.19,1,2
100,22,86.0,34,3.23,14,86
200,22,177.0,62,5.89,23,177
2000,22,1774.0,294,27.93,226,1774
10000,22,8886.0,876,83.22,1114,8886
20000,22,17798.0,1225,116.37,2202,17798
40000,22,35636.0,1514,143.83,4364,35636
60000,22,53567.0,1590,151.05,6433,53567
80000,22,71525.0,1646,156.37,8475,71525
200000,22,179015.0,2175,206.62,20985,179015
400000,22,357893.0,2452,232.94,42107,357893
600000,22,536847.0,2645,251.27,63153,536847
800000,22,715937.0,2785,264.57,84063,715937
1000000,22,895202.0,2863,271.99,104798,895202
2,23,2.0,1,0.09,0,2
3,23,3.0,2,0.19,0,3
100,23,86.0,35,3.32,14,86
200,23,167.0,54,5.13,33,167
2000,23,1744.0,404,38.38,256,1744
10000,23,8880.0,827,78.56,1120,8880
20000,23,17771.0,1347,127.96,2229,17771
40000,23,35589.0,1647,156.46,4411,35589
60000,23,53423.0,1768,167.96,6577,53423
80000,23,71309.0,2144,203.68,8691,71309
200000,23,178632.0,2482,235.79,21368,178632
400000,23,357493.0,2580,245.1,42507,357493
600000,23,536632.0,2751,261.34,63368,536632
800000,23,715744.0,2775,263.62,84256,715744
1000000,23,894676.0,2804,266.38,105324,894676
2,24,2.0,1,0.09,0,2
3,24,2.0,2,0.19,1,2
100,24,85.0,31,2.94,15,85
200,24,168.0,71,6.74,32,168
2000,24,1731.0,489,46.45,269,1731
10000,24,8843.0,909,86.35,1157,8843
20000,24,17685.0,1144,108.68,2315,17685
40000,24,35606.0,1431,135.94,4394,35606
60000,24,53413.0,1535,145.82,6587,53413
80000,24,71247.0,1668,158.46,8753,71247
200000,24,178665.0,1822,173.09,21335,178665
400000,24,357882.0,2073,196.93,42118,357882
600000,24,536820.0,2152,204.44,63180,536820
800000,24,715616.0,2191,208.14,84384,715616
1000000,24,894703.0,2236,212.42,105297,894703
2,25,2.0,1,0.09,0,2
3,25,2.0,2,0.19,1,2
100,25,90.0,37,3.51,10,90
200,25,177.0,94,8.93,23,177
2000,25,1750.0,664,63.08,250,1750
10000,25,8814.0,1471,139.74,1186,8814
20000,25,17776.0,1707,162.16,2224,17776
40000,25,35675.0,2390,227.05,4325,35675
60000,25,53564.0,2528,240.16,6436,53564
80000,25,71419.0,2761,262.29,8581,71419
200000,25,178910.0,3028,287.66,21090,178910
400000,25,357877.0,3337,317.02,42123,357877
600000,25,536801.0,3519,334.31,63199,536801
800000,25,715730.0,3642,345.99,84270,715730
1000000,25,894778.0,3750,356.25,105222,894778
2,26,2.0,1,0.09,0,2
