Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,2,0.13,0,2
3,1,3.0,2,0.13,0,3
100,1,92.0,64,3.76,8,92
200,1,173.0,134,7.86,27,173
2000,1,1716.0,837,49.03,284,1716
10000,1,8788.0,3051,169.84,1212,8788
20000,1,17599.0,4587,244.78,2401,17599
40000,1,35338.0,6223,320.97,4662,35338
60000,1,53078.0,7514,387.11,6922,53078
80000,1,70817.0,8427,426.58,9183,70817
10000,1,8788.0,3051,169.84,1212,8788
200000,1,177379.0,12342,601.93,22621,177379
400000,1,355322.0,15566,754.09,44678,355322
600000,1,533444.0,17009,818.51,66556,533444
800000,1,711322.0,17724,849.91,88678,711322
1000000,1,889031.0,18315,875.6,110969,889031
2,2,2.0,2,0.13,0,2
3,2,3.0,2,0.13,0,3
100,2,84.0,64,4.56,16,84
200,2,160.0,121,8.79,40,160
2000,2,1730.0,955,61.2,270,1730
10000,2,8744.0,2784,169.51,1256,8744
20000,2,17589.0,4426,258.94,2411,17589
40000,2,35255.0,6171,349.89,4745,35255
60000,2,52990.0,7356,411.24,7010,52990
80000,2,70920.0,8165,447.85,9080,70920
10000,2,8744.0,2784,169.51,1256,8744
200000,2,177551.0,11352,606.23,22449,177551
400000,2,355477.0,13062,700.53,44523,355477
600000,2,533489.0,14039,755.36,66511,533489
800000,2,711390.0,14528,784.67,88610,711390
1000000,2,889403.0,14984,806.36,110597,889403
2,3,1.0,2,0.13,1,1
3,3,2.0,2,0.13,1,2
100,3,90.0,60,3.4,10,90
200,3,183.0,120,7.15,17,183
2000,3,1737.0,1054,61.01,263,1737
10000,3,8803.0,3335,186.35,1197,8803
20000,3,17634.0,5012,283.98,2366,17634
40000,3,35272.0,6818,370.62,4728,35272
60000,3,52970.0,8170,439.7,7030,52970
80000,3,70724.0,9087,479.28,9276,70724
10000,3,8803.0,3335,186.35,1197,8803
200000,3,177456.0,11786,599.09,22544,177456
400000,3,355440.0,13720,707.25,44560,355440
600000,3,533142.0,14970,770.2,66858,533142
800000,3,711201.0,15231,786.79,88799,711201
1000000,3,889269.0,15400,795.9,110731,889269
2,4,2.0,2,0.13,0,2
3,4,3.0,2,0.13,0,3
100,4,79.0,59,4.11,21,79
200,4,160.0,113,8.07,40,160
2000,4,1712.0,883,52.27,288,1712
