Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,2,0.01,0,3
100,1,87.0,90,0.45,13,87
200,1,174.0,190,0.95,26,174
2000,1,1760.0,1990,9.95,240,1760
10000,1,8958.0,9990,49.95,1042,8958
20000,1,17896.0,19990,99.95,2104,17896
40000,1,35718.0,39990,199.95,4282,35718
60000,1,53615.0,59990,299.95,6385,53615
80000,1,71476.0,79990,399.95,8524,71476
100000,1,89333.0,99990,499.95,10667,89333
200000,1,178765.0,199990,999.95,21235,178765
400000,1,357694.0,399990,1999.95,42306,357694
600000,1,536561.0,599990,2999.95,63439,536561
800000,1,715704.0,799990,3999.95,84296,715704
1000000,1,894669.0,999990,4999.95,105331,894669
2,2,2.0,1,0.01,0,2
3,2,3.0,2,0.01,0,3
100,2,90.0,17,0.09,10,90
200,2,176.0,99,0.5,24,176
2000,2,1772.0,1882,9.41,228,1772
10000,2,8929.0,9882,49.41,1071,8929
20000,2,17911.0,19882,99.41,2089,17911
40000,2,35799.0,39882,199.41,4201,35799
60000,2,53648.0,59882,299.41,6352,53648
80000,2,71595.0,79882,399.41,8405,71595
100000,2,89494.0,99882,499.41,10506,89494
200000,2,179199.0,199882,999.41,20801,179199
400000,2,358057.0,399882,1999.41,41943,358057
600000,2,536824.0,599882,2999.41,63176,536824
800000,2,715886.0,799882,3999.41,84114,715886
1000000,2,894872.0,999882,4999.41,105128,894872
2,3,2.0,1,0.01,0,2
3,3,3.0,2,0.01,0,3
100,3,93.0,90,0.45,7,93
200,3,180.0,189,0.95,20,180
2000,3,1829.0,1989,9.95,171,1829
10000,3,8996.0,9989,49.95,1004,8996
20000,3,17935.0,19989,99.94,2065,17935
40000,3,35879.0,39989,199.94,4121,35879
60000,3,53769.0,59989,299.94,6231,53769
80000,3,71683.0,79989,399.94,8317,71683
100000,3,89508.0,99989,499.94,10492,89508
200000,3,179001.0,199989,999.94,20999,179001
400000,3,357658.0,399989,1999.95,42342,357658
600000,3,536655.0,599989,2999.95,63345,536655
800000,3,715695.0,799989,3999.95,84305,715695
1000000,3,894576.0,999989,4999.95,105424,894576
2,4,2.0,1,0.01,0,2
3,4,3.0,2,0.01,0,3
100,4,92.0,85,0.43,8,92
200,4,182.0,185,0.93,18,182
2000,4,1792.0,1985,9.93,208,1792
10000,4,8972.0,9985,49.93,1028,8972
20000,4,17897.0,19985,99.92,2103,17897
40000,4,35734.0,39985,199.92,4266,35734
60000,4,53619.0,59985,299.92,6381,53619
80000,4,71609.0,79985,399.92,8391,71609
100000,4,89552.0,99985,499.92,10448,89552
200000,4,179145.0,199985,999.92,20855,179145
400000,4,358036.0,399985,1999.93,41964,358036
600000,4,537104.0,599985,2999.93,62896,537104
800000,4,715802.0,799985,3999.93,84198,715802
1000000,4,894756.0,999985,4999.93,105244,894756
2,5,2.0,1,0.01,0,2
3,5,3.0,2,0.01,0,3
100,5,92.0,90,0.45,8,92
200,5,181.0,190,0.95,19,181
2000,5,1793.0,1990,9.95,207,1793
10000,5,8935.0,9990,49.95,1065,8935
20000,5,17842.0,19990,99.95,2158,17842
40000,5,35745.0,39990,199.95,4255,35745
60000,5,53646.0,59990,299.95,6354,53646
80000,5,71535.0,79990,399.95,8465,71535
100000,5,89460.0,99990,499.95,10540,89460
200000,5,179050.0,199990,999.95,20950,179050
400000,5,358230.0,399990,1999.95,41770,358230
600000,5,537187.0,599990,2999.95,62813,537187
800000,5,715751.0,799990,3999.95,84249,715751
1000000,5,894747.0,999990,4999.95,105253,894747
2,6,2.0,1,0.01,0,2
3,6,3.0,2,0.01,0,3
100,6,87.0,90,0.45,13,87
200,6,172.0,190,0.95,28,172
2000,6,1781.0,1990,9.95,219,1781
10000,6,8981.0,9990,49.95,1019,8981
20000,6,17937.0,19990,99.95,2063,17937
40000,6,35843.0,39990,199.95,4157,35843
60000,6,53724.0,59990,299.95,6276,53724
80000,6,71590.0,79990,399.95,8410,71590
100000,6,89505.0,99990,499.95,10495,89505
200000,6,178990.0,199990,999.95,21010,178990
400000,6,358027.0,399990,1999.95,41973,358027
600000,6,537065.0,599990,2999.95,62935,537065
800000,6,716059.0,799990,3999.95,83941,716059
1000000,6,894997.0,999990,4999.95,105003,894997
2,7,2.0,1,0.01,0,2
3,7,3.0,2,0.01,0,3
100,7,90.0,11,0.06,10,90
200,7,178.0,11,0.06,22,178
2000,7,1784.0,11,0.06,216,1784
10000,7,8982.0,11,0.06,1018,8982
20000,7,18002.0,11,0.06,1998,18002
40000,7,36048.0,11,0.06,3952,36048
60000,7,54048.0,11,0.06,5952,54048
80000,7,72083.0,11,0.06,7917,72083
100000,7,90096.0,11,0.06,9904,90096
200000,7,180010.0,11,0.06,19990,180010
400000,7,359901.0,11,0.06,40099,359901
600000,7,539972.0,11,0.06,60028,539972
800000,7,719779.0,11,0.06,80221,719779
1000000,7,899730.0,11,0.06,100270,899730
2,8,1.0,1,0.01,1,1
3,8,2.0,2,0.01,1,2
100,8,89.0,66,0.33,11,89
200,8,181.0,166,0.83,19,181
2000,8,1775.0,1966,9.83,225,1775
10000,8,8930.0,9966,49.83,1070,8930
20000,8,17827.0,19966,99.83,2173,17827
40000,8,35756.0,39966,199.83,4244,35756
60000,8,53623.0,59966,299.83,6377,53623
80000,8,71543.0,79966,399.83,8457,71543
100000,8,89429.0,99966,499.83,10571,89429
200000,8,178789.0,199966,999.83,21211,178789
400000,8,357892.0,399966,1999.83,42108,357892
600000,8,536902.0,599966,2999.83,63098,536902
800000,8,716032.0,799966,3999.83,83968,716032
1000000,8,895007.0,999966,4999.83,104993,895007
2,9,1.0,1,0.01,1,1
3,9,2.0,2,0.01,1,2
100,9,87.0,90,0.45,13,87
200,9,172.0,190,0.95,28,172
2000,9,1781.0,1990,9.95,219,1781
10000,9,8934.0,9990,49.95,1066,8934
20000,9,17873.0,19990,99.95,2127,17873
40000,9,35742.0,39990,199.95,4258,35742
60000,9,53660.0,59990,299.95,6340,53660
80000,9,71538.0,79990,399.95,8462,71538
100000,9,89442.0,99990,499.95,10558,89442
200000,9,178980.0,199990,999.95,21020,178980
400000,9,358078.0,399990,1999.95,41922,358078
600000,9,537014.0,599990,2999.95,62986,537014
800000,9,716212.0,799990,3999.95,83788,716212
1000000,9,894884.0,999990,4999.95,105116,894884
2,10,2.0,1,0.01,0,2
3,10,3.0,2,0.01,0,3
100,10,96.0,86,0.43,4,96
200,10,188.0,186,0.93,12,188
2000,10,1801.0,1913,9.57,199,1801
10000,10,9008.0,9913,49.57,992,9008
20000,10,17964.0,19913,99.56,2036,17964
40000,10,35881.0,39913,199.56,4119,35881
60000,10,53777.0,59913,299.56,6223,53777
80000,10,71645.0,79913,399.56,8355,71645
100000,10,89518.0,99913,499.56,10482,89518
200000,10,179001.0,199913,999.56,20999,179001
400000,10,357818.0,399913,1999.57,42182,357818
600000,10,536648.0,599913,2999.57,63352,536648
800000,10,715664.0,799913,3999.57,84336,715664
1000000,10,894474.0,999913,4999.57,105526,894474
2,11,2.0,1,0.01,0,2
3,11,3.0,2,0.01,0,3
100,11,95.0,86,0.43,5,95
200,11,179.0,109,0.55,21,179
2000,11,1786.0,566,2.83,214,1786
10000,11,8965.0,566,2.83,1035,8965
20000,11,17973.0,566,2.83,2027,17973
40000,11,36050.0,566,2.83,3950,36050
60000,11,54061.0,566,2.83,5939,54061
80000,11,72069.0,566,2.83,7931,72069
100000,11,90068.0,566,2.83,9932,90068
200000,11,180015.0,566,2.83,19985,180015
400000,11,360010.0,566,2.83,39990,360010
600000,11,540125.0,566,2.83,59875,540125
800000,11,720078.0,566,2.83,79922,720078
1000000,11,899879.0,566,2.83,100121,899879
2,12,2.0,1,0.01,0,2
3,12,3.0,2,0.01,0,3
100,12,91.0,90,0.45,9,91
200,12,177.0,186,0.93,23,177
2000,12,1805.0,1986,9.93,195,1805
10000,12,8916.0,9986,49.93,1084,8916
20000,12,17854.0,19986,99.93,2146,17854
40000,12,35737.0,39986,199.93,4263,35737
60000,12,53632.0,59986,299.93,6368,53632
80000,12,71528.0,79986,399.93,8472,71528
100000,12,89469.0,99986,499.93,10531,89469
200000,12,179079.0,199986,999.93,20921,179079
400000,12,358088.0,399986,1999.93,41912,358088
600000,12,537231.0,599986,2999.93,62769,537231
800000,12,715984.0,799986,3999.93,84016,715984
1000000,12,894941.0,999986,4999.93,105059,894941
2,13,2.0,1,0.01,0,2
3,13,3.0,2,0.01,0,3
100,13,90.0,90,0.45,10,90
200,13,180.0,190,0.95,20,180
2000,13,1797.0,1990,9.95,203,1797
10000,13,8951.0,9990,49.95,1049,8951
20000,13,17913.0,19990,99.95,2087,17913
40000,13,35782.0,39990,199.95,4218,35782
60000,13,53727.0,59990,299.95,6273,53727
80000,13,71681.0,79990,399.95,8319,71681
100000,13,89594.0,99990,499.95,10406,89594
200000,13,179173.0,199990,999.95,20827,179173
400000,13,357936.0,399990,1999.95,42064,357936
600000,13,536731.0,599990,2999.95,63269,536731
800000,13,715683.0,799990,3999.95,84317,715683
1000000,13,894377.0,999990,4999.95,105623,894377
2,14,2.0,1,0.01,0,2
3,14,3.0,2,0.01,0,3
100,14,89.0,85,0.43,11,89
200,14,179.0,185,0.93,21,179
2000,14,1790.0,1985,9.93,210,1790
10000,14,8991.0,9985,49.93,1009,8991
20000,14,17936.0,19985,99.92,2064,17936
40000,14,35839.0,39985,199.92,4161,35839
60000,14,53786.0,59985,299.92,6214,53786
80000,14,71607.0,79985,399.92,8393,71607
100000,14,89533.0,99985,499.92,10467,89533
200000,14,178989.0,199985,999.92,21011,178989
400000,14,358229.0,399985,1999.93,41771,358229
600000,14,537380.0,599985,2999.93,62620,537380
800000,14,716437.0,799985,3999.93,83563,716437
1000000,14,895215.0,999985,4999.93,104785,895215
2,15,2.0,1,0.01,0,2
3,15,3.0,2,0.01,0,3
100,15,92.0,10,0.05,8,92
200,15,183.0,10,0.05,17,183
2000,15,1809.0,10,0.05,191,1809
10000,15,8977.0,1063,5.31,1023,8977
20000,15,18010.0,1063,5.31,1990,18010
40000,15,36047.0,1063,5.31,3953,36047
60000,15,54122.0,1063,5.31,5878,54122
80000,15,72116.0,1063,5.31,7884,72116
100000,15,90143.0,1063,5.31,9857,90143
200000,15,180140.0,1063,5.31,19860,180140
400000,15,360319.0,1063,5.31,39681,360319
600000,15,540069.0,1063,5.31,59931,540069
800000,15,720026.0,1063,5.31,79974,720026
1000000,15,899822.0,1063,5.31,100178,899822
2,16,1.0,1,0.01,1,1
3,16,2.0,2,0.01,1,2
100,16,88.0,14,0.07,12,88
200,16,181.0,14,0.07,19,181
2000,16,1789.0,14,0.07,211,1789
10000,16,9020.0,14,0.07,980,9020
20000,16,18009.0,14,0.07,1991,18009
40000,16,36039.0,14,0.07,3961,36039
60000,16,54056.0,14,0.07,5944,54056
80000,16,71999.0,14,0.07,8001,71999
100000,16,90017.0,14,0.07,9983,90017
200000,16,180117.0,14,0.07,19883,180117
400000,16,360128.0,14,0.07,39872,360128
600000,16,540113.0,14,0.07,59887,540113
800000,16,720084.0,14,0.07,79916,720084
1000000,16,899916.0,14,0.07,100084,899916
2,17,1.0,1,0.01,1,1
3,17,2.0,2,0.01,1,2
100,17,87.0,10,0.05,13,87
200,17,180.0,10,0.05,20,180
2000,17,1799.0,10,0.05,201,1799
10000,17,9022.0,10,0.05,978,9022
20000,17,17991.0,10,0.05,2009,17991
40000,17,35929.0,10,0.05,4071,35929
60000,17,53914.0,10,0.05,6086,53914
80000,17,71941.0,10,0.05,8059,71941
100000,17,89943.0,10,0.05,10057,89943
200000,17,180057.0,10,0.05,19943,180057
400000,17,360126.0,10,0.05,39874,360126
600000,17,540288.0,10,0.05,59712,540288
800000,17,720103.0,10,0.05,79897,720103
1000000,17,899876.0,10,0.05,100124,899876
2,18,1.0,1,0.01,1,1
3,18,2.0,2,0.01,1,2
100,18,83.0,90,0.45,17,83
200,18,170.0,190,0.95,30,170
2000,18,1784.0,1990,9.95,216,1784
10000,18,8972.0,9990,49.95,1028,8972
20000,18,17914.0,19990,99.95,2086,17914
40000,18,35819.0,39990,199.95,4181,35819
60000,18,53715.0,59990,299.95,6285,53715
80000,18,71593.0,79990,399.95,8407,71593
100000,18,89535.0,99990,499.95,10465,89535
200000,18,179074.0,199990,999.95,20926,179074
400000,18,358178.0,399990,1999.95,41822,358178
600000,18,537235.0,599990,2999.95,62765,537235
800000,18,716105.0,799990,3999.95,83895,716105
1000000,18,895069.0,999990,4999.95,104931,895069
2,19,2.0,1,0.01,0,2
3,19,3.0,2,0.01,0,3
100,19,89.0,89,0.45,11,89
200,19,180.0,189,0.95,20,180
2000,19,1787.0,1989,9.95,213,1787
10000,19,8962.0,9989,49.95,1038,8962
20000,19,17899.0,19989,99.94,2101,17899
40000,19,35799.0,39989,199.94,4201,35799
60000,19,53715.0,59989,299.94,6285,53715
80000,19,71568.0,79989,399.94,8432,71568
100000,19,89524.0,99989,499.94,10476,89524
200000,19,179075.0,199989,999.94,20925,179075
400000,19,358196.0,399989,1999.95,41804,358196
600000,19,536974.0,599989,2999.95,63026,536974
800000,19,716032.0,799989,3999.95,83968,716032
1000000,19,894973.0,999989,4999.95,105027,894973
2,20,2.0,1,0.01,0,2
3,20,3.0,2,0.01,0,3
100,20,91.0,52,0.26,9,91
200,20,181.0,144,0.72,19,181
2000,20,1776.0,1939,9.7,224,1776
10000,20,8974.0,9939,49.7,1026,8974
20000,20,17925.0,19939,99.69,2075,17925
40000,20,35802.0,39939,199.69,4198,35802
60000,20,53660.0,59939,299.69,6340,53660
80000,20,71623.0,79939,399.69,8377,71623
100000,20,89505.0,99939,499.69,10495,89505
200000,20,179002.0,199939,999.69,20998,179002
400000,20,357842.0,399939,1999.7,42158,357842
600000,20,536785.0,599939,2999.7,63215,536785
800000,20,715817.0,799939,3999.7,84183,715817
1000000,20,894977.0,999939,4999.7,105023,894977
2,21,2.0,1,0.01,0,2
3,21,3.0,2,0.01,0,3
100,21,92.0,73,0.37,8,92
200,21,183.0,173,0.87,17,183
2000,21,1796.0,1973,9.87,204,1796
10000,21,8974.0,9973,49.87,1026,8974
20000,21,17941.0,19973,99.86,2059,17941
40000,21,35781.0,39973,199.86,4219,35781
60000,21,53692.0,59973,299.86,6308,53692
80000,21,71567.0,79973,399.86,8433,71567
100000,21,89430.0,99973,499.86,10570,89430
200000,21,178914.0,199973,999.86,21086,178914
400000,21,358090.0,399973,1999.87,41910,358090
600000,21,536806.0,599973,2999.87,63194,536806
800000,21,715794.0,799973,3999.87,84206,715794
1000000,21,894673.0,999973,4999.87,105327,894673
2,22,2.0,1,0.01,0,2
3,22,3.0,2,0.01,0,3
100,22,89.0,84,0.42,11,89
200,22,180.0,184,0.92,20,180
2000,22,1790.0,1984,9.92,210,1790
10000,22,8925.0,9984,49.92,1075,8925
20000,22,17849.0,19984,99.92,2151,17849
40000,22,35743.0,39984,199.92,4257,35743
60000,22,53616.0,59984,299.92,6384,53616
80000,22,71494.0,79984,399.92,8506,71494
100000,22,89457.0,99984,499.92,10543,89457
200000,22,178958.0,199984,999.92,21042,178958
400000,22,357972.0,399984,1999.92,42028,357972
600000,22,536998.0,599984,2999.92,63002,536998
800000,22,715944.0,799984,3999.92,84056,715944
1000000,22,894856.0,999984,4999.92,105144,894856
2,23,2.0,1,0.01,0,2
3,23,3.0,2,0.01,0,3
100,23,90.0,11,0.06,10,90
200,23,184.0,11,0.06,16,184
2000,23,1811.0,11,0.06,189,1811
10000,23,8997.0,11,0.06,1003,8997
20000,23,17954.0,11,0.06,2046,17954
40000,23,35954.0,11,0.06,4046,35954
60000,23,53919.0,11,0.06,6081,53919
80000,23,71921.0,11,0.06,8079,71921
100000,23,89968.0,11,0.06,10032,89968
200000,23,179942.0,11,0.06,20058,179942
400000,23,359862.0,11,0.06,40138,359862
600000,23,539879.0,11,0.06,60121,539879
800000,23,720005.0,11,0.06,79995,720005
1000000,23,900087.0,11,0.06,99913,900087
2,24,2.0,1,0.01,0,2
3,24,3.0,2,0.01,0,3
100,24,94.0,10,0.05,6,94
200,24,186.0,10,0.05,14,186
2000,24,1817.0,26,0.13,183,1817
10000,24,9042.0,26,0.13,958,9042
20000,24,18046.0,26,0.13,1954,18046
40000,24,36029.0,26,0.13,3971,36029
60000,24,54011.0,26,0.13,5989,54011
80000,24,72087.0,26,0.13,7913,72087
100000,24,90039.0,26,0.13,9961,90039
200000,24,179836.0,26,0.13,20164,179836
400000,24,359791.0,26,0.13,40209,359791
600000,24,539716.0,26,0.13,60284,539716
800000,24,719708.0,26,0.13,80292,719708
1000000,24,899435.0,26,0.13,100565,899435
2,25,2.0,1,0.01,0,2
3,25,3.0,2,0.01,0,3
100,25,87.0,57,0.29,13,87
200,25,182.0,57,0.29,18,182
2000,25,1809.0,57,0.29,191,1809
10000,25,9035.0,57,0.29,965,9035
20000,25,18084.0,57,0.29,1916,18084
40000,25,36099.0,57,0.29,3901,36099
60000,25,54139.0,57,0.29,5861,54139
80000,25,72095.0,57,0.29,7905,72095
100000,25,90030.0,57,0.29,9970,90030
200000,25,179909.0,57,0.29,20091,179909
400000,25,359961.0,57,0.29,40039,359961
600000,25,539727.0,57,0.29,60273,539727
800000,25,719662.0,57,0.29,80338,719662
1000000,25,899702.0,57,0.29,100298,899702
2,26,2.0,1,0.01,0,2
3,26,3.0,2,0.01,0,3
100,26,87.0,87,0.44,13,87
200,26,179.0,187,0.94,21,179
2000,26,1822.0,1987,9.94,178,1822
10000,26,8970.0,9987,49.94,1030,8970
20000,26,17933.0,19987,99.93,2067,17933
40000,26,35892.0,39987,199.93,4108,35892
60000,26,53809.0,59987,299.93,6191,53809
80000,26,71645.0,79987,399.93,8355,71645
100000,26,89537.0,99987,499.93,10463,89537
200000,26,178956.0,199987,999.93,21044,178956
400000,26,357903.0,399987,1999.94,42097,357903
600000,26,536982.0,599987,2999.94,63018,536982
800000,26,715924.0,799987,3999.94,84076,715924
1000000,26,894800.0,999987,4999.94,105200,894800
2,27,2.0,1,0.01,0,2
3,27,3.0,2,0.01,0,3
100,27,91.0,16,0.08,9,91
200,27,181.0,16,0.08,19,181
2000,27,1777.0,62,0.31,223,1777
10000,27,8991.0,62,0.31,1009,8991
20000,27,17973.0,62,0.31,2027,17973
40000,27,35986.0,62,0.31,4014,35986
60000,27,53983.0,62,0.31,6017,53983
80000,27,71904.0,62,0.31,8096,71904
100000,27,89950.0,62,0.31,10050,89950
200000,27,179905.0,62,0.31,20095,179905
400000,27,360223.0,62,0.31,39777,360223
600000,27,540303.0,62,0.31,59697,540303
800000,27,720201.0,62,0.31,79799,720201
1000000,27,900196.0,62,0.31,99804,900196
2,28,2.0,1,0.01,0,2
3,28,3.0,2,0.01,0,3
100,28,91.0,17,0.09,9,91
200,28,184.0,17,0.09,16,184
2000,28,1802.0,17,0.09,198,1802
10000,28,8970.0,17,0.09,1030,8970
20000,28,18001.0,17,0.09,1999,18001
40000,28,35952.0,17,0.09,4048,35952
60000,28,53889.0,17,0.09,6111,53889
80000,28,71853.0,17,0.09,8147,71853
100000,28,89937.0,17,0.09,10063,89937
200000,28,179964.0,17,0.09,20036,179964
400000,28,360038.0,17,0.09,39962,360038
600000,28,540029.0,17,0.09,59971,540029
800000,28,719781.0,17,0.09,80219,719781
1000000,28,899809.0,17,0.09,100191,899809
2,29,2.0,1,0.01,0,2
3,29,3.0,2,0.01,0,3
100,29,94.0,11,0.06,6,94
200,29,183.0,11,0.06,17,183
2000,29,1793.0,18,0.09,207,1793
10000,29,8977.0,18,0.09,1023,8977
20000,29,17965.0,18,0.09,2035,17965
40000,29,35952.0,18,0.09,4048,35952
60000,29,53976.0,18,0.09,6024,53976
80000,29,72004.0,18,0.09,7996,72004
100000,29,89995.0,18,0.09,10005,89995
200000,29,180030.0,18,0.09,19970,180030
400000,29,360277.0,18,0.09,39723,360277
600000,29,540424.0,18,0.09,59576,540424
800000,29,720523.0,18,0.09,79477,720523
1000000,29,900378.0,18,0.09,99622,900378
2,30,2.0,1,0.01,0,2
3,30,3.0,2,0.01,0,3
100,30,89.0,10,0.05,11,89
200,30,172.0,10,0.05,28,172
2000,30,1807.0,10,0.05,193,1807
10000,30,9051.0,10,0.05,949,9051
20000,30,18027.0,10,0.05,1973,18027
40000,30,36049.0,10,0.05,3951,36049
60000,30,54070.0,10,0.05,5930,54070
80000,30,72044.0,10,0.05,7956,72044
100000,30,90164.0,10,0.05,9836,90164
200000,30,180128.0,10,0.05,19872,180128
400000,30,360085.0,10,0.05,39915,360085
600000,30,540168.0,10,0.05,59832,540168
800000,30,720159.0,10,0.05,79841,720159
1000000,30,900121.0,10,0.05,99879,900121
2,31,2.0,1,0.01,0,2
3,31,2.0,2,0.01,1,2
100,31,90.0,10,0.05,10,90
200,31,178.0,10,0.05,22,178
2000,31,1808.0,10,0.05,192,1808
10000,31,9010.0,10,0.05,990,9010
20000,31,18065.0,10,0.05,1935,18065
40000,31,36078.0,10,0.05,3922,36078
60000,31,54044.0,10,0.05,5956,54044
80000,31,72084.0,10,0.05,7916,72084
100000,31,90068.0,10,0.05,9932,90068
200000,31,180131.0,10,0.05,19869,180131
400000,31,360252.0,10,0.05,39748,360252
600000,31,540427.0,10,0.05,59573,540427
800000,31,720393.0,10,0.05,79607,720393
1000000,31,900543.0,10,0.05,99457,900543
2,32,2.0,1,0.01,0,2
3,32,3.0,2,0.01,0,3
100,32,91.0,87,0.44,9,91
200,32,183.0,187,0.94,17,183
2000,32,1781.0,1987,9.94,219,1781
10000,32,8955.0,9987,49.94,1045,8955
20000,32,17919.0,19987,99.93,2081,17919
40000,32,35779.0,39987,199.93,4221,35779
60000,32,53636.0,59987,299.93,6364,53636
80000,32,71569.0,79987,399.93,8431,71569
100000,32,89462.0,99987,499.93,10538,89462
200000,32,179003.0,199987,999.93,20997,179003
400000,32,357922.0,399987,1999.94,42078,357922
600000,32,536932.0,599987,2999.94,63068,536932
800000,32,715815.0,799987,3999.94,84185,715815
1000000,32,894886.0,999987,4999.94,105114,894886
2,33,2.0,1,0.01,0,2
3,33,3.0,2,0.01,0,3
100,33,91.0,10,0.05,9,91
200,33,186.0,10,0.05,14,186
2000,33,1809.0,10,0.05,191,1809
10000,33,9020.0,10,0.05,980,9020
20000,33,18036.0,10,0.05,1964,18036
40000,33,36027.0,10,0.05,3973,36027
60000,33,54025.0,10,0.05,5975,54025
80000,33,72027.0,10,0.05,7973,72027
100000,33,90045.0,10,0.05,9955,90045
