Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,2,0.08,0,2
3,1,2.0,2,0.08,1,2
100,1,87.0,67,2.68,13,87
200,1,164.0,134,5.36,36,164
2000,1,1758.0,200,8.0,242,1758
10000,1,8841.0,200,8.0,1159,8841
20000,1,17780.0,200,8.0,2220,17780
40000,1,35577.0,200,8.0,4423,35577
60000,1,53405.0,200,8.0,6595,53405
80000,1,71287.0,200,8.0,8713,71287
100000,1,89068.0,200,8.0,10932,89068
200000,1,177986.0,200,8.0,22014,177986
400000,1,355760.0,200,8.0,44240,355760
600000,1,533789.0,200,8.0,66211,533789
800000,1,711932.0,200,8.0,88068,711932
1000000,1,889946.0,200,8.0,110054,889946
2,2,1.0,2,0.08,1,1
3,2,2.0,2,0.08,1,2
100,2,81.0,67,2.68,19,81
200,2,169.0,134,5.36,31,169
2000,2,1769.0,200,8.0,231,1769
10000,2,8815.0,200,8.0,1185,8815
20000,2,17628.0,200,8.0,2372,17628
40000,2,35433.0,200,8.0,4567,35433
60000,2,53228.0,200,8.0,6772,53228
80000,2,70997.0,200,8.0,9003,70997
100000,2,88834.0,200,8.0,11166,88834
200000,2,177823.0,200,8.0,22177,177823
400000,2,355800.0,200,8.0,44200,355800
600000,2,533620.0,200,8.0,66380,533620
800000,2,711689.0,200,8.0,88311,711689
1000000,2,889829.0,200,8.0,110171,889829
2,3,2.0,2,0.08,0,2
3,3,3.0,2,0.08,0,3
100,3,83.0,67,2.68,17,83
200,3,170.0,134,5.36,30,170
2000,3,1769.0,223,8.92,231,1769
10000,3,8866.0,223,8.92,1134,8866
20000,3,17777.0,223,8.92,2223,17777
40000,3,35575.0,223,8.92,4425,35575
60000,3,53372.0,223,8.92,6628,53372
80000,3,71192.0,223,8.92,8808,71192
100000,3,88976.0,223,8.92,11024,88976
200000,3,177934.0,223,8.92,22066,177934
400000,3,356097.0,223,8.92,43903,356097
600000,3,534153.0,223,8.92,65847,534153
800000,3,712056.0,223,8.92,87944,712056
1000000,3,889916.0,223,8.92,110084,889916
2,4,2.0,2,0.08,0,2
