Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.81,1.0,0.0,0.19,1.81
3,2.67,1.0,0.0,0.33,2.67
100,89.44,50.0,0.0,10.56,89.44
200,178.81,100.0,0.0,21.19,178.81
2000,1790.45,1000.0,0.0,209.55,1790.45
10000,8951.93,5000.0,0.0,1048.07,8951.93
20000,17902.42,10000.0,0.0,2097.58,17902.42
40000,35804.3,20340.89,0.0,4195.7,35804.3
60000,53704.11,30229.89,0.0,6295.89,53704.11
80000,71610.25,40039.63,0.0,8389.75,71610.25
100000,89511.72,49644.78,0.0,10488.28,89511.72
200000,179017.58,97329.03,0.0,20982.42,179017.58
400000,358018.89,194350.73,0.0,41981.11,358018.89
600000,537034.09,290330.68,0.0,62965.91,537034.09
800000,716059.7,385570.49,0.0,83940.3,716059.7
1000000,895079.24,481630.34,0.0,104920.76,895079.24
