Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.69,1.0,0.08999999999999991,0.31,1.69
3,2.58,2.0,0.08999999999999991,0.42,2.58
100,85.27,66.0,2.970000000000003,14.73,85.27
200,171.01,133.0,6.029999999999985,28.99,171.01
2000,1716.81,1333.0,60.02999999999998,283.19,1716.81
10000,8598.31,6666.0,299.9700000000004,1401.69,8598.31
20000,17197.95,13333.0,600.0299999999993,2802.05,17197.95
40000,34395.16,26666.0,1199.970000000001,5604.84,34395.16
60000,51596.62,40000.0,1800.0,8403.38,51596.62
80000,68798.59,53333.0,2400.0299999999993,11201.41,68798.59
100000,85993.83,66666.0,2999.969999999997,14006.17,85993.83
200000,172000.26,133333.0,6000.030000000015,27999.74,172000.26
400000,347003.05,252500.47,9000.0,52996.95,347003.05
600000,525004.79,358615.98,9000.0,74995.21,525004.79
800000,703013.24,463025.58,9000.0,96986.76,703013.24
1000000,881028.53,569475.18,9000.0,118971.47,881028.53
