Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.6490909090909092,1.2727272727272727,0.15681818181818405,0.3509090909090909,1.6490909090909092
3,2.4645454545454544,1.9772727272727273,0.23454545454546022,0.5354545454545454,2.4645454545454544
100,82.13886363636364,65.86363636363636,7.818181818181653,17.861136363636362,82.13886363636364
200,164.29545454545453,131.77272727272728,15.636363636363672,35.70454545454545,164.29545454545453
2000,1773.7165909090909,578.6020454545454,26.500025000000004,226.2834090909091,1773.7165909090909
10000,8962.234772727274,2262.203409090909,38.052115909090894,1037.7652272727273,8962.234772727274
20000,17948.235454545455,4346.443181818182,51.99142727272724,2051.7645454545454,17948.235454545455
40000,35919.935,8505.524090909092,79.63872272727274,4080.065,35919.935
60000,53893.00636363636,12656.760454545454,107.19903636363635,6106.993636363636,53893.00636363636
80000,71866.92136363636,16803.53818181818,134.71355227272716,8133.078636363636,71866.92136363636
100000,89839.4225,20949.12181818182,162.21464090909092,10160.5775,89839.4225
200000,179702.4659090909,41666.51568181818,299.7155068181819,20297.534090909092,179702.4659090909
400000,359433.0240909091,83086.05181818182,574.5006022727265,40566.97590909091,359433.0240909091
600000,539159.9447727273,124495.03454545455,849.2729568181817,60840.05522727273,539159.9447727273
800000,718885.1090909091,165904.10977272727,1124.0456068181813,81114.89090909091,718885.1090909091
1000000,898609.2052272727,207313.19954545455,1398.8183272727256,101390.79477272727,898609.2052272727
