Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.74,1.0,0.010000000000000007,0.26,1.74
3,2.6,2.0,0.010000000000000007,0.4,2.6
100,88.45,66.0,0.3299999999999991,11.55,88.45
200,177.6,133.0,0.6700000000000013,22.4,177.6
2000,1782.97,1333.0,6.660000000000001,217.03,1782.97
10000,8920.02,6666.0,33.329999999999956,1079.98,8920.02
20000,17838.31,13333.0,66.67000000000006,2161.69,17838.31
40000,35672.33,26666.0,133.32999999999996,4327.67,35672.33
60000,53510.97,40000.0,200.0,6489.03,53510.97
80000,71349.13,53333.0,266.6599999999999,8650.87,71349.13
100000,89188.96,66666.0,333.3300000000009,10811.04,89188.96
200000,178353.24,133333.0,666.6600000000018,21646.76,178353.24
400000,357022.09,200000.0,1000.0,42977.91,357022.09
600000,536026.68,200000.0,1000.0,63973.32,536026.68
800000,715012.04,200000.0,1000.0,84987.96,715012.04
1000000,894013.87,200000.0,1000.0,105986.13,894013.87
