Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.64,1.0,0.08999999999999991,0.36,1.64
3,2.44,1.81,0.17099999999999993,0.56,2.44
100,86.68,38.29,3.6352,13.32,86.68
200,173.32,66.03,6.2704,26.68,173.32
2000,1765.04,259.82,24.680799999999998,234.96,1765.04
10000,8906.58,395.15,37.53709999999999,1093.42,8906.58
20000,17853.68,425.23,40.39499999999999,2146.32,17853.68
40000,35749.63,456.04,43.32149999999998,4250.37,35749.63
60000,53650.58,474.27,45.0533,6349.42,53650.58
80000,71546.89,485.69,46.13800000000003,8453.11,71546.89
100000,89447.35,492.13,46.749800000000015,10552.65,89447.35
200000,178965.89,506.97,48.159800000000004,21034.11,178965.89
400000,357968.09,521.09,49.50120000000001,42031.91,357968.09
600000,536966.63,528.54,50.2089,63033.37,536966.63
800000,715952.87,531.03,50.44549999999998,84047.13,715952.87
1000000,894947.71,533.98,50.72569999999999,105052.29,894947.71
