Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.78,2.0,0.020000000000000014,0.22,1.78
3,2.71,2.0,0.020000000000000014,0.29,2.71
100,89.39,65.53,0.6553000000000003,10.61,89.39
200,178.91,130.43,1.3042999999999998,21.09,178.91
2000,1788.95,1231.44,12.314400000000001,211.05,1788.95
10000,8942.93,5405.55,54.0555,1057.07,8942.93
20000,17905.49,9743.75,97.4375,2094.51,17905.49
40000,35841.92,16172.69,161.72689999999997,4158.08,35841.92
60000,53792.31,21230.47,212.30469999999994,6207.69,53792.31
80000,71745.56,25406.7,254.06699999999998,8254.44,71745.56
100000,89709.02,28700.7,287.00700000000006,10290.98,89709.02
200000,179611.64,39137.84,391.37839999999994,20388.36,179611.64
400000,359505.98,49455.34,494.5534000000002,40494.02,359505.98
600000,539467.31,54837.75,548.3774999999999,60532.69,539467.31
800000,719418.88,58969.05,589.6905000000002,80581.12,719418.88
1000000,899375.68,61568.89,615.6889000000001,100624.32,899375.68
