Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,2,0.09,0,3
100,1,87.0,44,1.98,13,87
200,1,179.0,86,3.87,21,179
2000,1,1775.0,463,20.84,225,1775
10000,1,8911.0,940,42.3,1089,8911
20000,1,17915.0,1006,45.27,2085,17915
40000,1,35864.0,1157,52.07,4136,35864
60000,1,53706.0,1452,65.34,6294,53706
80000,1,71560.0,1470,66.15,8440,71560
100000,1,89457.0,1476,66.42,10543,89457
200000,1,178805.0,1821,81.95,21195,178805
400000,1,357633.0,1873,84.29,42367,357633
600000,1,536668.0,1877,84.47,63332,536668
800000,1,715684.0,1879,84.56,84316,715684
1000000,1,894703.0,1879,84.56,105297,894703
2,2,1.0,1,0.05,1,1
3,2,2.0,2,0.09,1,2
100,2,88.0,61,2.74,12,88
200,2,173.0,103,4.63,27,173
2000,2,1754.0,698,31.41,246,1754
10000,2,8846.0,1608,72.36,1154,8846
20000,2,17815.0,1652,74.34,2185,17815
40000,2,35638.0,1802,81.09,4362,35638
60000,2,53520.0,2050,92.25,6480,53520
80000,2,71431.0,2051,92.3,8569,71431
100000,2,89299.0,2133,95.99,10701,89299
200000,2,178639.0,2548,114.66,21361,178639
400000,2,357654.0,2563,115.34,42346,357654
600000,2,536578.0,2568,115.56,63422,536578
800000,2,715616.0,2583,116.24,84384,715616
1000000,2,894587.0,2599,116.96,105413,894587
2,3,1.0,1,0.05,1,1
3,3,2.0,1,0.05,1,2
100,3,82.0,35,1.58,18,82
200,3,169.0,76,3.42,31,169
2000,3,1760.0,490,22.05,240,1760
10000,3,8937.0,921,41.45,1063,8937
20000,3,17887.0,1233,55.49,2113,17887
40000,3,35797.0,1366,61.47,4203,35797
60000,3,53705.0,1429,64.31,6295,53705
80000,3,71532.0,1519,68.36,8468,71532
100000,3,89453.0,1637,73.67,10547,89453
200000,3,178817.0,1663,74.84,21183,178817
400000,3,357785.0,1667,75.02,42215,357785
600000,3,536967.0,1667,75.02,63033,536967
800000,3,716029.0,1675,75.38,83971,716029
1000000,3,895124.0,1675,75.38,104876,895124
2,4,2.0,1,0.05,0,2
3,4,3.0,2,0.09,0,3
100,4,89.0,44,1.98,11,89
200,4,178.0,78,3.51,22,178
2000,4,1791.0,224,10.08,209,1791
10000,4,8886.0,850,38.25,1114,8886
20000,4,17837.0,1264,56.88,2163,17837
40000,4,35736.0,1377,61.97,4264,35736
60000,4,53614.0,1419,63.86,6386,53614
80000,4,71548.0,1513,68.09,8452,71548
100000,4,89408.0,1687,75.92,10592,89408
200000,4,178884.0,2136,96.12,21116,178884
400000,4,357693.0,2221,99.95,42307,357693
600000,4,536852.0,2221,99.95,63148,536852
800000,4,716201.0,2221,99.95,83799,716201
1000000,4,895062.0,2229,100.31,104938,895062
2,5,2.0,1,0.05,0,2
3,5,3.0,2,0.09,0,3
100,5,84.0,54,2.43,16,84
200,5,164.0,98,4.41,36,164
2000,5,1748.0,408,18.36,252,1748
10000,5,8919.0,756,34.02,1081,8919
20000,5,17828.0,780,35.1,2172,17828
40000,5,35793.0,784,35.28,4207,35793
60000,5,53753.0,788,35.46,6247,53753
80000,5,71658.0,1236,55.62,8342,71658
100000,5,89547.0,1258,56.61,10453,89547
200000,5,179172.0,1301,58.55,20828,179172
400000,5,358154.0,1493,67.19,41846,358154
600000,5,537307.0,1494,67.23,62693,537307
800000,5,716268.0,1496,67.32,83732,716268
1000000,5,895008.0,1528,68.76,104992,895008
2,6,1.0,1,0.05,1,1
3,6,2.0,2,0.09,1,2
100,6,89.0,47,2.11,11,89
200,6,175.0,84,3.78,25,175
2000,6,1771.0,527,23.72,229,1771
10000,6,8892.0,1361,61.25,1108,8892
20000,6,17881.0,2198,98.91,2119,17881
40000,6,35743.0,2647,119.12,4257,35743
60000,6,53648.0,3142,141.39,6352,53648
80000,6,71478.0,3222,144.99,8522,71478
100000,6,89417.0,3297,148.36,10583,89417
200000,6,178905.0,3638,163.71,21095,178905
400000,6,357910.0,3759,169.15,42090,357910
600000,6,536821.0,3820,171.9,63179,536821
800000,6,715861.0,3958,178.11,84139,715861
1000000,6,894912.0,3958,178.11,105088,894912
2,7,2.0,1,0.05,0,2
3,7,3.0,2,0.09,0,3
100,7,88.0,56,2.52,12,88
200,7,171.0,134,6.03,29,171
2000,7,1731.0,852,38.34,269,1731
10000,7,8796.0,1802,81.09,1204,8796
20000,7,17720.0,1921,86.45,2280,17720
40000,7,35649.0,2084,93.78,4351,35649
60000,7,53542.0,2096,94.32,6458,53542
80000,7,71403.0,2268,102.06,8597,71403
100000,7,89343.0,2278,102.51,10657,89343
200000,7,178859.0,2304,103.68,21141,178859
400000,7,357834.0,2335,105.08,42166,357834
600000,7,537066.0,2337,105.17,62934,537066
800000,7,715777.0,2359,106.16,84223,715777
1000000,7,894911.0,2359,106.16,105089,894911
2,8,2.0,1,0.05,0,2
3,8,3.0,2,0.09,0,3
100,8,88.0,40,1.8,12,88
200,8,175.0,81,3.64,25,175
2000,8,1761.0,371,16.7,239,1761
10000,8,8910.0,766,34.47,1090,8910
20000,8,17859.0,791,35.6,2141,17859
40000,8,35731.0,1279,57.56,4269,35731
60000,8,53610.0,1461,65.75,6390,53610
80000,8,71572.0,1755,78.98,8428,71572
100000,8,89464.0,1815,81.68,10536,89464
200000,8,178863.0,2177,97.97,21137,178863
