Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,2,0.1,0,2
3,1,3.0,2,0.1,0,3
100,1,90.0,59,2.72,10,90
200,1,175.0,126,4.23,25,175
2000,1,1776.0,1228,18.38,224,1776
10000,1,8843.0,5528,64.63,1157,8843
20000,1,17724.0,9597,87.67,2276,17724
40000,1,35573.0,12037,100.14,4427,35573
60000,1,53471.0,24257,161.69,6529,53471
80000,1,71375.0,30189,191.35,8625,71375
100000,1,89295.0,34633,213.57,10705,89295
200000,1,178935.0,41624,250.51,21065,178935
400000,1,357880.0,62537,356.15,42120,357880
600000,1,536660.0,80113,444.66,63340,536660
800000,1,715612.0,86843,478.31,84388,715612
1000000,1,894411.0,102034,554.27,105589,894411
2,2,2.0,2,0.1,0,2
3,2,3.0,2,0.1,0,3
100,2,86.0,60,3.0,14,86
200,2,167.0,98,4.54,33,167
2000,2,1761.0,863,18.44,239,1761
10000,2,8829.0,3989,73.13,1171,8829
20000,2,17782.0,8405,96.29,2218,17782
40000,2,35568.0,16292,137.26,4432,35568
60000,2,53472.0,18493,148.89,6528,53472
80000,2,71420.0,19211,152.57,8580,71420
100000,2,89264.0,20684,160.12,10736,89264
200000,2,178770.0,27577,198.63,21230,178770
400000,2,357516.0,50758,316.61,42484,357516
600000,2,536361.0,91631,521.06,63639,536361
800000,2,715241.0,101153,568.67,84759,715241
1000000,2,894425.0,105199,588.9,105575,894425
2,3,2.0,2,0.1,0,2
3,3,3.0,2,0.1,0,3
100,3,78.0,64,3.2,22,78
200,3,166.0,113,6.5,34,166
2000,3,1763.0,1220,30.49,237,1763
10000,3,8869.0,5387,66.72,1131,8869
20000,3,17750.0,8821,91.08,2250,17750
40000,3,35587.0,16475,134.93,4413,35587
60000,3,53348.0,23072,176.83,6652,53348
80000,3,71255.0,25205,187.94,8745,71255
100000,3,89170.0,27149,197.84,10830,89170
200000,3,178566.0,40968,267.3,21434,178566
400000,3,357267.0,63432,381.06,42733,357267
600000,3,536247.0,84003,485.89,63753,536247
800000,3,715449.0,84003,485.89,84551,715449
1000000,3,894493.0,85837,495.06,105507,894493
2,4,2.0,2,0.1,0,2
3,4,2.0,2,0.1,1,2
100,4,87.0,68,2.59,13,87
200,4,172.0,142,4.22,28,172
2000,4,1769.0,1109,21.92,231,1769
10000,4,8928.0,5043,46.37,1072,8928
20000,4,17868.0,10094,73.42,2132,17868
40000,4,35717.0,18885,118.0,4283,35717
60000,4,53588.0,32492,186.04,6412,53588
80000,4,71389.0,40781,228.56,8611,71389
100000,4,89336.0,42980,239.56,10664,89336
200000,4,178736.0,57483,312.16,21264,178736
400000,4,357597.0,92161,485.64,42403,357597
600000,4,536595.0,101390,531.79,63405,536595
800000,4,715442.0,107205,560.86,84558,715442
1000000,4,894319.0,112142,585.55,105681,894319
2,5,2.0,2,0.1,0,2
3,5,2.0,2,0.1,1,2
100,5,94.0,61,2.82,6,94
200,5,178.0,122,5.38,22,178
2000,5,1771.0,723,18.92,229,1771
10000,5,8889.0,2646,31.68,1111,8889
20000,5,17856.0,6415,50.53,2144,17856
40000,5,35788.0,8742,68.28,4212,35788
60000,5,53645.0,12838,89.48,6355,53645
80000,5,71540.0,14531,98.84,8460,71540
100000,5,89410.0,16643,112.91,10590,89410
200000,5,178841.0,27938,169.48,21159,178841
400000,5,357679.0,37752,219.9,42321,357679
600000,5,536690.0,56597,314.12,63310,536690
800000,5,715668.0,60265,333.27,84332,715668
1000000,5,894529.0,68543,374.66,105471,894529
2,6,0.0,2,0.1,2,0
3,6,1.0,2,0.1,2,1
100,6,79.0,50,3.04,21,79
200,6,166.0,110,6.4,34,166
2000,6,1744.0,1175,25.13,256,1744
10000,6,8869.0,5227,67.27,1131,8869
20000,6,17799.0,11925,114.43,2201,17799
40000,6,35716.0,24240,177.0,4284,35716
60000,6,53540.0,36065,237.47,6460,53540
80000,6,71367.0,41950,281.12,8633,71367
100000,6,89224.0,44762,295.18,10776,89224
200000,6,178632.0,70100,427.45,21368,178632
400000,6,357447.0,103682,595.81,42553,357447
600000,6,536303.0,119316,675.69,63697,536303
800000,6,715132.0,135937,758.88,84868,715132
1000000,6,894005.0,140063,779.51,105995,894005
2,7,1.0,2,0.1,1,1
3,7,2.0,2,0.1,1,2
100,7,83.0,60,2.1,17,83
200,7,174.0,127,2.97,26,174
2000,7,1755.0,1250,28.57,245,1755
10000,7,8784.0,3871,64.54,1216,8784
20000,7,17752.0,4444,68.3,2248,17752
40000,7,35659.0,6828,81.21,4341,35659
60000,7,53555.0,7489,84.78,6445,53555
80000,7,71344.0,10267,99.39,8656,71344
100000,7,89270.0,15138,123.75,10730,89270
200000,7,178582.0,42994,263.3,21418,178582
400000,7,357302.0,56386,330.71,42698,357302
600000,7,536416.0,57022,333.89,63584,536416
800000,7,715460.0,57430,335.93,84540,715460
1000000,7,894368.0,57877,338.16,105632,894368
2,8,2.0,2,0.1,0,2
3,8,3.0,2,0.1,0,3
100,8,87.0,64,2.75,13,87
200,8,170.0,125,5.39,30,170
2000,8,1763.0,777,17.75,237,1763
10000,8,8887.0,3273,54.62,1113,8887
20000,8,17769.0,7393,80.25,2231,17769
40000,8,35600.0,11526,124.32,4400,35600
60000,8,53450.0,16309,148.86,6550,53450
80000,8,71321.0,17467,155.01,8679,71321
100000,8,89263.0,17467,155.01,10737,89263
200000,8,178560.0,28203,217.6,21440,178560
400000,8,357738.0,42296,288.34,42262,357738
600000,8,536915.0,43583,294.77,63085,536915
800000,8,715883.0,48406,319.16,84117,715883
