Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.78,1.0,0.05500000000000082,0.22,1.78
3,2.68,1.4775,0.07775000000000064,0.32,2.68
100,88.3425,42.4175,1.9095500000000012,11.6575,88.3425
200,176.895,79.675,3.343225,23.105,176.895
2000,1787.9975,571.6525,12.429400000000017,212.0025,1787.9975
10000,8975.6925,2286.67,24.939849999999996,1024.3075,8975.6925
20000,17965.1325,4119.7225,35.58647499999999,2034.8675,17965.1325
40000,35950.41,7224.53,52.325250000000025,4049.59,35950.41
60000,53933.0725,9718.475,65.36087500000001,6066.9275,53933.0725
80000,71919.815,12084.73,77.65780000000002,8080.185,71919.815
100000,89907.18,14019.535,87.57309999999994,10092.82,89907.18
