Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,0,0.0,0,2
3,1,3.0,0,0.0,0,3
100,1,90.0,4,0.04,10,90
200,1,181.0,4,0.04,19,181
2000,1,1797.0,19,0.19,203,1797
10000,1,8970.0,52,0.52,1030,8970
20000,1,17980.0,90,0.9,2020,17980
40000,1,36015.0,180,1.8,3985,36015
60000,1,53990.0,276,2.76,6010,53990
80000,1,71944.0,375,3.75,8056,71944
100000,1,89925.0,465,4.65,10075,89925
200000,1,179848.0,982,9.82,20152,179848
400000,1,359927.0,1987,19.87,40073,359927
600000,1,539720.0,3041,30.41,60280,539720
800000,1,719569.0,3996,39.96,80431,719569
1000000,1,899295.0,5030,50.3,100705,899295
2,2,2.0,0,0.0,0,2
3,2,3.0,0,0.0,0,3
100,2,91.0,0,0.0,9,91
200,2,178.0,0,0.0,22,178
2000,2,1804.0,206,2.06,196,1804
10000,2,9023.0,245,2.45,977,9023
20000,2,18031.0,300,3.0,1969,18031
40000,2,36089.0,391,3.91,3911,36089
60000,2,54132.0,493,4.93,5868,54132
80000,2,72142.0,584,5.84,7858,72142
100000,2,90152.0,688,6.88,9848,90152
200000,2,180177.0,1234,12.34,19823,180177
400000,2,360395.0,2209,22.09,39605,360395
600000,2,540193.0,3228,32.28,59807,540193
800000,2,720282.0,4225,42.25,79718,720282
1000000,2,900032.0,5229,52.29,99968,900032
2,3,2.0,0,0.0,0,2
3,3,3.0,0,0.0,0,3
100,3,87.0,0,0.0,13,87
200,3,178.0,13,0.13,22,178
2000,3,1796.0,22,0.22,204,1796
10000,3,8958.0,67,0.67,1042,8958
20000,3,17927.0,112,1.12,2073,17927
40000,3,35885.0,206,2.06,4115,35885
60000,3,53901.0,317,3.17,6099,53901
80000,3,71827.0,420,4.2,8173,71827
100000,3,89799.0,510,5.1,10201,89799
200000,3,179776.0,1018,10.18,20224,179776
400000,3,359925.0,2049,20.49,40075,359925
600000,3,539848.0,3056,30.56,60152,539848
800000,3,719971.0,4039,40.39,80029,719971
1000000,3,899935.0,5030,50.3,100065,899935
2,4,2.0,0,0.0,0,2
3,4,3.0,0,0.0,0,3
100,4,90.0,0,0.0,10,90
200,4,185.0,0,0.0,15,185
2000,4,1838.0,39,0.39,162,1838
10000,4,9078.0,75,0.75,922,9078
20000,4,18044.0,130,1.3,1956,18044
40000,4,36050.0,232,2.32,3950,36050
60000,4,54066.0,355,3.55,5934,54066
80000,4,72063.0,474,4.74,7937,72063
100000,4,90009.0,578,5.78,9991,90009
200000,4,180008.0,1055,10.55,19992,180008
400000,4,359920.0,2052,20.52,40080,359920
600000,4,539717.0,3090,30.9,60283,539717
800000,4,719716.0,4123,41.23,80284,719716
1000000,4,899584.0,5117,51.17,100416,899584
2,5,2.0,0,0.0,0,2
3,5,3.0,0,0.0,0,3
100,5,89.0,0,0.0,11,89
200,5,177.0,5,0.05,23,177
2000,5,1809.0,126,1.26,191,1809
10000,5,9017.0,162,1.62,983,9017
20000,5,18016.0,212,2.12,1984,18016
40000,5,35994.0,323,3.23,4006,35994
60000,5,53974.0,428,4.28,6026,53974
80000,5,71938.0,524,5.24,8062,71938
100000,5,89897.0,640,6.4,10103,89897
200000,5,179922.0,1118,11.18,20078,179922
400000,5,359931.0,2091,20.91,40069,359931
600000,5,539945.0,3061,30.61,60055,539945
800000,5,719805.0,4084,40.84,80195,719805
1000000,5,899619.0,5070,50.7,100381,899619
2,6,2.0,0,0.0,0,2
3,6,2.0,0,0.0,1,2
100,6,84.0,51,0.51,16,84
200,6,177.0,151,1.51,23,177
2000,6,1769.0,1936,19.36,231,1769
10000,6,8928.0,9903,99.03,1072,8928
20000,6,17831.0,19850,198.5,2169,17831
40000,6,35660.0,39744,397.44,4340,35660
