Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.8,1.88,0.01880000000000001,0.2,1.8
3,2.75,2.83,0.028299999999999964,0.25,2.75
100,89.6,75.24,0.7524000000000001,10.4,89.6
200,178.34,141.8,1.4180000000000004,21.66,178.34
2000,1788.16,1073.16,10.731599999999993,211.84,1788.16
10000,8958.66,3905.47,39.05470000000001,1041.34,8958.66
20000,17941.53,5606.02,56.060199999999995,2058.47,17941.53
40000,35928.56,7352.62,73.52619999999999,4071.44,35928.56
60000,53921.19,8616.72,86.16719999999998,6078.81,53921.19
80000,71901.2,9779.09,97.79089999999998,8098.8,71901.2
100000,89890.75,10703.32,107.03319999999998,10109.25,89890.75
200000,179872.68,13523.31,135.23309999999998,20127.32,179872.68
400000,359829.14,18507.51,185.07510000000005,40170.86,359829.14
600000,539761.93,23501.43,235.01430000000016,60238.07,539761.93
800000,719714.05,28501.29,285.01289999999995,80285.95,719714.05
1000000,899659.22,33495.94,334.9594,100340.78,899659.22
