Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.69,1.53,0.06120000000000004,0.31,1.69
3,2.55,2.3,0.092,0.45,2.55
100,86.3,63.27,2.5308000000000006,13.7,86.3
200,173.16,120.06,4.802399999999999,26.84,173.16
2000,1743.43,846.99,33.879599999999996,256.57,1743.43
10000,8754.46,3530.63,141.22519999999997,1245.54,8754.46
20000,17518.24,6867.29,274.6916,2481.76,17518.24
40000,35043.99,13548.45,541.9379999999998,4956.01,35043.99
60000,52572.04,20219.39,808.7755999999995,7427.96,52572.04
80000,70104.37,26888.39,1075.5356,9895.63,70104.37
100000,87641.01,33549.12,1341.9647999999995,12358.99,87641.01
200000,175301.69,66880.0,2675.1999999999994,24698.31,175301.69
400000,350614.64,133532.99,5341.319600000001,49385.36,350614.64
600000,525956.54,200188.41,8007.536399999995,74043.46,525956.54
800000,701326.13,266873.35,10674.934000000001,98673.87,701326.13
1000000,876658.92,333510.89,13340.435599999995,123341.08,876658.92
