Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,2,0.01,1,1
3,1,2.0,3,0.02,1,2
100,1,88.0,53,0.39,12,88
200,1,181.0,86,0.64,19,181
2000,1,1790.0,707,5.28,210,1790
10000,1,8954.0,3423,25.64,1046,8954
20000,1,17960.0,6787,50.74,2040,17960
40000,1,35872.0,13408,100.36,4128,35872
60000,1,53853.0,20043,150.42,6147,53853
80000,1,71861.0,26655,199.7,8139,71861
100000,1,89825.0,33310,249.73,10175,89825
200000,1,179708.0,66733,500.81,20292,179708
400000,1,359160.0,133533,1001.73,40840,359160
600000,1,538640.0,199988,1499.26,61360,538640
800000,1,718093.0,267043,2001.44,81907,718093
1000000,1,897840.0,333664,2501.67,102160,897840
2,2,0.0,1,0.01,2,0
3,2,1.0,2,0.02,2,1
100,2,90.0,82,0.54,10,90
200,2,177.0,173,1.12,23,177
2000,2,1778.0,1608,9.77,222,1778
10000,2,8970.0,5430,35.51,1030,8970
20000,2,17928.0,8767,60.46,2072,17928
40000,2,35909.0,15365,109.91,4091,35909
60000,2,53876.0,22077,160.14,6124,53876
80000,2,71843.0,28786,210.29,8157,71843
100000,2,89788.0,35443,260.13,10212,89788
200000,2,179389.0,68873,510.75,20611,179389
400000,2,358772.0,135583,1010.87,41228,358772
600000,2,538294.0,202343,1511.46,61706,538294
800000,2,717886.0,268983,2010.31,82114,717886
1000000,2,897304.0,335715,2509.83,102696,897304
2,3,2.0,2,0.01,0,2
3,3,3.0,3,0.02,0,3
100,3,86.0,90,0.53,14,86
200,3,169.0,175,1.04,31,169
2000,3,1765.0,1667,10.51,235,1765
10000,3,8928.0,7086,57.01,1072,8928
20000,3,17846.0,15390,131.52,2154,17846
40000,3,35750.0,24273,203.97,4250,35750
60000,3,53682.0,31024,254.68,6318,53682
80000,3,71606.0,37805,305.51,8394,71606
100000,3,89594.0,44386,354.93,10406,89594
200000,3,179301.0,77771,605.0,20699,179301
400000,3,358947.0,144910,1108.65,41053,358947
600000,3,538385.0,211788,1610.68,61615,538385
800000,3,718083.0,278763,2113.23,81917,718083
1000000,3,897436.0,345509,2614.08,102564,897436
2,4,0.0,2,0.01,2,0
3,4,1.0,3,0.02,2,1
100,4,87.0,77,0.65,13,87
200,4,183.0,161,1.39,17,183
2000,4,1798.0,1306,11.42,202,1798
10000,4,8944.0,6064,46.24,1056,8944
20000,4,17936.0,12112,90.47,2064,17936
40000,4,35896.0,18724,139.92,4104,35896
60000,4,53839.0,25362,189.7,6161,53839
80000,4,71855.0,32006,239.68,8145,71855
100000,4,89823.0,38778,290.81,10177,89823
200000,4,179622.0,72327,542.13,20378,179622
400000,4,359191.0,139081,1041.81,40809,359191
600000,4,538676.0,205801,1541.85,61324,538676
800000,4,718070.0,272038,2038.65,81930,718070
1000000,4,897615.0,338653,2538.56,102385,897615
2,5,2.0,2,0.01,0,2
3,5,3.0,3,0.02,0,3
100,5,88.0,76,0.63,12,88
200,5,182.0,159,1.36,18,182
2000,5,1816.0,1291,10.24,184,1816
10000,5,8977.0,4222,31.12,1023,8977
20000,5,17934.0,7589,56.16,2066,17934
40000,5,35912.0,14378,106.85,4088,35912
60000,5,53909.0,21007,156.47,6091,53909
80000,5,71812.0,27605,205.61,8188,71812
100000,5,89820.0,34343,256.26,10180,89820
200000,5,179679.0,67635,506.21,20321,179679
400000,5,359085.0,134270,1005.67,40915,359085
600000,5,538804.0,200695,1504.51,61196,538804
800000,5,718258.0,267262,2003.17,81742,718258
1000000,5,897595.0,333881,2502.91,102405,897595
2,6,1.0,2,0.02,1,1
3,6,2.0,3,0.02,1,2
100,6,82.0,70,0.51,18,82
200,6,168.0,147,0.97,32,168
2000,6,1759.0,1678,10.83,241,1759
10000,6,8885.0,8180,50.41,1115,8885
20000,6,17796.0,14732,91.37,2204,17796
40000,6,35822.0,21562,142.62,4178,35822
60000,6,53856.0,28396,193.75,6144,53856
80000,6,71772.0,35056,243.99,8228,71772
100000,6,89777.0,41821,294.56,10223,89777
200000,6,179345.0,75163,545.21,20655,179345
400000,6,359119.0,141622,1042.57,40881,359119
600000,6,538411.0,208388,1543.49,61589,538411
800000,6,717693.0,275138,2043.11,82307,717693
1000000,6,896924.0,342083,2546.01,103076,896924
2,7,2.0,0,0.0,0,2
3,7,3.0,1,0.01,0,3
100,7,92.0,68,0.47,8,92
200,7,181.0,149,0.94,19,181
2000,7,1799.0,1179,7.45,201,1799
10000,7,8952.0,4010,28.5,1048,8952
20000,7,17932.0,7330,53.54,2068,17932
40000,7,35878.0,14116,104.6,4122,35878
60000,7,53797.0,20790,154.88,6203,53797
80000,7,71871.0,27472,204.98,8129,71871
100000,7,89696.0,34154,255.06,10304,89696
200000,7,179466.0,67545,505.99,20534,179466
400000,7,358995.0,134149,1004.75,41005,358995
600000,7,538454.0,200468,1502.4,61546,538454
800000,7,718091.0,267094,2002.53,81909,718091
1000000,7,897483.0,333673,2501.48,102517,897483
2,8,2.0,2,0.02,0,2
3,8,3.0,3,0.03,0,3
100,8,90.0,57,0.38,10,90
200,8,184.0,88,0.62,16,184
2000,8,1793.0,1451,9.11,207,1793
10000,8,8968.0,5467,36.01,1032,8968
20000,8,17927.0,8769,60.98,2073,17927
40000,8,35817.0,15418,110.89,4183,35817
60000,8,53755.0,22064,160.64,6245,53755
80000,8,71708.0,28702,210.36,8292,71708
100000,8,89671.0,35369,260.44,10329,89671
200000,8,179251.0,68737,510.77,20749,179251
400000,8,358781.0,135608,1012.64,41219,358781
600000,8,538280.0,202351,1512.85,61720,538280
800000,8,717878.0,269364,2014.96,82122,717878
1000000,8,897414.0,336266,2517.11,102586,897414
2,9,2.0,0,0.0,0,2
3,9,3.0,1,0.01,0,3
100,9,92.0,82,0.53,8,92
200,9,180.0,157,0.99,20,180
2000,9,1803.0,1304,8.18,197,1803
10000,9,8912.0,6501,51.37,1088,8912
20000,9,17889.0,9781,76.15,2111,17889
40000,9,35850.0,16422,126.17,4150,35850
60000,9,53776.0,23118,176.98,6224,53776
80000,9,71641.0,29813,227.04,8359,71641
100000,9,89593.0,36521,277.38,10407,89593
200000,9,179417.0,69802,527.59,20583,179417
400000,9,358990.0,136837,1031.11,41010,358990
600000,9,538610.0,203598,1531.62,61390,538610
800000,9,718031.0,270058,2029.75,81969,718031
1000000,9,897445.0,336803,2531.26,102555,897445
2,10,2.0,1,0.01,0,2
3,10,3.0,2,0.01,0,3
100,10,91.0,85,0.59,9,91
200,10,178.0,168,1.32,22,178
2000,10,1770.0,1675,14.67,230,1770
10000,10,8854.0,6026,50.1,1146,8854
20000,10,17801.0,9372,75.03,2199,17801
40000,10,35836.0,16155,125.8,4164,35836
60000,10,53745.0,22784,175.43,6255,53745
80000,10,71657.0,29420,225.21,8343,71657
100000,10,89606.0,36069,275.58,10394,89606
200000,10,179346.0,69522,527.22,20654,179346
400000,10,358667.0,136395,1028.98,41333,358667
600000,10,538177.0,203064,1528.35,61823,538177
800000,10,717592.0,269660,2027.19,82408,717592
1000000,10,897056.0,336333,2527.21,102944,897056
2,11,2.0,2,0.01,0,2
3,11,3.0,3,0.02,0,3
100,11,90.0,82,0.72,10,90
200,11,180.0,165,1.48,20,180
2000,11,1787.0,1214,10.36,213,1787
10000,11,8964.0,6763,46.91,1036,8964
20000,11,17976.0,10085,71.82,2024,17976
40000,11,35969.0,16800,122.04,4031,35969
60000,11,53899.0,23443,171.92,6101,53899
80000,11,71808.0,30072,221.94,8192,71808
100000,11,89739.0,36840,272.7,10261,89739
200000,11,179326.0,70282,523.41,20674,179326
400000,11,358931.0,137007,1024.75,41069,358931
600000,11,538169.0,203762,1526.09,61831,538169
800000,11,717768.0,270580,2027.05,82232,717768
1000000,11,897258.0,337008,2525.55,102742,897258
2,12,2.0,0,0.0,0,2
3,12,2.0,0,0.0,1,2
100,12,95.0,81,0.52,5,95
200,12,181.0,161,0.99,19,181
2000,12,1791.0,1570,9.57,209,1791
10000,12,8975.0,8263,49.59,1025,8975
20000,12,17932.0,14193,87.66,2068,17932
40000,12,35933.0,28309,174.8,4067,35933
60000,12,53838.0,36608,233.08,6162,53838
80000,12,71791.0,43260,282.91,8209,71791
100000,12,89691.0,49923,332.82,10309,89691
200000,12,179413.0,83412,584.43,20587,179413
400000,12,359198.0,149907,1082.57,40802,359198
600000,12,538811.0,216574,1582.91,61189,538811
800000,12,718268.0,283457,2084.19,81732,718268
1000000,12,898090.0,350305,2586.07,101910,898090
2,13,2.0,2,0.01,0,2
3,13,3.0,2,0.01,0,3
100,13,93.0,79,0.69,7,93
200,13,185.0,150,1.24,15,185
2000,13,1816.0,941,6.94,184,1816
10000,13,8989.0,3689,27.44,1011,8989
20000,13,17934.0,7043,52.4,2066,17934
40000,13,35912.0,13701,102.23,4088,35912
60000,13,53917.0,20370,152.34,6083,53917
80000,13,71819.0,26980,202.14,8181,71819
100000,13,89774.0,33645,252.03,10226,89774
200000,13,179715.0,67135,503.38,20285,179715
400000,13,359111.0,133937,1003.07,40889,359111
600000,13,538497.0,200676,1502.67,61503,538497
800000,13,717855.0,267239,2001.78,82145,717855
1000000,13,897476.0,334204,2504.36,102524,897476
2,14,2.0,2,0.01,0,2
3,14,3.0,3,0.02,0,3
100,14,87.0,71,0.5,13,87
200,14,182.0,107,0.77,18,182
2000,14,1797.0,975,6.7,203,1797
10000,14,8960.0,5753,37.56,1040,8960
20000,14,17876.0,13094,82.71,2124,17876
40000,14,35882.0,29769,182.71,4118,35882
60000,14,53780.0,42785,264.3,6220,53780
80000,14,71706.0,49434,313.89,8294,71706
100000,14,89699.0,56124,364.34,10301,89699
200000,14,179354.0,89415,613.94,20646,179354
400000,14,359002.0,155657,1110.55,40998,359002
600000,14,538390.0,222243,1610.38,61610,538390
800000,14,718135.0,289070,2112.07,81865,718135
1000000,14,897573.0,355279,2609.08,102427,897573
2,15,2.0,2,0.01,0,2
3,15,3.0,3,0.02,0,3
100,15,93.0,76,0.47,7,93
200,15,185.0,155,0.96,15,185
2000,15,1794.0,1628,9.77,206,1794
10000,15,9013.0,8359,50.32,987,9013
20000,15,18004.0,16740,100.43,1996,18004
40000,15,35954.0,27443,170.8,4046,35954
60000,15,53885.0,34180,221.0,6115,53885
80000,15,71890.0,40789,270.32,8110,71890
100000,15,89823.0,47437,320.22,10177,89823
200000,15,179719.0,80676,568.83,20281,179719
400000,15,359093.0,147768,1071.23,40907,359093
