Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.86,1.86,0.018600000000000012,0.14,1.86
3,2.74,2.78,0.027799999999999964,0.26,2.74
100,88.81,70.7,0.7070000000000001,11.19,88.81
200,177.69,136.06,1.3606000000000003,22.31,177.69
2000,1787.75,1120.93,11.2093,212.25,1787.75
10000,8956.35,3989.4,39.89399999999999,1043.65,8956.35
20000,17930.49,6296.65,62.96649999999999,2069.51,17930.49
40000,35896.78,9597.6,95.97600000000003,4103.22,35896.78
60000,53878.78,11733.57,117.33570000000005,6121.22,53878.78
80000,71856.06,13662.66,136.6266,8143.94,71856.06
100000,89841.37,15355.09,153.55089999999998,10158.63,89841.37
200000,179774.95,22419.36,224.19360000000012,20225.05,179774.95
400000,359639.68,35764.91,357.6491,40360.32,359639.68
600000,539517.89,49101.18,491.01180000000005,60482.11,539517.89
800000,719380.52,62438.13,624.3813000000002,80619.48,719380.52
1000000,899255.54,75752.6,757.5260000000001,100744.46,899255.54
