Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.574,0.826,0.04280000000000027,0.426,1.574
3,2.41,1.232,0.06420000000000006,0.59,2.41
100,80.624,37.386,1.5977999999999977,19.376,80.624
200,161.346,69.194,2.5940799999999964,38.654,161.346
2000,1631.86,541.442,9.261960000000014,368.14,1631.86
10000,8174.0,2397.076,26.169479999999997,1826.0,8174.0
20000,16351.92,4553.668,46.42662000000003,3648.08,16351.92
40000,32714.384,8308.042,84.14902000000012,7285.616,32714.384
60000,49078.876,11477.618,119.05837999999996,10921.124,49078.876
80000,65446.032,14258.302,151.93885999999992,14553.968,65446.032
100000,81814.77,16674.428,182.9776600000002,18185.23,81814.77
