Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,0,0.0,0,2
3,1,3.0,0,0.0,0,3
100,1,89.0,0,0.0,11,89
200,1,180.0,36,0.18,20,180
2000,1,1798.0,60,0.3,202,1798
10000,1,8945.0,85,0.43,1055,8945
20000,1,17908.0,113,0.57,2092,17908
40000,1,35801.0,177,0.89,4199,35801
60000,1,53731.0,230,1.15,6269,53731
80000,1,71614.0,296,1.48,8386,71614
100000,1,89518.0,859,4.29,10482,89518
200000,1,178912.0,8569,42.85,21088,178912
400000,1,357977.0,13947,69.74,42023,357977
600000,1,537210.0,14823,74.12,62790,537210
800000,1,716202.0,18541,92.7,83798,716202
1000000,1,894970.0,19366,96.83,105030,894970
2,2,2.0,0,0.0,0,2
3,2,3.0,0,0.0,0,3
100,2,94.0,0,0.0,6,94
200,2,186.0,0,0.0,14,186
2000,2,1793.0,80,0.4,207,1793
10000,2,8875.0,108,0.54,1125,8875
20000,2,17813.0,163,0.82,2187,17813
40000,2,35756.0,228,1.14,4244,35756
60000,2,53655.0,288,1.44,6345,53655
80000,2,71524.0,354,1.77,8476,71524
100000,2,89420.0,426,2.13,10580,89420
200000,2,178798.0,762,3.81,21202,178798
400000,2,357784.0,1421,7.1,42216,357784
600000,2,536665.0,2080,10.4,63335,536665
800000,2,715919.0,2709,13.55,84081,715919
1000000,2,894748.0,3405,17.03,105252,894748
2,3,2.0,0,0.0,0,2
3,3,3.0,0,0.0,0,3
100,3,91.0,37,0.19,9,91
200,3,180.0,123,0.62,20,180
2000,3,1758.0,1698,8.49,242,1758
10000,3,8876.0,9683,48.42,1124,8876
20000,3,17765.0,19660,98.3,2235,17765
40000,3,35621.0,39619,198.09,4379,35621
60000,3,53400.0,59587,297.93,6600,53400
80000,3,71255.0,79539,397.69,8745,71255
100000,3,89034.0,99511,497.55,10966,89034
200000,3,178029.0,199358,996.79,21971,178029
400000,3,356206.0,399029,1995.15,43794,356206
600000,3,534380.0,598693,2993.47,65620,534380
800000,3,712693.0,726408,3632.04,87307,712693
1000000,3,891494.0,727085,3635.43,108506,891494
2,4,2.0,0,0.0,0,2
3,4,3.0,0,0.0,0,3
100,4,88.0,0,0.0,12,88
200,4,168.0,1,0.01,32,168
2000,4,1785.0,54,0.27,215,1785
10000,4,8924.0,229,1.14,1076,8924
20000,4,17858.0,260,1.3,2142,17858
40000,4,35852.0,568,2.84,4148,35852
60000,4,53825.0,786,3.93,6175,53825
80000,4,71726.0,893,4.46,8274,71726
100000,4,89653.0,946,4.73,10347,89653
200000,4,179211.0,1310,6.55,20789,179211
400000,4,358076.0,2271,11.36,41924,358076
600000,4,537185.0,3005,15.03,62815,537185
800000,4,716114.0,3700,18.5,83886,716114
1000000,4,894864.0,4310,21.55,105136,894864
2,5,2.0,0,0.0,0,2
3,5,3.0,0,0.0,0,3
100,5,89.0,0,0.0,11,89
200,5,175.0,0,0.0,25,175
2000,5,1787.0,78,0.39,213,1787
10000,5,8936.0,1158,5.79,1064,8936
20000,5,17873.0,1191,5.95,2127,17873
40000,5,35813.0,1250,6.25,4187,35813
60000,5,53651.0,1318,6.59,6349,53651
80000,5,71462.0,1377,6.88,8538,71462
100000,5,89340.0,1444,7.22,10660,89340
200000,5,178883.0,1778,8.89,21117,178883
400000,5,358097.0,2818,14.09,41903,358097
600000,5,536953.0,3461,17.31,63047,536953
800000,5,716031.0,4158,20.79,83969,716031
1000000,5,894927.0,4809,24.04,105073,894927
2,6,2.0,0,0.0,0,2
3,6,3.0,0,0.0,0,3
100,6,93.0,0,0.0,7,93
200,6,175.0,0,0.0,25,175
2000,6,1798.0,126,0.63,202,1798
10000,6,8947.0,631,3.15,1053,8947
20000,6,17911.0,672,3.36,2089,17911
40000,6,35781.0,744,3.72,4219,35781
