Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1.0,1.0,1.0,0.01,1.0,1.0
3,1.0,1.0,1.0,0.01,2.0,1.0
100,1.0,53.0,26.0,0.135,47.0,53.0
200,1.0,95.0,45.5,0.23,105.0,95.0
2000,1.0,1002.5,483.0,2.415,997.5,1002.5
10000,1.0,4931.5,2732.5,13.665000000000001,5068.5,4931.5
20000,1.0,9958.5,6168.0,30.845,10041.5,9958.5
40000,1.0,19884.5,11468.0,57.34,20115.5,19884.5
60000,1.0,29811.0,17981.0,89.905,30189.0,29811.0
80000,1.0,39850.5,21763.5,108.82,40149.5,39850.5
100000,1.0,49801.0,23558.0,117.78999999999999,50199.0,49801.0
2,2.0,1.0,1.0,0.01,1.0,1.0
3,2.0,1.5,1.0,0.01,1.5,1.5
100,2.0,50.5,21.0,0.11,49.5,50.5
200,2.0,96.0,40.5,0.20500000000000002,104.0,96.0
2000,2.0,986.5,559.0,2.795,1013.5,986.5
10000,2.0,4969.5,2706.5,13.535,5030.5,4969.5
20000,2.0,9948.0,4481.5,22.41,10052.0,9948.0
40000,2.0,19969.5,6110.5,30.555,20030.5,19969.5
60000,2.0,30041.5,8889.0,44.445,29958.5,30041.5
80000,2.0,39985.5,11134.5,55.675000000000004,40014.5,39985.5
100000,2.0,49969.5,12448.0,62.24,50030.5,49969.5
2,3.0,0.5,1.0,0.01,1.5,0.5
3,3.0,1.0,1.5,0.01,2.0,1.0
100,3.0,46.0,26.0,0.135,54.0,46.0
200,3.0,96.0,45.5,0.22999999999999998,104.0,96.0
2000,3.0,1008.5,571.5,2.8600000000000003,991.5,1008.5
10000,3.0,5012.0,2877.5,14.39,4988.0,5012.0
20000,3.0,9992.0,4464.0,22.325,10008.0,9992.0
40000,3.0,19986.0,7265.5,36.33,20014.0,19986.0
60000,3.0,30060.5,10635.5,53.18,29939.5,30060.5
80000,3.0,40118.5,14263.0,71.315,39881.5,40118.5
100000,3.0,50066.0,17701.5,88.51,49934.0,50066.0
2,4.0,0.5,1.0,0.01,1.5,0.5
3,4.0,1.0,1.5,0.01,2.0,1.0
100,4.0,54.5,74.5,0.375,45.5,54.5
200,4.0,101.0,149.0,0.75,99.0,101.0
2000,4.0,974.5,1441.5,7.21,1025.5,974.5
10000,4.0,4939.5,7947.0,39.735,5060.5,4939.5
20000,4.0,9936.0,17081.0,85.405,10064.0,9936.0
40000,4.0,19863.0,30709.5,153.54500000000002,20137.0,19863.0
60000,4.0,29785.5,43656.5,218.28,30214.5,29785.5
80000,4.0,39628.5,56359.0,281.79,40371.5,39628.5
100000,4.0,49542.0,68615.0,343.07,50458.0,49542.0
2,5.0,1.0,1.0,0.01,1.0,1.0
3,5.0,1.0,1.0,0.01,2.0,1.0
100,5.0,56.5,25.5,0.13,43.5,56.5
200,5.0,108.0,46.0,0.23500000000000001,92.0,108.0
2000,5.0,992.5,490.5,2.455,1007.5,992.5
10000,5.0,4971.5,3239.0,16.195,5028.5,4971.5
20000,5.0,9882.5,5315.0,26.58,10117.5,9882.5
40000,5.0,19910.0,6282.5,31.415,20090.0,19910.0
60000,5.0,29902.0,9539.0,47.695,30098.0,29902.0
80000,5.0,39851.5,9980.0,49.900000000000006,40148.5,39851.5
100000,5.0,49837.5,13441.5,67.21,50162.5,49837.5
2,6.0,0.5,1.0,0.01,1.5,0.5
3,6.0,1.0,1.5,0.01,2.0,1.0
100,6.0,46.5,71.5,0.36,53.5,46.5
200,6.0,93.5,139.5,0.7,106.5,93.5
2000,6.0,982.5,1385.5,6.93,1017.5,982.5
10000,6.0,4963.0,7636.0,38.18,5037.0,4963.0
20000,6.0,9969.0,14234.5,71.17,10031.0,9969.0
40000,6.0,19881.0,27945.5,139.725,20119.0,19881.0
60000,6.0,29877.5,40691.0,203.45,30122.5,29877.5
80000,6.0,39763.5,52483.0,262.41,40236.5,39763.5
100000,6.0,49626.0,66699.5,333.495,50374.0,49626.0
2,7.0,1.5,1.0,0.01,0.5,1.5
3,7.0,2.5,1.0,0.01,0.5,2.5
100,7.0,60.0,28.0,0.14500000000000002,40.0,60.0
200,7.0,112.5,54.5,0.275,87.5,112.5
2000,7.0,1010.5,532.0,2.6599999999999997,989.5,1010.5
10000,7.0,4987.5,2097.5,10.49,5012.5,4987.5
20000,7.0,10027.0,4361.0,21.81,9973.0,10027.0
40000,7.0,19900.5,8837.5,44.190000000000005,20099.5,19900.5
60000,7.0,29824.5,10521.0,52.605000000000004,30175.5,29824.5
80000,7.0,39827.5,11350.5,56.755,40172.5,39827.5
100000,7.0,49778.5,12694.0,63.470000000000006,50221.5,49778.5
2,8.0,1.0,1.0,0.01,1.0,1.0
3,8.0,1.5,1.0,0.01,1.5,1.5
100,8.0,48.0,27.0,0.14,52.0,48.0
200,8.0,95.5,51.0,0.26,104.5,95.5
2000,8.0,991.5,560.5,2.8049999999999997,1008.5,991.5
10000,8.0,4927.0,2536.5,12.685,5073.0,4927.0
20000,8.0,9936.5,5301.5,26.509999999999998,10063.5,9936.5
40000,8.0,19929.0,8217.0,41.085,20071.0,19929.0
60000,8.0,29909.5,10285.5,51.43,30090.5,29909.5
80000,8.0,39835.0,11355.5,56.78,40165.0,39835.0
100000,8.0,49804.0,11774.0,58.870000000000005,50196.0,49804.0
2,9.0,0.5,1.0,0.01,1.5,0.5
3,9.0,1.0,1.5,0.01,2.0,1.0
100,9.0,46.5,73.5,0.37,53.5,46.5
200,9.0,97.5,140.0,0.705,102.5,97.5
2000,9.0,995.5,1545.0,7.725,1004.5,995.5
10000,9.0,4964.0,8181.0,40.905,5036.0,4964.0
20000,9.0,9956.0,15453.0,77.265,10044.0,9956.0
40000,9.0,19902.0,29555.0,147.77,20098.0,19902.0
60000,9.0,29838.5,42134.0,210.66500000000002,30161.5,29838.5
80000,9.0,39692.5,53163.5,265.815,40307.5,39692.5
100000,9.0,49714.5,63885.5,319.425,50285.5,49714.5
2,10.0,0.5,1.0,0.01,1.5,0.5
3,10.0,0.5,1.5,0.01,2.5,0.5
100,10.0,45.0,74.0,0.37,55.0,45.0
200,10.0,94.5,144.5,0.725,105.5,94.5
2000,10.0,979.0,1438.0,7.1899999999999995,1021.0,979.0
10000,10.0,4935.5,6333.5,31.67,5064.5,4935.5
20000,10.0,9894.5,12891.5,64.455,10105.5,9894.5
40000,10.0,19792.5,27279.0,136.395,20207.5,19792.5
60000,10.0,29637.0,39132.0,195.66,30363.0,29637.0
80000,10.0,39530.0,49641.0,248.205,40470.0,39530.0
100000,10.0,49524.0,60152.5,300.76,50476.0,49524.0
2,11.0,1.5,1.0,0.01,0.5,1.5
3,11.0,2.0,1.5,0.01,1.0,2.0
100,11.0,51.5,72.5,0.365,48.5,51.5
200,11.0,104.5,144.0,0.725,95.5,104.5
2000,11.0,977.5,1446.5,7.234999999999999,1022.5,977.5
10000,11.0,4962.5,7073.0,35.37,5037.5,4962.5
20000,11.0,9969.5,13300.5,66.5,10030.5,9969.5
40000,11.0,19972.5,27023.5,135.115,20027.5,19972.5
60000,11.0,29889.0,39132.5,195.66,30111.0,29889.0
80000,11.0,39853.0,51642.5,258.21000000000004,40147.0,39853.0
100000,11.0,49752.0,63429.5,317.145,50248.0,49752.0
2,12.0,0.5,1.0,0.01,1.5,0.5
3,12.0,0.5,1.0,0.01,2.5,0.5
100,12.0,50.5,23.0,0.12,49.5,50.5
200,12.0,98.5,47.0,0.24000000000000002,101.5,98.5
2000,12.0,978.0,447.5,2.2399999999999998,1022.0,978.0
10000,12.0,5020.5,2722.0,13.61,4979.5,5020.5
20000,12.0,9963.0,5195.5,25.98,10037.0,9963.0
40000,12.0,19947.0,10262.0,51.309999999999995,20053.0,19947.0
60000,12.0,29944.5,15258.5,76.295,30055.5,29944.5
80000,12.0,39917.5,19740.5,98.705,40082.5,39917.5
100000,12.0,49800.0,23455.0,117.275,50200.0,49800.0
2,13.0,1.0,1.0,0.01,1.0,1.0
3,13.0,2.0,2.0,0.01,1.0,2.0
100,13.0,52.0,78.0,0.395,48.0,52.0
200,13.0,103.0,154.5,0.775,97.0,103.0
2000,13.0,1021.5,1596.0,7.98,978.5,1021.5
10000,13.0,4985.0,7099.5,35.5,5015.0,4985.0
