Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1.0,1.5,1.0,0.01,0.5,1.5
3,1.0,2.5,2.0,0.01,0.5,2.5
100,1.0,56.0,75.5,0.38,44.0,56.0
200,1.0,110.5,150.0,0.755,89.5,110.5
2000,1.0,956.0,1544.5,7.725,1044.0,956.0
10000,1.0,4990.0,7520.5,37.605000000000004,5010.0,4990.0
20000,1.0,9903.5,14892.5,74.46,10096.5,9903.5
40000,1.0,19897.5,26057.0,130.285,20102.5,19897.5
60000,1.0,29771.0,38942.0,194.705,30229.0,29771.0
80000,1.0,39730.5,53436.0,267.175,40269.5,39730.5
100000,1.0,49717.0,69371.0,346.85,50283.0,49717.0
2,2.0,2.0,1.0,0.01,0.0,2.0
3,2.0,2.5,2.0,0.01,0.5,2.5
100,2.0,51.5,26.5,0.135,48.5,51.5
200,2.0,99.0,49.0,0.25,101.0,99.0
2000,2.0,989.0,574.5,2.875,1011.0,989.0
10000,2.0,4969.0,2835.0,14.174999999999999,5031.0,4969.0
20000,2.0,9900.5,5720.5,28.605,10099.5,9900.5
40000,2.0,19762.5,9799.5,49.0,20237.5,19762.5
60000,2.0,29734.0,10310.5,51.555,30266.0,29734.0
80000,2.0,39750.5,10500.5,52.504999999999995,40249.5,39750.5
100000,2.0,49677.5,11362.0,56.809999999999995,50322.5,49677.5
2,3.0,1.0,1.0,0.01,1.0,1.0
3,3.0,1.5,1.0,0.01,1.5,1.5
100,3.0,47.5,29.5,0.15,52.5,47.5
200,3.0,98.5,59.0,0.3,101.5,98.5
2000,3.0,974.0,696.5,3.485,1026.0,974.0
10000,3.0,4950.5,2052.5,10.265,5049.5,4950.5
20000,3.0,9953.0,3180.0,15.9,10047.0,9953.0
40000,3.0,19936.5,7000.0,35.005,20063.5,19936.5
60000,3.0,29885.5,9575.5,47.88,30114.5,29885.5
80000,3.0,39910.0,10584.5,52.925000000000004,40090.0,39910.0
100000,3.0,49965.0,10924.5,54.625,50035.0,49965.0
2,4.0,0.5,1.0,0.01,1.5,0.5
3,4.0,1.5,2.0,0.01,1.5,1.5
100,4.0,44.5,29.5,0.15000000000000002,55.5,44.5
200,4.0,100.5,61.5,0.31,99.5,100.5
2000,4.0,1017.0,496.0,2.48,983.0,1017.0
10000,4.0,4965.0,2183.0,10.915000000000001,5035.0,4965.0
20000,4.0,9914.0,3950.0,19.755,10086.0,9914.0
40000,4.0,19826.5,7325.5,36.63,20173.5,19826.5
60000,4.0,29806.0,10399.5,52.0,30194.0,29806.0
80000,4.0,39769.0,14146.0,70.73,40231.0,39769.0
100000,4.0,49789.0,14220.5,71.105,50211.0,49789.0
2,5.0,1.0,1.0,0.01,1.0,1.0
3,5.0,2.0,2.0,0.01,1.0,2.0
100,5.0,45.5,76.5,0.385,54.5,45.5
200,5.0,92.0,153.0,0.77,108.0,92.0
2000,5.0,974.0,1511.0,7.555,1026.0,974.0
10000,5.0,4903.0,7182.5,35.915,5097.0,4903.0
20000,5.0,9869.0,15590.5,77.94999999999999,10131.0,9869.0
40000,5.0,19717.5,29450.0,147.245,20282.5,19717.5
60000,5.0,29622.5,45047.0,225.23000000000002,30377.5,29622.5
80000,5.0,39533.5,59484.0,297.415,40466.5,39533.5
100000,5.0,49442.5,73525.5,367.625,50557.5,49442.5
2,6.0,0.5,1.0,0.01,1.5,0.5
3,6.0,0.5,2.0,0.01,2.5,0.5
100,6.0,51.0,71.5,0.36,49.0,51.0
200,6.0,104.5,143.5,0.72,95.5,104.5
2000,6.0,985.0,1457.0,7.285,1015.0,985.0
10000,6.0,4980.5,7077.0,35.39,5019.5,4980.5
20000,6.0,9946.0,14324.0,71.62,10054.0,9946.0
40000,6.0,19891.0,28231.0,141.15,20109.0,19891.0
60000,6.0,29782.0,39828.0,199.135,30218.0,29782.0
80000,6.0,39771.0,52105.0,260.52,40229.0,39771.0
100000,6.0,49690.5,64171.0,320.85,50309.5,49690.5
2,7.0,1.0,1.0,0.01,1.0,1.0
3,7.0,1.0,2.0,0.01,2.0,1.0
100,7.0,54.5,28.5,0.14500000000000002,45.5,54.5
200,7.0,108.5,57.5,0.29,91.5,108.5
2000,7.0,1005.5,499.0,2.495,994.5,1005.5
10000,7.0,5018.0,2776.0,13.88,4982.0,5018.0
20000,7.0,10023.0,3748.0,18.74,9977.0,10023.0
40000,7.0,20028.0,7304.0,36.52,19972.0,20028.0
60000,7.0,30071.5,13106.5,65.53,29928.5,30071.5
80000,7.0,40084.5,17179.5,85.895,39915.5,40084.5
100000,7.0,50136.0,18938.0,94.69,49864.0,50136.0
2,8.0,1.0,1.0,0.01,1.0,1.0
3,8.0,1.5,2.0,0.01,1.5,1.5
100,8.0,55.5,75.0,0.375,44.5,55.5
200,8.0,103.5,145.5,0.73,96.5,103.5
