Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.77,1.0,0.010000000000000007,0.23,1.77
3,2.69,1.9,0.010000000000000007,0.31,2.69
100,89.68,49.87,0.251,10.32,89.68
200,179.21,99.9,0.5022999999999999,20.79,179.21
2000,1786.57,963.32,4.813799999999999,213.43,1786.57
10000,8928.85,4378.92,21.894199999999987,1071.15,8928.85
20000,17858.05,7973.52,39.8683,2141.95,17858.05
40000,35729.73,14545.82,72.73039999999999,4270.27,35729.73
60000,53613.86,19983.27,99.91469999999995,6386.14,53613.86
80000,71497.27,24394.34,121.9694,8502.73,71497.27
100000,89379.06,28416.42,142.0798,10620.94,89379.06
200000,178785.74,44351.9,221.75730000000004,21214.26,178785.74
400000,357712.99,60440.1,302.19839999999994,42287.01,357712.99
600000,536638.67,71218.97,356.0926000000001,63361.33,536638.67
800000,715593.82,80521.59,402.6054999999999,84406.18,715593.82
1000000,894566.27,86909.85,434.54639999999984,105433.73,894566.27
