Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.75,1.0,0.010000000000000007,0.25,1.75
3,2.6,2.0,0.0599999999999999,0.4,2.6
100,87.69,66.42,1.985799999999999,12.31,87.69
200,175.51,132.17,3.9129,24.49,175.51
2000,1767.42,1205.05,32.34290000000001,232.58,1767.42
10000,8897.43,4815.62,101.42379999999999,1102.57,8897.43
20000,17852.59,7978.51,148.2015,2147.41,17852.59
40000,35785.68,12225.33,203.95569999999992,4214.32,35785.68
60000,53745.34,15209.33,240.02810000000002,6254.66,53745.34
80000,71719.55,17328.12,264.4520000000001,8280.45,71719.55
100000,89707.26,18858.96,282.1003999999999,10292.74,89707.26
200000,179651.69,23998.86,340.16540000000003,20348.31,179651.69
400000,359616.79,28375.11,388.6515000000002,40383.21,359616.79
600000,539577.53,30663.43,413.39789999999977,60422.47,539577.53
800000,719554.55,32189.67,429.44710000000026,80445.45,719554.55
1000000,899522.46,33497.15,443.44870000000026,100477.54,899522.46
