Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,2,0.05,0,2
3,1,3.0,2,0.05,0,3
100,1,83.0,66,1.61,17,83
200,1,174.0,132,3.3,26,174
2000,1,1788.0,1191,19.32,212,1788
10000,1,8895.0,5953,78.52,1105,8895
20000,1,17803.0,10534,130.11,2197,17803
40000,1,35680.0,16132,168.58,4320,35680
60000,1,53623.0,24815,218.79,6377,53623
80000,1,71491.0,29256,244.28,8509,71491
100000,1,89283.0,35658,283.37,10717,89283
200000,1,178602.0,53874,400.33,21398,178602
400000,1,357569.0,69417,479.56,42431,357569
600000,1,536594.0,71798,492.71,63406,536594
800000,1,715326.0,100709,637.38,84674,715326
1000000,1,894328.0,103951,653.71,105672,894328
2,2,2.0,2,0.05,0,2
3,2,2.0,2,0.05,1,2
100,2,81.0,68,1.66,19,81
200,2,170.0,137,3.24,30,170
2000,2,1751.0,1392,28.2,249,1751
10000,2,8835.0,6320,92.52,1165,8835
20000,2,17716.0,11721,143.72,2284,17716
40000,2,35501.0,17271,198.35,4499,35501
60000,2,53427.0,18414,210.03,6573,53427
80000,2,71272.0,29421,274.22,8728,71272
100000,2,89198.0,34086,298.03,10802,89198
200000,2,178554.0,53621,411.54,21446,178554
400000,2,357353.0,77043,534.37,42647,357353
600000,2,536069.0,110569,704.48,63931,536069
800000,2,714980.0,122074,762.37,85020,714980
1000000,2,893910.0,128005,792.22,106090,893910
2,3,1.0,2,0.05,1,1
3,3,2.0,2,0.05,1,2
100,3,83.0,66,1.65,17,83
200,3,168.0,131,3.17,32,168
2000,3,1773.0,1189,24.19,227,1773
10000,3,8908.0,5668,85.34,1092,8908
20000,3,17842.0,8776,121.76,2158,17842
40000,3,35644.0,15451,191.05,4356,35644
60000,3,53469.0,26400,252.08,6531,53469
80000,3,71402.0,28846,278.59,8598,71402
100000,3,89350.0,31539,297.09,10650,89350
200000,3,178789.0,46829,379.42,21211,178789
400000,3,357800.0,60561,456.44,42200,357800
600000,3,536970.0,67856,513.12,63030,536970
800000,3,715999.0,70187,530.97,84001,715999
1000000,3,895111.0,77964,572.18,104889,895111
2,4,2.0,2,0.05,0,2
3,4,3.0,2,0.05,0,3
100,4,82.0,67,1.65,18,82
200,4,171.0,133,3.38,29,171
2000,4,1778.0,1357,29.03,222,1778
10000,4,8902.0,6177,90.68,1098,8902
20000,4,17812.0,10115,131.97,2188,17812
40000,4,35561.0,16541,185.66,4439,35561
60000,4,53395.0,23295,227.51,6605,53395
80000,4,71227.0,26527,247.75,8773,71227
100000,4,89132.0,29738,263.93,10868,89132
200000,4,178499.0,43468,346.18,21501,178499
400000,4,357449.0,57810,418.65,42551,357449
600000,4,536495.0,60027,432.01,63505,536495
800000,4,715683.0,63111,447.55,84317,715683
1000000,4,894673.0,64914,456.69,105327,894673
2,5,2.0,2,0.05,0,2
3,5,3.0,2,0.05,0,3
100,5,86.0,67,1.69,14,86
200,5,173.0,134,3.23,27,173
2000,5,1745.0,1302,28.15,255,1745
10000,5,8859.0,6105,98.76,1141,8859
20000,5,17795.0,10149,139.62,2205,17795
40000,5,35642.0,16013,178.66,4358,35642
60000,5,53496.0,24640,227.24,6504,53496
80000,5,71381.0,30768,260.16,8619,71381
100000,5,89291.0,34194,279.33,10709,89291
200000,5,178747.0,49326,379.43,21253,178747
400000,5,357453.0,90525,599.18,42547,357453
600000,5,536429.0,96508,631.82,63571,536429
800000,5,715403.0,117691,739.45,84597,715403
1000000,5,894372.0,118486,743.47,105628,894372
2,6,2.0,2,0.05,0,2
3,6,3.0,2,0.05,0,3
100,6,87.0,67,1.65,13,87
200,6,177.0,132,3.18,23,177
2000,6,1784.0,1242,25.45,216,1784
10000,6,8879.0,5853,96.79,1121,8879
20000,6,17834.0,9182,129.39,2166,17834
40000,6,35762.0,14294,164.71,4238,35762
60000,6,53656.0,20528,199.76,6344,53656
80000,6,71449.0,26531,242.69,8551,71449
100000,6,89355.0,28914,256.65,10645,89355
200000,6,178710.0,40347,343.05,21290,178710
400000,6,357402.0,63375,468.99,42598,357402
600000,6,536102.0,69711,504.63,63898,536102
