Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.05,1,1
3,1,2.0,2,0.09,1,2
100,1,83.0,48,2.16,17,83
200,1,172.0,95,4.27,28,172
2000,1,1752.0,677,30.47,248,1752
10000,1,8840.0,1671,75.2,1160,8840
20000,1,17785.0,1980,89.1,2215,17785
40000,1,35683.0,2367,106.52,4317,35683
60000,1,53596.0,2442,109.89,6404,53596
80000,1,71509.0,2520,113.4,8491,71509
100000,1,89311.0,2584,116.28,10689,89311
200000,1,178640.0,2633,118.49,21360,178640
400000,1,357537.0,2960,133.2,42463,357537
600000,1,536553.0,2980,134.1,63447,536553
800000,1,715236.0,3036,136.62,84764,715236
1000000,1,894236.0,3072,138.24,105764,894236
2,2,2.0,1,0.05,0,2
3,2,3.0,1,0.05,0,3
100,2,93.0,53,2.38,7,93
200,2,186.0,97,4.36,14,186
2000,2,1760.0,732,32.94,240,1760
10000,2,8925.0,1608,72.36,1075,8925
20000,2,17879.0,2053,92.39,2121,17879
40000,2,35724.0,2319,104.36,4276,35724
60000,2,53606.0,2386,107.37,6394,53606
80000,2,71520.0,2395,107.78,8480,71520
100000,2,89477.0,2396,107.82,10523,89477
200000,2,178971.0,2463,110.84,21029,178971
400000,2,357853.0,2772,124.74,42147,357853
600000,2,536844.0,2858,128.61,63156,536844
800000,2,715644.0,2954,132.93,84356,715644
1000000,2,894594.0,2954,132.93,105406,894594
2,3,2.0,1,0.05,0,2
3,3,3.0,1,0.05,0,3
100,3,88.0,49,2.2,12,88
200,3,174.0,94,4.23,26,174
2000,3,1734.0,648,29.16,266,1734
10000,3,8834.0,1283,57.74,1166,8834
20000,3,17733.0,1532,68.94,2267,17733
40000,3,35607.0,1658,74.61,4393,35607
60000,3,53386.0,1885,84.83,6614,53386
80000,3,71335.0,2006,90.27,8665,71335
100000,3,89201.0,2006,90.27,10799,89201
200000,3,178650.0,2034,91.53,21350,178650
400000,3,357862.0,2037,91.67,42138,357862
600000,3,536961.0,2073,93.29,63039,536961
800000,3,715980.0,2090,94.05,84020,715980
1000000,3,894957.0,2093,94.19,105043,894957
2,4,2.0,1,0.05,0,2
3,4,3.0,1,0.05,0,3
100,4,87.0,48,2.16,13,87
200,4,170.0,92,4.14,30,170
2000,4,1756.0,698,31.41,244,1756
10000,4,8861.0,1354,60.93,1139,8861
20000,4,17686.0,2171,97.7,2314,17686
40000,4,35623.0,2356,106.02,4377,35623
60000,4,53594.0,2365,106.43,6406,53594
80000,4,71444.0,2436,109.62,8556,71444
100000,4,89330.0,2443,109.94,10670,89330
200000,4,178876.0,2507,112.82,21124,178876
400000,4,357995.0,2554,114.93,42005,357995
600000,4,536964.0,2596,116.82,63036,536964
800000,4,715964.0,2597,116.87,84036,715964
1000000,4,894809.0,2619,117.86,105191,894809
2,5,2.0,1,0.05,0,2
3,5,3.0,1,0.05,0,3
100,5,87.0,49,2.2,13,87
200,5,175.0,97,4.36,25,175
2000,5,1752.0,596,26.82,248,1752
10000,5,8878.0,1350,60.75,1122,8878
20000,5,17799.0,1681,75.65,2201,17799
40000,5,35630.0,1917,86.27,4370,35630
60000,5,53588.0,1945,87.53,6412,53588
80000,5,71469.0,1995,89.78,8531,71469
100000,5,89366.0,2234,100.53,10634,89366
200000,5,178742.0,2328,104.76,21258,178742
400000,5,357845.0,2419,108.86,42155,357845
600000,5,536794.0,2464,110.88,63206,536794
800000,5,715708.0,2465,110.93,84292,715708
1000000,5,894380.0,2479,111.56,105620,894380
2,6,2.0,1,0.05,0,2
3,6,3.0,1,0.05,0,3
100,6,88.0,49,2.2,12,88
200,6,180.0,95,4.27,20,180
2000,6,1744.0,691,31.1,256,1744
10000,6,8888.0,1284,57.78,1112,8888
20000,6,17880.0,1533,68.99,2120,17880
40000,6,35750.0,1950,87.75,4250,35750
60000,6,53707.0,2040,91.8,6293,53707
80000,6,71642.0,2054,92.43,8358,71642
100000,6,89483.0,2105,94.73,10517,89483
200000,6,178852.0,2629,118.31,21148,178852
400000,6,357974.0,2846,128.07,42026,357974
600000,6,536757.0,2872,129.24,63243,536757
800000,6,715728.0,2966,133.47,84272,715728
1000000,6,894813.0,2966,133.47,105187,894813
2,7,2.0,1,0.05,0,2
3,7,3.0,1,0.05,0,3
100,7,87.0,49,2.2,13,87
200,7,173.0,95,4.27,27,173
2000,7,1731.0,802,36.09,269,1731
10000,7,8850.0,1857,83.57,1150,8850
20000,7,17793.0,2024,91.08,2207,17793
40000,7,35634.0,2158,97.11,4366,35634
60000,7,53526.0,2517,113.27,6474,53526
80000,7,71445.0,2570,115.65,8555,71445
100000,7,89303.0,2579,116.06,10697,89303
200000,7,179004.0,2811,126.5,20996,179004
400000,7,358044.0,3190,143.55,41956,358044
600000,7,537129.0,3206,144.27,62871,537129
800000,7,716131.0,3212,144.54,83869,716131
1000000,7,895218.0,3220,144.9,104782,895218
2,8,2.0,1,0.05,0,2
3,8,3.0,1,0.05,0,3
100,8,90.0,50,2.25,10,90
200,8,176.0,100,4.5,24,176
2000,8,1762.0,619,27.86,238,1762
10000,8,8870.0,1479,66.56,1130,8870
20000,8,17798.0,1876,84.42,2202,17798
40000,8,35596.0,2111,95.0,4404,35596
60000,8,53500.0,2121,95.45,6500,53500
80000,8,71418.0,2135,96.08,8582,71418
100000,8,89277.0,2147,96.62,10723,89277
200000,8,178724.0,2376,106.92,21276,178724
400000,8,357739.0,2378,107.01,42261,357739
600000,8,536665.0,2403,108.14,63335,536665
800000,8,715590.0,2425,109.13,84410,715590
1000000,8,894656.0,2425,109.13,105344,894656
2,9,2.0,1,0.05,0,2
3,9,3.0,1,0.05,0,3
100,9,88.0,49,2.2,12,88
200,9,179.0,96,4.32,21,179
2000,9,1765.0,601,27.05,235,1765
