Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.1,0,2
3,1,3.0,2,0.3,0,3
100,1,78.0,64,9.5,22,78
2,2,2.0,1,0.1,0,2
3,2,2.0,2,0.3,1,2
100,2,84.0,66,9.8,16,84
2,3,1.0,1,0.1,1,1
3,3,2.0,2,0.3,1,2
100,3,82.0,65,9.7,18,82
2,4,1.0,1,0.1,1,1
3,4,1.0,2,0.3,2,1
100,4,75.0,65,9.7,25,75
2,5,2.0,1,0.1,0,2
3,5,2.0,2,0.3,1,2
100,5,78.0,65,9.6,22,78
2,6,1.0,1,0.1,1,1
3,6,1.0,2,0.3,2,1
100,6,82.0,65,9.7,18,82
2,7,1.0,1,0.1,1,1
3,7,2.0,2,0.3,1,2
100,7,81.0,66,9.9,19,81
2,8,1.0,1,0.1,1,1
3,8,1.0,2,0.3,2,1
100,8,83.0,65,9.5,17,83
2,9,1.0,1,0.1,1,1
3,9,1.0,2,0.3,2,1
100,9,86.0,66,9.8,14,86
2,10,2.0,1,0.1,0,2
3,10,3.0,2,0.3,0,3
100,10,79.0,65,9.6,21,79
2,11,2.0,1,0.1,0,2
3,11,3.0,2,0.3,0,3
100,11,77.0,64,9.7,23,77
2,12,2.0,1,0.1,0,2
3,12,2.0,2,0.3,1,2
100,12,78.0,65,9.4,22,78
2,13,2.0,1,0.1,0,2
3,13,3.0,2,0.3,0,3
100,13,82.0,65,9.8,18,82
2,14,1.0,1,0.1,1,1
3,14,2.0,2,0.3,1,2
100,14,81.0,65,9.6,19,81
2,15,2.0,1,0.1,0,2
3,15,2.0,2,0.3,1,2
100,15,80.0,64,9.5,20,80
2,16,2.0,1,0.1,0,2
3,16,2.0,2,0.3,1,2
100,16,81.0,65,9.7,19,81
2,17,2.0,1,0.1,0,2
3,17,3.0,2,0.3,0,3
100,17,69.0,63,9.1,31,69
2,18,2.0,1,0.1,0,2
3,18,3.0,2,0.3,0,3
100,18,85.0,66,9.7,15,85
2,19,2.0,1,0.1,0,2
3,19,3.0,2,0.3,0,3
