Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1.0,1.6638474687017846,,0.0075,0.75,1.25
3,1.0,2.6911884035600804,,0.0075,0.75,2.25
100,1.0,91.63659198743204,,0.26749999999999996,18.25,81.75
200,1.0,180.64665053297816,,0.5675,40.25,159.75
2000,1.0,1795.386693926017,,5.942500000000001,409.5,1590.5
10000,1.0,8981.811080584612,,25.2525,2012.75,7987.25
20000,1.0,17965.033168989397,,56.10249999999999,4012.75,15987.25
40000,1.0,35873.75228878681,,119.3925,8095.75,31904.25
60000,1.0,53840.775747654785,,164.685,12116.0,47884.0
80000,1.0,71838.43956597807,,208.77750000000003,16086.0,63914.0
100000,1.0,89775.44145683722,,254.1325,20154.75,79845.25
2,2.0,1.859293981931768,,0.0075,0.5,1.5
3,2.0,2.5184189983665934,,0.0075,1.0,2.0
100,2.0,91.17061260703841,,0.2625,19.0,81.0
200,2.0,182.63390200184793,,0.535,37.25,162.75
2000,2.0,1794.1106543965925,,5.6274999999999995,407.25,1592.75
10000,2.0,8972.142971680367,,24.9575,2027.75,7972.25
20000,2.0,17955.54128326595,,46.625,4035.0,15965.0
40000,2.0,35881.234417396656,,96.1325,8087.75,31912.25
60000,2.0,53874.12653800795,,129.7375,12096.75,47903.25
80000,2.0,71856.51886203495,,150.025,16112.5,63887.5
100000,2.0,89782.03837465888,,171.03,20166.25,79833.75
2,3.0,1.958464965934554,,0.0075,0.25,1.75
3,3.0,2.985102726576882,,0.0075,0.25,2.75
100,3.0,89.95812033944753,,0.16,19.5,80.5
200,3.0,179.36149403046707,,0.4175,40.25,159.75
2000,3.0,1807.4067539422829,,3.94,392.5,1607.5
10000,3.0,8995.290013278136,,14.0975,2002.0,7998.0
20000,3.0,17974.997378291802,,24.6475,4008.75,15991.25
40000,3.0,35926.080269209386,,49.3875,8057.5,31942.5
60000,3.0,53870.701705267355,,66.2475,12113.25,47886.75
80000,3.0,71861.75542884822,,89.335,16106.75,63893.25
100000,3.0,89843.0250264174,,106.775,20115.25,79884.75
2,4.0,1.9126888462977032,,0.0075,0.25,1.75
3,4.0,2.8249854609259497,,0.0075,0.5,2.5
100,4.0,90.69882602589999,,0.2575,21.0,79.0
200,4.0,178.81110457600863,,0.47500000000000003,43.25,156.75
2000,4.0,1803.2744754007836,,4.0675,398.25,1601.75
10000,4.0,8997.929947442915,,13.267500000000002,2009.25,7990.75
20000,4.0,17995.12214042187,,23.215,4005.75,15994.25
40000,4.0,35997.56804324079,,42.260000000000005,8000.75,31999.25
60000,4.0,53981.795105387864,,63.58749999999999,12006.75,47993.25
80000,4.0,71952.02098866474,,83.815,16027.25,63972.75
100000,4.0,89932.11296894093,,102.8375,20036.75,79963.25
2,5.0,1.7554210198767835,,0.0075,0.5,1.5
3,5.0,2.738206611411455,,0.0075,0.5,2.5
100,5.0,91.11204216099532,,0.2025,18.75,81.25
200,5.0,180.87220082417187,,0.4,38.75,161.25
2000,5.0,1788.8607606703067,,5.4725,416.75,1583.25
10000,5.0,8942.00346447263,,24.174999999999997,2063.75,7936.25
20000,5.0,17916.101337309578,,45.9025,4085.25,15914.75
40000,5.0,35858.85134842797,,87.9,8141.75,31858.25
60000,5.0,53839.15870061438,,135.9975,12123.75,47876.25
80000,5.0,71809.32808955204,,179.62499999999997,16142.0,63858.0
100000,5.0,89789.92953171683,,214.9825,20171.25,79828.75
2,6.0,1.4693158691871755,,0.0075,0.75,1.25
3,6.0,2.1600859754940696,,0.0075,1.25,1.75
100,6.0,89.63464209844719,,0.1925,20.5,79.5
200,6.0,179.9104629622035,,0.3725,39.25,160.75
2000,6.0,1798.0185563998925,,3.5875000000000004,402.0,1598.0
10000,6.0,8963.260873619149,,27.4075,2020.75,7979.25
20000,6.0,17914.350824495454,,60.955,4070.75,15929.25
40000,6.0,35814.46959959343,,130.245,8169.25,31830.75
60000,6.0,53775.05082043782,,191.24999999999997,12198.0,47802.0
80000,6.0,71710.99944770933,,260.7275,16251.5,63748.5
100000,6.0,89684.5832863486,,322.535,20263.25,79736.75
2,7.0,1.5670017907415335,,0.0075,0.75,1.25
3,7.0,2.6051317935523945,,0.0075,0.75,2.25
100,7.0,88.42842836568398,,0.1975,20.0,80.0
200,7.0,176.58201077108254,,0.39,42.75,157.25
2000,7.0,1804.1073824148566,,3.715,396.0,1604.0
