Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1.0,0.3032596882378802,,0.01,1.75,0.25
3,1.0,1.1992845074345508,,0.0125,2.0,1.0
100,1.0,49.37512368278141,,0.2925,50.5,49.5
200,1.0,98.68789563455289,,0.555,100.5,99.5
2000,1.0,978.0850879482016,,5.775,1024.5,975.5
10000,1.0,4983.097446063319,,25.177500000000002,5013.5,4986.5
20000,1.0,9991.028539092245,,49.3875,9990.25,10009.75
40000,1.0,19951.83340504837,,94.765,20026.25,19973.75
60000,1.0,29866.496528365566,,146.34,30100.75,29899.25
80000,1.0,39843.169414760705,,194.0875,40118.0,39882.0
100000,1.0,49885.707279625916,,221.2425,50064.5,49935.5
2,2.0,1.0029031213066577,,0.01,1.0,1.0
3,2.0,1.469246312730249,,0.0125,1.5,1.5
100,2.0,50.00698441191008,,0.3175,50.25,49.75
200,2.0,98.24091340253914,,0.645,101.5,98.5
2000,2.0,984.750165014618,,6.04,1006.0,994.0
10000,2.0,4945.26228658871,,33.69,5033.5,4966.5
20000,2.0,9925.700759365287,,70.955,10044.25,9955.75
40000,2.0,19909.611599496795,,137.64249999999998,20041.75,19958.25
60000,2.0,29867.461573622495,,201.8225,30079.25,29920.75
80000,2.0,39746.722949301984,,269.875,40179.25,39820.75
100000,2.0,49678.22864101027,,335.1825,50243.25,49756.75
2,3.0,0.8887322629891475,,0.01,1.25,0.75
3,3.0,0.8235605805568955,,0.0125,2.25,0.75
100,3.0,50.536482259298,,0.28,50.0,50.0
200,3.0,95.88662381737794,,0.5874999999999999,103.25,96.75
2000,3.0,996.0822814339367,,6.105,1004.5,995.5
10000,3.0,4990.54493032531,,25.395000000000003,4995.25,5004.75
20000,3.0,9977.295234699322,,47.45,10016.25,9983.75
40000,3.0,19880.676547024,,91.8,20125.25,19874.75
60000,3.0,29885.018676997563,,137.07999999999998,30116.0,29884.0
80000,3.0,39837.4462071176,,176.7375,40163.5,39836.5
100000,3.0,49812.994533793826,,210.695,50171.25,49828.75
2,4.0,1.1152102849550616,,0.01,1.0,1.0
3,4.0,1.33418128521858,,0.0125,1.75,1.25
100,4.0,54.563105650636004,,0.3,45.75,54.25
200,4.0,102.87507457790653,,0.5675,96.75,103.25
2000,4.0,992.7401760908326,,5.42,1007.75,992.25
10000,4.0,4973.215439887966,,24.8575,5023.5,4976.5
20000,4.0,9935.81638031576,,48.697500000000005,10060.0,9940.0
40000,4.0,19840.414681221326,,88.815,20136.5,19863.5
60000,4.0,29878.90903213842,,127.6275,30077.25,29922.75
80000,4.0,39799.18960785924,,171.98999999999998,40147.5,39852.5
100000,4.0,49751.05675457584,,212.08999999999997,50182.5,49817.5
2,5.0,0.39307809618998124,,0.01,1.75,0.25
3,5.0,0.92995790414504,,0.0125,2.25,0.75
100,5.0,47.89852468137144,,0.3125,52.5,47.5
200,5.0,96.88132832261898,,0.6275,103.5,96.5
2000,5.0,986.2973132829551,,6.130000000000001,1013.5,986.5
10000,5.0,4997.174087902509,,24.7575,4993.75,5006.25
20000,5.0,10005.298983026049,,42.345,9975.25,10024.75
40000,5.0,19984.977828248288,,78.7025,19977.75,20022.25
60000,5.0,29944.18580768201,,103.485,30032.75,29967.25
80000,5.0,39896.99964589383,,125.14000000000001,40076.0,39924.0
100000,5.0,49925.48264048562,,142.3625,50033.75,49966.25
2,6.0,1.3714202794290942,,0.01,0.5,1.5
3,6.0,1.826248054235512,,0.0125,1.0,2.0
100,6.0,50.18613997341682,,0.225,50.5,49.5
200,6.0,98.02520855802032,,0.45,101.75,98.25
2000,6.0,993.6739316148088,,4.83,1004.0,996.0
10000,6.0,4994.070411802929,,14.1625,4988.5,5011.5
20000,6.0,9967.268547403126,,28.185000000000002,10007.5,9992.5
40000,6.0,19956.162304785794,,54.22,20000.0,20000.0
60000,6.0,29901.483404779414,,67.9475,30042.5,29957.5
80000,6.0,39871.57475470465,,89.0275,40072.5,39927.5
100000,6.0,49861.79183275885,,107.16499999999999,50052.5,49947.5
2,7.0,1.385646532700651,,0.01,0.75,1.25
3,7.0,2.0333248047129127,,0.0125,1.0,2.0
100,7.0,52.65291270885608,,0.3175,47.5,52.5
200,7.0,106.97691213004455,,0.6325000000000001,95.5,104.5
2000,7.0,1004.7850915960717,,5.5975,994.25,1005.75
10000,7.0,4976.07549814657,,22.7375,5017.0,4983.0
20000,7.0,9946.939817240134,,43.3825,10041.5,9958.5
40000,7.0,19990.905122965978,,77.2225,19984.0,20016.0
60000,7.0,29973.48610138088,,96.77250000000001,30004.75,29995.25
80000,7.0,39997.8196574468,,121.46000000000001,39976.75,40023.25
100000,7.0,49993.73966309854,,138.7225,49983.5,50016.5
2,8.0,1.254785155105387,,0.01,0.75,1.25
3,8.0,1.960555053239877,,0.0125,1.0,2.0
100,8.0,51.79154414589949,,0.29000000000000004,48.5,51.5
200,8.0,99.31473110156345,,0.5675,101.25,98.75
2000,8.0,978.1063023311458,,5.9575,1013.25,986.75
10000,8.0,4947.924351964857,,18.267500000000002,5034.75,4965.25
20000,8.0,9930.367895508753,,27.0525,10044.75,9955.25
40000,8.0,19912.42813875349,,44.0625,20051.25,19948.75
60000,8.0,29917.120504815764,,64.7525,30046.25,29953.75
80000,8.0,39860.08467072826,,89.17,40094.5,39905.5
100000,8.0,49926.92294507762,,103.67750000000001,50000.75,49999.25
2,9.0,0.7281993470988097,,0.01,1.25,0.75
3,9.0,1.0275558642566924,,0.0125,2.0,1.0
100,9.0,48.89619577524535,,0.3275,51.25,48.75
200,9.0,97.11660764764804,,0.6399999999999999,102.75,97.25
2000,9.0,983.8402615270795,,5.3475,1013.25,986.75
10000,9.0,4918.446066159392,,16.5325,5076.5,4923.5
20000,9.0,9860.855084447947,,27.75,10121.25,9878.75
40000,9.0,19778.843849958626,,51.6275,20181.75,19818.25
60000,9.0,29730.41118773503,,78.1925,30211.0,29789.0
80000,9.0,39691.56825742122,,93.97500000000001,40249.25,39750.75
100000,9.0,49738.66297145443,,115.54749999999999,50202.5,49797.5
2,10.0,1.0303960401901984,,0.01,1.0,1.0
3,10.0,1.0228332515634593,,0.01,2.0,1.0
100,10.0,43.55238650115365,,0.27,55.0,45.0
200,10.0,92.38304422153173,,0.48,106.0,94.0
2000,10.0,992.4112515020565,,3.9925,1002.0,998.0
10000,10.0,4947.8338719404655,,18.455,5045.75,4954.25
20000,10.0,9924.099344528759,,31.439999999999998,10070.5,9929.5
40000,10.0,19851.601876390076,,60.3375,20102.75,19897.25
60000,10.0,29808.693911983777,,73.2975,30122.75,29877.25
80000,10.0,39860.99985132589,,86.4925,40059.75,39940.25
100000,10.0,49864.63422446277,,109.3425,50045.5,49954.5
