Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.62,1.0,0.0,0.38,1.62
3,2.46,1.21,0.0,0.54,2.46
100,79.4,54.96,0.0,20.6,79.4
200,159.5,109.96,0.0,40.5,159.5
2000,1600.24,1099.96,0.0,399.76,1600.24
10000,8000.2,5499.96,0.0,1999.8,8000.2
20000,16012.0,10999.96,0.0,3988.0,16012.0
40000,32010.75,21999.96,0.0,7989.25,32010.75
60000,48006.02,32999.96,0.0,11993.98,48006.02
80000,64007.25,43999.96,0.0,15992.75,64007.25
100000,80013.43,54999.96,0.0,19986.57,80013.43
200000,160036.66,109999.96,0.0,39963.34,160036.66
400000,320049.87,219999.96,0.0,79950.13,320049.87
600000,480060.99,329999.96,0.0,119939.01,480060.99
800000,640073.58,439999.96,0.0,159926.42,640073.58
1000000,800085.25,549999.96,0.0,199914.75,800085.25
