Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.51,2.0,0.14000000000000018,0.49,1.51
3,2.45,2.0,0.14000000000000018,0.55,2.45
100,86.15,45.08,2.9152,13.85,86.15
200,173.34,88.25,5.674799999999999,26.66,173.34
2000,1733.63,865.25,55.340900000000005,266.37,1733.63
10000,8677.0,4318.58,276.0746000000001,1323.0,8677.0
20000,17345.71,8635.25,551.9904999999998,2654.29,17345.71
40000,34692.6,17268.58,1103.8242,5307.4,34692.6
60000,52031.32,25901.91,1655.6575000000005,7968.68,52031.32
80000,69377.41,34535.25,2207.4913,10622.59,69377.41
100000,86724.0,43168.58,2759.3242999999998,13276.0,86724.0
200000,173490.12,86335.25,5518.490900000001,26509.88,173490.12
400000,346951.69,172668.58,11036.823499999999,53048.31,346951.69
600000,520430.87,259001.91,16555.1567,79569.13,520430.87
800000,693879.8,345335.25,22073.490100000006,106120.2,693879.8
1000000,867361.68,431668.58,27591.823400000005,132638.32,867361.68
