Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,0.0,1,0.0,2,0
3,1,0.0,2,0.09,3,0
100,1,87.0,12,0.45,13,87
200,1,174.0,12,0.45,26,174
2000,1,1786.0,12,0.45,214,1786
10000,1,8937.0,12,0.45,1063,8937
20000,1,17836.0,12,0.45,2164,17836
40000,1,35655.0,12,0.45,4345,35655
60000,1,53428.0,12,0.45,6572,53428
80000,1,71214.0,12,0.45,8786,71214
100000,1,89004.0,12,0.45,10996,89004
200000,1,177852.0,12,0.45,22148,177852
400000,1,355862.0,12,0.45,44138,355862
600000,1,533904.0,12,0.45,66096,533904
800000,1,711928.0,12,0.45,88072,711928
1000000,1,889948.0,12,0.45,110052,889948
2,2,2.0,1,0.0,0,2
3,2,3.0,2,0.09,0,3
100,2,92.0,97,0.27,8,92
200,2,178.0,197,0.27,22,178
2000,2,1776.0,1997,0.27,224,1776
10000,2,8935.0,9997,0.27,1065,8935
20000,2,17810.0,19997,0.27,2190,17810
40000,2,35596.0,39997,0.27,4404,35596
60000,2,53284.0,59997,0.27,6716,53284
80000,2,71051.0,79997,0.27,8949,71051
100000,2,88855.0,99997,0.27,11145,88855
200000,2,177711.0,199997,0.27,22289,177711
400000,2,355740.0,399997,0.27,44260,355740
600000,2,533451.0,599997,0.27,66549,533451
800000,2,711536.0,799997,0.27,88464,711536
1000000,2,889623.0,999997,0.27,110377,889623
2,3,1.0,1,0.0,1,1
3,3,2.0,2,0.09,1,2
100,3,92.0,9,0.72,8,92
200,3,182.0,9,0.72,18,182
2000,3,1776.0,9,0.72,224,1776
10000,3,8928.0,9,0.72,1072,8928
20000,3,17864.0,9,0.72,2136,17864
40000,3,35633.0,9,0.72,4367,35633
60000,3,53444.0,9,0.72,6556,53444
80000,3,71272.0,9,0.72,8728,71272
100000,3,88996.0,9,0.72,11004,88996
200000,3,177951.0,9,0.72,22049,177951
400000,3,355990.0,9,0.72,44010,355990
600000,3,533934.0,9,0.72,66066,533934
800000,3,711944.0,9,0.72,88056,711944
1000000,3,890009.0,9,0.72,109991,890009
2,4,1.0,1,0.0,1,1
3,4,1.0,2,0.09,2,1
100,4,87.0,2,0.09,13,87
200,4,173.0,2,0.09,27,173
