Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,2,0.02,0,3
100,1,92.0,94,0.94,8,92
200,1,179.0,194,1.94,21,179
2000,1,1793.0,1994,19.94,207,1793
10000,1,8945.0,9994,99.94,1055,8945
20000,1,17874.0,19994,199.94,2126,17874
40000,1,35621.0,39994,399.94,4379,35621
60000,1,53352.0,59994,599.94,6648,53352
80000,1,71146.0,79994,799.94,8854,71146
100000,1,89007.0,99994,999.94,10993,89007
200000,1,178109.0,199994,1999.94,21891,178109
400000,1,356205.0,399994,3999.94,43795,356205
600000,1,534151.0,599994,5999.94,65849,534151
800000,1,712308.0,799994,7999.94,87692,712308
1000000,1,889851.0,999994,9999.94,110149,889851
2,2,2.0,1,0.01,0,2
3,2,3.0,2,0.02,0,3
100,2,90.0,5,0.05,10,90
200,2,174.0,5,0.05,26,174
2000,2,1794.0,5,0.05,206,1794
10000,2,8933.0,5,0.05,1067,8933
20000,2,17890.0,5,0.05,2110,17890
40000,2,35935.0,5,0.05,4065,35935
60000,2,53935.0,5,0.05,6065,53935
80000,2,71998.0,5,0.05,8002,71998
100000,2,90042.0,5,0.05,9958,90042
200000,2,179941.0,5,0.05,20059,179941
400000,2,359912.0,5,0.05,40088,359912
600000,2,539721.0,5,0.05,60279,539721
800000,2,719631.0,5,0.05,80369,719631
1000000,2,899444.0,5,0.05,100556,899444
2,3,2.0,1,0.01,0,2
3,3,3.0,2,0.02,0,3
100,3,92.0,95,0.95,8,92
200,3,183.0,195,1.95,17,183
2000,3,1788.0,1995,19.95,212,1788
10000,3,8937.0,9995,99.95,1063,8937
20000,3,17824.0,19995,199.95,2176,17824
40000,3,35594.0,39995,399.95,4406,35594
60000,3,53436.0,59995,599.95,6564,53436
80000,3,71282.0,79995,799.95,8718,71282
100000,3,89083.0,99995,999.95,10917,89083
200000,3,178248.0,199995,1999.95,21752,178248
400000,3,356310.0,399995,3999.95,43690,356310
600000,3,534175.0,599995,5999.95,65825,534175
800000,3,712284.0,799995,7999.95,87716,712284
1000000,3,890333.0,999995,9999.95,109667,890333
2,4,2.0,1,0.01,0,2
3,4,3.0,2,0.02,0,3
100,4,90.0,3,0.03,10,90
200,4,173.0,3,0.03,27,173
2000,4,1787.0,3,0.03,213,1787
10000,4,9005.0,3,0.03,995,9005
20000,4,17976.0,3,0.03,2024,17976
40000,4,36013.0,3,0.03,3987,36013
60000,4,54071.0,3,0.03,5929,54071
80000,4,72054.0,3,0.03,7946,72054
100000,4,90046.0,3,0.03,9954,90046
200000,4,179985.0,3,0.03,20015,179985
400000,4,360019.0,3,0.03,39981,360019
600000,4,540111.0,3,0.03,59889,540111
800000,4,720041.0,3,0.03,79959,720041
1000000,4,899933.0,3,0.03,100067,899933
2,5,2.0,1,0.01,0,2
3,5,3.0,2,0.02,0,3
100,5,87.0,6,0.06,13,87
200,5,179.0,6,0.06,21,179
2000,5,1781.0,6,0.06,219,1781
10000,5,9011.0,6,0.06,989,9011
20000,5,18022.0,6,0.06,1978,18022
40000,5,36056.0,6,0.06,3944,36056
60000,5,54016.0,6,0.06,5984,54016
80000,5,71990.0,6,0.06,8010,71990
100000,5,89956.0,6,0.06,10044,89956
200000,5,180047.0,6,0.06,19953,180047
400000,5,360263.0,6,0.06,39737,360263
600000,5,540494.0,6,0.06,59506,540494
800000,5,720470.0,6,0.06,79530,720470
1000000,5,900710.0,6,0.06,99290,900710
2,6,2.0,1,0.01,0,2
3,6,2.0,2,0.02,1,2
100,6,94.0,2,0.02,6,94
200,6,182.0,2,0.02,18,182
2000,6,1811.0,2,0.02,189,1811
10000,6,9029.0,2,0.02,971,9029
20000,6,18025.0,2,0.02,1975,18025
40000,6,36040.0,2,0.02,3960,36040
60000,6,54050.0,2,0.02,5950,54050
80000,6,72001.0,2,0.02,7999,72001
100000,6,89978.0,2,0.02,10022,89978
200000,6,179969.0,2,0.02,20031,179969
400000,6,359841.0,2,0.02,40159,359841
600000,6,539864.0,2,0.02,60136,539864
800000,6,719872.0,2,0.02,80128,719872
1000000,6,899927.0,2,0.02,100073,899927
2,7,2.0,1,0.01,0,2
3,7,3.0,2,0.02,0,3
100,7,87.0,94,0.94,13,87
200,7,178.0,194,1.94,22,178
2000,7,1782.0,1994,19.94,218,1782
10000,7,8903.0,9994,99.94,1097,8903
20000,7,17751.0,19994,199.94,2249,17751
40000,7,35598.0,39994,399.94,4402,35598
60000,7,53385.0,59994,599.94,6615,53385
80000,7,71129.0,79994,799.94,8871,71129
100000,7,88872.0,99994,999.94,11128,88872
200000,7,177853.0,199994,1999.94,22147,177853
400000,7,355905.0,399994,3999.94,44095,355905
600000,7,534158.0,599994,5999.94,65842,534158
800000,7,712275.0,799994,7999.94,87725,712275
1000000,7,890339.0,999994,9999.94,109661,890339
2,8,1.0,1,0.01,1,1
3,8,2.0,1,0.01,1,2
100,8,85.0,1,0.01,15,85
200,8,172.0,1,0.01,28,172
2000,8,1802.0,1,0.01,198,1802
10000,8,9002.0,1,0.01,998,9002
20000,8,18020.0,1,0.01,1980,18020
40000,8,36044.0,1,0.01,3956,36044
60000,8,54114.0,1,0.01,5886,54114
